id,type,status,nums,kw
12A.1,ACTIONABLE,SUPERSEDED-num,8,6
12A.2,ACTIONABLE,COVERED,4,7
12A.3,ACTIONABLE,COVERED,9,3
12A.4,ACTIONABLE,COVERED,6,2
12B.5,ACTIONABLE,COVERED,3,1
12B.6,ACTIONABLE,COVERED,3,1
12B.7,ACTIONABLE,COVERED,3,0
12C.8,ACTIONABLE,COVERED,5,1
12C.9,ACTIONABLE,COVERED,3,1
12C.10,ACTIONABLE,COVERED,1,1
12D.11,ACTIONABLE,COVERED,3,2
12D.12,ACTIONABLE,COVERED,3,0
12D.13,ACTIONABLE,COVERED,5,1
12D.14,ACTIONABLE,COVERED,7,4
12G.1,ACTIONABLE,COVERED,6,8
12G.2,ACTIONABLE,COVERED-RELABEL,10,6
12G.3,ACTIONABLE,COVERED,4,1
12G.4,ACTIONABLE,COVERED,5,1
12G.5,ACTIONABLE,COVERED-NOTE,8,2
12G.6,ACTIONABLE,COVERED,4,6
12G.7,INFO-preserve,COVERED,23,13
12E.1,ACTIONABLE,COVERED,6,3
