Year,A_f_ha,A_f_index,b_f_t_ha,b_f_t_ha_index,b_f_gha_per_ha_per_yr,B_gha,b_f_gha_index
1961,1339216600.0,1.0,1.3532,1.0,1.3840211972880265,9755285064.0,1.0
1962,1342202600.0,1.0022296617291033,1.4275,1.054906887378067,1.3873508525389535,9800557481.0,1.054906887378067
1963,1348248300.0,1.0067440173605973,1.4401001,1.0642182234702926,1.3815752507012247,9803718332.0,1.0642182234702926
1964,1350099500.0,1.0081263180280173,1.4938002,1.1039020100502512,1.38554346376693,9845376514.0,1.1039020100502512
1965,1353708800.0,1.010821401108678,1.4967,1.106044930535028,1.3846881303423602,9865602670.0,1.106044930535028
1966,1353527400.0,1.0106859487852824,1.6102,1.1899201891812001,1.3961124534678795,9945665575.0,1.1899201891812001
1967,1355494500.0,1.0121547925854564,1.6533002,1.2217707655926693,1.3990113458077478,9980800972.0,1.2217707655926693
1968,1368012400.0,1.0215019736165158,1.6964,1.2536210464085131,1.393326595014782,10032042417.0,1.2536210464085131
1969,1376570100.0,1.0278920527120108,1.7088001,1.2627845846881467,1.3848236008613002,10033193488.0,1.2627845846881467
1970,1375605500.0,1.0271717808754761,1.7655001,1.3046852645580844,1.391499827036167,10074499028.0,1.3046852645580844
1971,1373130400.0,1.0253236108333783,1.8922,1.398315104936447,1.4019009592679617,10131541184.0,1.398315104936447
1972,1379198000.0,1.0298543193087661,1.8582001,1.3731895506946497,1.3898991536168122,10089190173.0,1.3731895506946497
1973,1381919200.0,1.0318862535007407,1.9404001,1.4339344516701154,1.4018687256678972,10196154252.0,1.4339344516701154
1974,1384895500.0,1.034108672189398,1.8926,1.3986107005616317,1.3924681041710367,10149593744.0,1.3986107005616317
1975,1386191100.0,1.0350761034473437,1.9126,1.4133904818208691,1.393726065525886,10168266673.0,1.4133904818208691
1976,1393047900.0,1.0401961116670746,2.0259001,1.4971180165533549,1.3929621195150577,10212962923.0,1.4971180165533549
1977,1399602800.0,1.0450906895867331,2.0253,1.4966745492166718,1.3882244055527753,10226119816.0,1.4966745492166718
1978,1411023700.0,1.0536187350126933,2.2126002,1.635087348507242,1.390777639489684,10328527425.0,1.635087348507242
1979,1417678600.0,1.0585879834524154,2.1761003,1.6081143216080402,1.3815930675965624,10308710136.0,1.6081143216080402
1980,1421765200.0,1.0616394689253403,2.1611001,1.5970293378657996,1.3783001796358498,10313785424.0,1.5970293378657996
1981,1426330200.0,1.0650481781662504,2.2468002,1.660360774460538,1.3856335869772651,10401952796.0,1.660360774460538
1982,1437016800.0,1.0730279179633824,2.3693001,1.7508868607744605,1.38586027406221,10481602612.0,1.7508868607744605
1983,1443276900.0,1.0777023671898929,2.3086002,1.7060302985515814,1.3752651244123701,10446780976.0,1.7060302985515814
1984,1459986400.0,1.0901794377399443,2.4991002,1.8468077150458173,1.3781532323314791,10589920928.0,1.8468077150458173
1985,1474170000.0,1.1007704056237058,2.5288002,1.868755690215785,1.3711561178561495,10638511654.0,1.868755690215785
1986,1477680500.0,1.1033917142305434,2.5567,1.8893733372746084,1.3709164930984743,10661981942.0,1.8893733372746084
1987,1480976900.0,1.1058531532539246,2.5397,1.8768105232042565,1.3726840635191542,10699544153.0,1.8768105232042565
1988,1480732300.0,1.1056705091618488,2.4599,1.8178391959798996,1.3666815085751827,10650997124.0,1.8178391959798996
1989,1481106700.0,1.1059500755889675,2.6292,1.942950044339344,1.3819546860330858,10772749182.0,1.942950044339344
1990,1483650800.0,1.107849768289909,2.7576003,2.037836461720367,1.3964001887438744,10904053985.0,2.037836461720367
1991,1486276700.0,1.1098105414762631,2.6834,1.983003251551877,1.3860791081162747,10842616225.0,1.983003251551877
1992,1483138700.0,1.1074673805566628,2.7891002,2.0611145433047593,1.4080137648960276,10990945815.0,2.0611145433047593
1993,1484368800.0,1.1083859026239669,2.7377,2.0231303576707065,1.4013482880265336,10947987772.0,2.0231303576707065
1994,1483249700.0,1.1075502648339335,2.8141003,2.0795893437777124,1.4135835721861263,11035249523.0,2.0795893437777124
1995,1484520000.0,1.1084988044503032,2.7673001,2.045004507833284,1.4054712438431278,10981316689.0,2.045004507833284
1996,1484892300.0,1.1087768027965006,2.9256003,2.1619866242979606,1.4214902189875993,11109262530.0,2.1619866242979606
1997,1489614100.0,1.1123025954128705,2.9938002,2.2123856044930537,1.4232088707806942,11158063164.0,2.2123856044930537
1998,1490102000.0,1.1126669128802615,3.0511003,2.2547297516996747,1.428046313051053,11199656143.0,2.2547297516996747
1999,1493544600.0,1.115237520203976,3.1126003,2.3001775790718297,1.4284725142791184,11228881105.0,2.3001775790718297
2000,1491702300.0,1.1138618652128416,3.0589,2.2604936446940584,1.4300631671413258,11227518503.0,2.2604936446940584
2001,1493087600.0,1.1148962759272847,3.1350002,2.3167308601832692,1.437797519569515,11298724462.0,2.3167308601832692
2002,1491640300.0,1.1138155694904022,3.0783002,2.2748301803133315,1.4375006187617752,11285441338.0,2.2748301803133315
2003,1496639700.0,1.117548647470469,3.1183002,2.3043897428318063,1.4309077919755837,11271333729.0,2.3043897428318063
2004,1501638500.0,1.1212812774274155,3.3635,2.485589713272244,1.4407664539767728,11386896720.0,2.485589713272244
2005,1507593500.0,1.1257279068972115,3.2798002,2.4237364765001477,1.432502880544391,11366484376.0,2.4237364765001477
2006,1507377300.0,1.1255664692328335,3.2811003,2.4246972361809047,1.4372820870859604,11402770483.0,2.4246972361809047
2007,1509276400.0,1.126984537079364,3.3701003,2.490467262784511,1.4393514965582181,11433574974.0,2.490467262784511
2008,1510298500.0,1.1277477444649358,3.5449002,2.619642477091339,1.4545986471879564,11562516605.0,2.619642477091339
2009,1518045700.0,1.133532618995314,3.5589,2.629988176174993,1.4414845538312846,11517049624.0,2.629988176174993
2010,1520958700.0,1.135707771244771,3.5614002,2.63183579663021,1.4480961041151217,11592075621.0,2.63183579663021
2011,1531801700.0,1.1438042957352828,3.6553001,2.701226795743423,1.4472359836785662,11667781790.0,2.701226795743423
2012,1540188800.0,1.1500669869235491,3.6121004,2.6693026899201895,1.4291674531979457,11585198446.0,2.6693026899201895
2013,1545304300.0,1.15388675737741,3.8302002,2.8304760567543603,1.4451721112016578,11753845672.0,2.8304760567543603
2014,1549345700.0,1.1569044917752662,3.8935,2.877253916642034,1.44679048863659,11797782223.0,2.877253916642034
2015,1556112800.0,1.1619575205385,3.9325001,2.906074563996453,1.4417431070870954,11807973175.0,2.906074563996453
2016,1557773400.0,1.1631974991946785,4.017,2.9685190659178247,1.4466760122556976,11861017949.0,2.9685190659178247
2017,1561413000.0,1.1659152074429184,4.0661,3.004803428909252,1.4575280285228827,11977911640.0,3.004803428909252
2018,1565500500.0,1.1689673649505241,4.0225,2.972583505764115,1.4492172631308644,11940791316.0,2.972583505764115
2019,1564730200.0,1.168392177934473,4.1246004,3.0480345846881467,1.455088762522766,11983270160.0,3.0480345846881467
2020,1569791400.0,1.1721714022959393,4.1135,3.039831510493645,1.4475783114622744,11959978864.0,3.039831510493645
2021,1571826700.0,1.1736911713907967,4.1719003,3.0829886934673367,1.4505079745114395,11999721910.0,3.0829886934673367
2022,1571421200.0,1.1733883824319382,4.1826005,3.0908960242388415,1.4505676504873424,11997119779.0,3.0908960242388415
