system,n,age_range,AGB_inf,t_lag,tau_r,r2
Agua Salud,45,2-31,549.1160954532573,0.6281144099992639,119.99999999999999,0.7627432045163628
Bahia,27,10-40,299.4887393054731,2.4736104598991218,49.5175844328271,0.713688126184586
Barro Colorado Island,8,20-100,310.3439662551307,-1.9999999998188243,45.98132361804071,0.3968788945687336
Bolpebra,15,4-47,976.6686905337408,-1.9999999999238782,119.99999999999646,0.5757604757105309
Cajueiro,9,15-59,331.4653196460515,1.5729643295888094,112.65817608096513,0.8365922786119862
Cayey,7,10-80,783.4559690659273,8.597421756169599,119.99999999999778,0.872349684357072
Chajul,17,0-27,144.36234180553026,0.9947239343848677,12.90310516932879,0.8038975206033747
Chamela,9,3-15,603.8037834120756,7.532487155658615,119.99999999997182,0.9788260224431048
Chinantla,25,5-20,735.1859340827415,-0.7759747109836391,119.99999999999999,0.4731672505919061
Eastern Pará 1,15,5-25,315.60081984108086,-1.5394211474057098,28.220250649372435,0.538837743067262
Eastern Pará 2,25,5-40,303.2638620139091,4.028560778217709,10.154685504180156,0.5785938127451452
Eastern Pará 3,12,2-70,537.1515066130767,10.215968939623291,31.105948287514767,0.8364423489945121
El Carite,28,4-77,277.39070860942894,-1.9999999999773004,44.07573008411403,0.6371788515431757
El Ocote 1,29,2-75,157.50665086024193,0.7614259478004455,16.555129963617297,0.7845029572142045
El Ocote 2,63,3-75,193.06911984339533,1.1405165297229458,19.523189577508507,0.45159861671045953
El Tigre,6,3-25,205.402759980761,2.2189892466708323,13.15039031049127,0.7015554635125976
El Turi,6,2-40,787.990145766216,1.969394584583237,119.99999999999999,0.8961197109466007
Lacandona,66,1-31,1738.6020824234593,1.1013210038688541,119.99999999999935,0.35296943933327973
Luquillo,12,9-76,885.7620104639809,1.1803167524383054,119.99999999999999,0.6835660648616992
Marqués de Comillas,85,2-50,299.9517378010943,-1.999999999998605,11.134920253828934,0.08285593056006835
Mata Seca,18,14-58,538.4307883562601,8.401779755236438,119.99999999999999,0.9025918788177697
Nizanda,14,2-60,90.20714688070936,5.232404247405473,38.259207310099846,0.9436289375225067
Palo Verde,19,7-60,279.03015527270543,4.936561746403281,15.59782444459989,0.3844976044215809
Patos,15,22-64,35.37041436276106,-1.9999999999980294,27.13599065348476,0.33293022700854125
Providencia Island,56,6-56,896.9518973101043,-0.19613334188045126,119.99999999996874,0.2802569539278359
Rio Madeira (anthropogenic soil),26,5-30,227.76853602707806,-1.9999999999999791,11.946548788115633,0.1477030159418674
Rio Madeira (oxisol),26,6-30,267.84398028350097,-1.9999999999192273,24.43631672051668,0.2741632566195077
Salvatierra,28,1-36,45.86591146650015,3.0296649881537125,7.527678709464055,0.5711394638136367
San Carlos,19,9-80,156.04104110989775,1.3864083996512917,23.935936392002084,0.7016576785293231
San Lorenzo,11,3-50,358.7787451581133,-1.9999999999987468,99.50876915554866,0.9284689787311888
Santa Rosa,40,6-70,335.62315746364396,4.08155322496149,21.67714412050587,0.40466412210228564
Santa Rosa (oak forest),22,5-70,578.6381775101513,1.1664822142472868,71.96206176217117,0.8024131997768771
Sao Paulo,10,11-45,166.63417505701122,3.0840903395641277,11.519270396254223,0.17200271102035858
Sarapiquí (Chazdon),6,10-41,301.2351924563184,-1.99999999999802,27.428050197284005,0.6468460112358216
Sarapiquí (Letcher),23,10-42,834.1977099498338,1.5378839452016935,104.66861674403687,0.5563832833825951
Serra do Cipo,9,8-50,223.68266946783172,2.470640100220188,19.41708854084723,0.7498401884921548
Surutu 1,8,4-20,100.03031718748764,2.104254233270101,17.76438636929988,0.7231793947395126
Yucatán,274,3-70,124.1574173583907,4.367561083276758,18.54839672083967,0.605045593275785
Zona Norte,39,2-52,84.96454757890065,-1.9999999999999931,2.513880007801195,0.0013917624931216732
