system,n,age_range,AGB_inf,t_lag,tau_r,r2,t50,t90
Agua Salud,45,2-31,549.1160954532573,0.6281144099992639,119.99999999999999,0.7627432045163628,83.80577607719269,276.93832556928476
Bahia,27,10-40,299.4887393054731,2.4736104598991218,49.5175844328271,0.713688126184586,36.79658449765226,116.49206221600083
Barro Colorado Island,8,20-100,310.3439662551307,-1.9999999998188243,45.98132361804071,0.3968788945687336,29.871824824440516,103.87591031921677
Bolpebra,15,4-47,976.6686905337408,-1.9999999999238782,119.99999999999646,0.5757604757105309,81.1776616672671,274.31021115935346
Cajueiro,9,15-59,331.4653196460515,1.5729643295888094,112.65817608096513,0.8365922786119862,79.66166144713566,260.9780011775175
Cayey,7,10-80,783.4559690659273,8.597421756169599,119.99999999999778,0.872349684357072,91.7750834233615,284.90763291545
Chajul,17,0-27,144.36234180553026,0.9947239343848677,12.90310516932879,0.8038975206033747,9.938474902973574,30.705221550615754
Chamela,9,3-15,603.8037834120756,7.532487155658615,119.99999999997182,0.9788260224431048,90.71014882283252,283.8426983148792
Chinantla,25,5-20,735.1859340827415,-0.7759747109836391,119.99999999999999,0.4731672505919061,82.40168695620979,275.53423644830184
Eastern Pará 1,15,5-25,315.60081984108086,-1.5394211474057098,28.220250649372435,0.538837743067262,18.02136602490176,63.4401073183948
Eastern Pará 2,25,5-40,303.2638620139091,4.028560778217709,10.154685504180156,0.5785938127451452,11.06725240491313,27.410588244185664
Eastern Pará 3,12,2-70,537.1515066130767,10.215968939623291,31.105948287514767,0.8364423489945121,31.77696929375761,81.84006176989847
El Carite,28,4-77,277.39070860942894,-1.9999999999773004,44.07573008411403,0.6371788515431757,28.550968038947495,99.48811905453286
El Ocote 1,29,2-75,157.50665086024193,0.7614259478004455,16.555129963617297,0.7845029572142045,12.236567605885245,38.881021414604696
El Ocote 2,63,3-75,193.06911984339533,1.1405165297229458,19.523189577508507,0.45159861671045953,14.672960340910278,46.09432181859076
El Tigre,6,3-25,205.402759980761,2.2189892466708323,13.15039031049127,0.7015554635125976,11.334145213650679,32.49888194266137
El Turi,6,2-40,787.990145766216,1.969394584583237,119.99999999999999,0.8961197109466007,85.14705625177666,278.27960574386873
Lacandona,66,1-31,1738.6020824234593,1.1013210038688541,119.99999999999935,0.35296943933327973,84.27898267106184,277.41153216315286
Luquillo,12,9-76,885.7620104639809,1.1803167524383054,119.99999999999999,0.6835660648616992,84.35797841963172,277.4905279117238
Mata Seca,18,14-58,538.4307883562601,8.401779755236438,119.99999999999999,0.9025918788177697,91.57944142242985,284.7119909145219
Nizanda,14,2-60,90.20714688070936,5.232404247405473,38.259207310099846,0.9436289375225067,31.75166592485963,93.32748466941021
Palo Verde,19,7-60,279.03015527270543,4.936561746403281,15.59782444459989,0.3844976044215809,15.748149783046689,40.85187979567712
Patos,15,22-64,35.37041436276106,-1.9999999999980294,27.13599065348476,0.33293022700854125,16.80923541316596,60.482927562341736
Providencia Island,56,6-56,896.9518973101043,-0.19613334188045126,119.99999999996874,0.2802569539278359,82.98152832529131,276.11407781733305
Rio Madeira (oxisol),26,6-30,267.84398028350097,-1.9999999999192273,24.43631672051668,0.2741632566195077,14.937964038176757,54.26669860842363
Salvatierra,28,1-36,45.86591146650015,3.0296649881537125,7.527678709464055,0.5711394638136367,8.24745426177985,20.3627857694143
San Carlos,19,9-80,156.04104110989775,1.3864083996512917,23.935936392002084,0.7016576785293231,17.977535223829726,56.50093872272898
San Lorenzo,11,3-50,358.7787451581133,-1.9999999999987468,99.50876915554866,0.9284689787311888,66.97422278116025,227.1274084797533
Santa Rosa,40,6-70,335.62315746364396,4.08155322496149,21.67714412050587,0.40466412210228564,19.107004554681726,53.99502213552183
Santa Rosa (oak forest),22,5-70,578.6381775101513,1.1664822142472868,71.96206176217117,0.8024131997768771,51.04678243197689,166.86525288893947
Sarapiquí (Chazdon),6,10-41,301.2351924563184,-1.99999999999802,27.428050197284005,0.6468460112358216,17.01167566250604,61.155419514160535
Sarapiquí (Letcher),23,10-42,834.1977099498338,1.5378839452016935,104.66861674403687,0.5563832833825951,74.08864053444033,242.54628056432796
Serra do Cipo,9,8-50,223.68266946783172,2.470640100220188,19.41708854084723,0.7498401884921548,15.929540276991268,47.18013872372053
Surutu 1,8,4-20,100.03031718748764,2.104254233270101,17.76438636929988,0.7231793947395126,14.417588559527838,43.008265473406624
Yucatán,274,3-70,124.1574173583907,4.367561083276758,18.54839672083967,0.605045593275785,17.22432997423411,47.07682287162183
