area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Chile (mainland)",eez,1950,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Reported,purse seine,Other,5.0000000000,3.62130639
"Chile (mainland)",eez,1950,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Unreported,purse seine,Other,1.3152000000,0.9525484328255999
"Chile (mainland)",eez,1950,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,5.0000000000,3.62130639
"Chile (mainland)",eez,1950,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Unreported,purse seine,Fishmeal and fish oil,1.3152000000,0.9525484328255999
"Chile (mainland)",eez,1950,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Reported,purse seine,Direct human consumption,9990.0000000000,3685976.9294040003
"Chile (mainland)",eez,1950,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Unreported,purse seine,Direct human consumption,2627.7696000000,969559.3715104283
"Peru",eez,1950,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Peru",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,500.0000000000,204.38412449999998
"Chile (mainland)",eez,1951,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Unreported,purse seine,Fishmeal and fish oil,1.5520000000,1.308807118912
"Chile (mainland)",eez,1951,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Unreported,purse seine,Direct human consumption,3100.8960000000,941529.7280109889
"Chile (mainland)",eez,1951,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Unreported,purse seine,Other,1.5520000000,1.308807118912
"Chile (mainland)",eez,1951,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Reported,purse seine,Other,6.5000000000,5.481473114
"Chile (mainland)",eez,1951,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,6.5000000000,5.481473114
"Chile (mainland)",eez,1951,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Chile",Industrial,Landings,Reported,purse seine,Direct human consumption,12987.0000000000,3943262.3917986
"Peru",eez,1951,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Peru",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,7400.0000000000,3691.8980212
"Peru",eez,1951,"Engraulis ringens","Anchoveta","Small pelagics (<30 cm)","Anchovies","Peru",Industrial,Landings,Unreported,purse seine,Fishmeal and fish oil,2940.0000000000,1466.7811057200001
