year,tonnes
1950,13130.4
1951,28229.0
1952,34215.88
1953,56515.04
1954,63340.399999999994
1955,79173.696
1956,140530.392
1957,361668.456
1958,816310.4
1959,2222118.8880000003
1960,4069663.0
1961,6361416.4992
1962,8581999.1248
1963,8845137.0512
1964,12379762.384000001
1965,9575611.32
1966,12075371.7376
1967,13544140.6768
1968,14495814.774399998
1969,12329743.628800001
1970,17228053.8784
1971,14471739.185600001
1972,5750866.220799999
1973,1916752.2384
1974,5120680.838400002
1975,4168062.4656
1976,5117502.348799999
1977,1025593.5056
1978,1970214.9967999991
1979,1712592.5423999997
1980,1040466.1136
1981,1876166.2255999995
1982,2375183.6032
1983,405494.9120000002
1984,358107.1279999994
1985,1350712.4767999996
1986,5935621.6400000015
1987,3413439.264
1988,4332523.478399999
1989,6466648.8303999975
1990,4539290.151999999
1991,4869306.232000002
1992,7550981.632
1993,10272538.377777772
1994,15446897.99999999
1995,10377129.022222219
1996,11133964.111111106
1997,9229088.333333334
1998,2107022.8444444444
1999,10730668.599999998
2000,14320697.48
2001,9081173.343410622
2002,12260896.56167
2003,7696843.507638888
2004,13524091.608140113
2005,12986447.151504887
2006,8534155.503061445
2007,9217571.872428447
2008,8981540.725442557
2009,8263731.656978118
2010,5028358.380614658
2011,10765517.240134204
2012,5913276.361406192
2013,6927220.80650845
2014,4023785.1
2015,4781406.4
2016,3607532.939952719
2017,4267358.836137904
2018,7610881.082910439
2019,4714922.015791505
