year,tonnes
1950,500.0
1951,7400.0
1952,15700.0
1953,37200.0
1954,43100.0
1955,58800.0
1956,118900.0
1957,325900.0
1958,739100.0
1959,1946800.0
1960,3313100.0
1961,5010900.0
1962,6691500.0
1963,6634800.0
1964,8863400.0
1965,7242400.0
1966,8529800.0
1967,9824600.0
1968,10262700.0
1969,8960500.0
1970,12277000.0
1971,10276800.0
1972,4447400.0
1973,1513000.0
1974,3583476.0
1975,3078810.0
1976,3863050.0
1977,792106.0
1978,1187041.0
1979,1362763.0
1980,720124.0
1981,1225168.0
1982,1720437.0
1983,118441.0
1984,22988.0
1985,844255.0
1986,3481869.0
1987,1764635.0
1988,2701369.0
1989,3720173.0
1990,2926408.0
1991,3080992.0
1992,4869966.0
1993,7009534.0
1994,9800223.0
1995,6558108.0
1996,7463147.0
1997,5927599.0
1998,1206322.0
1999,6740225.0
2000,9575717.0
2001,6358217.0
2002,8104729.0
2003,5347187.0
2004,8808494.0
2005,8655461.0
2006,5935302.0
2007,6159802.0
2008,6257981.0
2009,5935165.0
2010,3450609.0
2011,7125244.0
2012,3776880.0
2013,4870630.0
2014,2322129.0
2015,3769920.0
2016,2855040.0
2017,3297049.0
2018,6194843.0
2019,3504609.809
2020,4394231.962
2021,5269216.352
2022,4118122.44
2023,2047731.884
2024,4731954.939
