param,factor,Estar,Nstar,Fstar,rho_ex_1,rho_eu_1,Trc_exact,theta0,kind,prot_max,flag
q,0.0001,2.089623,98.955188,0.000209,0.968278,0.970296,none,-,-,0.996092,ok
q,0.0001778,2.089623,98.142033,0.000372,0.971425,0.970914,none,-,-,0.996156,ok
q,0.0003162,2.089623,96.696015,0.000661,0.977869,0.977543,none,-,-,0.996265,ok
q,0.0005623,2.089623,94.124592,0.001175,0.987320,0.987229,none,-,-,0.996448,ok
q,0.001,2.089623,89.551883,0.002090,1.000351,1.000545,6.5013,0.175494,complex-pair,0.996740,ok
q,0.001778,2.089623,81.420329,0.003716,1.016819,1.017338,51.1050,0.750945,complex-pair,0.997184,ok
q,0.003162,2.089623,66.960153,0.006608,1.060969,1.062735,91.2183,0.864624,complex-pair,0.997810,ok
q,0.005623,2.089623,41.245920,0.011751,1.078545,1.080445,none,-,-,0.998666,ok
q,0.01,-,-,-,-,-,-,-,-,-,INVALID:inadmissible eq: E*=2.09 N*=-4.481
q,0.01778,-,-,-,-,-,-,-,-,-,INVALID:inadmissible eq: E*=2.09 N*=-85.8
q,0.03162,-,-,-,-,-,-,-,-,-,INVALID:inadmissible eq: E*=2.09 N*=-230.4
q,0.05623,-,-,-,-,-,-,-,-,-,INVALID:inadmissible eq: E*=2.09 N*=-487.5
q,0.1,-,-,-,-,-,-,-,-,-,INVALID:inadmissible eq: E*=2.09 N*=-944.8
