stockid,n_SSB,n_F,F_mean,F_med,F_max,placement
ANCHIXa,33,32,1.0000,0.9697,1.8305,beyond-feasible
ANCHMEDGSA17-18,48,48,0.6385,0.5540,1.5400,beyond-feasible
ANCHMEDGSA29,34,34,1.2613,1.1854,1.9805,beyond-feasible
ANCHMEDGSA7,20,20,0.1085,0.1060,0.2310,beyond-feasible
ANCHOBAYB,34,27,0.3336,0.3640,0.6810,beyond-feasible
ANCHOSA,36,0,-,-,-,no-F
ARGANCHONARG,30,30,0.0437,0.0420,0.0960,beyond-feasible
ARGANCHOSARG,30,30,0.0053,0.0040,0.0140,unstable-range
HERR2224IIIa,31,29,0.4220,0.4070,0.7010,beyond-feasible
HERR2529-32,48,47,0.2451,0.2190,0.4600,beyond-feasible
HERR2532,38,37,0.2701,0.2430,0.4820,beyond-feasible
HERR30,44,42,0.1411,0.1425,0.2060,beyond-feasible
HERR30-31,61,60,0.0841,0.0587,0.2564,beyond-feasible
HERR31,31,31,0.3294,0.2880,0.6400,beyond-feasible
HERR4RFA,53,30,0.0841,0.0705,0.1990,beyond-feasible
HERR4RSP,53,39,0.2128,0.1750,0.5780,beyond-feasible
HERR4TFA,41,36,0.3270,0.3275,0.9060,beyond-feasible
HERR4TSP,41,36,0.4930,0.4240,1.7400,beyond-feasible
HERR4VWX,42,41,0.7083,0.5700,2.4600,beyond-feasible
HERRIsum,37,31,0.2701,0.2600,0.4400,beyond-feasible
HERRNIRS,63,62,0.4352,0.3830,0.9930,beyond-feasible
HERRNORSS,74,73,0.2945,0.1500,3.4900,beyond-feasible
HERRNS-IIIa-VIId,77,76,0.3384,0.2520,1.2100,beyond-feasible
HERRNWATLC,58,57,0.3777,0.2750,0.7980,beyond-feasible
HERRRIGA,47,45,0.4185,0.4240,0.7080,beyond-feasible
HERRSIRS,64,63,0.4734,0.4500,0.9740,beyond-feasible
HERRVIa,57,57,0.3549,0.2720,1.0800,beyond-feasible
HERRVIaVIIbc,62,61,0.3409,0.2760,1.0400,beyond-feasible
JANCHOPJPN,36,0,-,-,-,no-F
JANCHOSETO,38,0,-,-,-,no-F
JANCHOTSST,42,0,-,-,-,no-F
PANCHCCH,36,36,0.5616,0.5025,1.7000,beyond-feasible
PANCHCHVX,23,23,1.3357,1.3700,3.1100,beyond-feasible
PANCHCSCH,31,31,1.2472,1.0500,3.6200,beyond-feasible
PANCHNCH,29,15,2.6776,2.9800,4.0200,beyond-feasible
PANCHNCHSP,36,36,2.6179,1.9250,7.9800,beyond-feasible
PANCHPERUNC,47,47,0.7297,0.6150,2.1000,beyond-feasible
PANCHSCH,28,28,0.8514,0.7800,2.7800,beyond-feasible
SPRAT22-32,50,48,0.3179,0.3189,0.5320,beyond-feasible
SPRATIIIa-IV,48,47,1.2363,1.2750,2.2030,beyond-feasible
SPRATNS,45,44,1.0598,1.0185,2.3200,beyond-feasible
SPRBLKGSA29,30,32,0.2344,0.2050,0.6400,beyond-feasible
