year,R_lo,R,R_hi,TB_lo,TB,TB_hi,SSB_lo,SSB,SSB_hi,landings,catch,discards,F_lo,F,F_hi
1955,135671,151049,169310,1632037,1738753,1943403,630454,764535,845961,545250,545250,0,0.219,0.242,0.254
1956,126908,143790,164537,1475627,1551410,1772470,526812,615238,717969,486909,486909,0,0.229,0.256,0.267
1957,145232,161494,179758,1384486,1451713,1665066,530560,592727,722413,455182,455182,0,0.269,0.303,0.316
1958,191568,215083,239940,1448341,1534517,1671831,634116,705112,798543,517359,517359,0,0.268,0.29,0.309
1959,274724,303446,334057,1323477,1450432,1537811,542892,655394,712829,459081,459081,0,0.27,0.295,0.312
1960,141599,153937,173457,1332908,1419487,1495900,522017,603851,638709,470121,470121,0,0.234,0.246,0.262
1961,177530,195919,215898,1076590,1139313,1200852,417696,477947,511392,377291,377291,0,0.253,0.269,0.285
1962,113101,125540,141702,1171146,1241653,1306404,459708,515106,547236,388985,388985,0,0.261,0.275,0.291
1963,157063,173369,194552,1119835,1190524,1250472,417078,471699,499237,408800,408800,0,0.311,0.329,0.351
1964,173113,197658,226579,1060074,1119393,1179772,382967,431795,457951,437012,437012,0,0.314,0.333,0.353
1965,196410,219503,253507,885864,931469,989984,293042,331197,352000,387106,387106,0,0.324,0.346,0.365
1966,208361,232913,263489,938337,982647,1047123,269500,301796,324839,353357,353357,0,0.299,0.321,0.338
1967,287968,319526,358356,989547,1036075,1112713,257264,283895,312082,335721,335721,0,0.298,0.322,0.342
1968,154971,171449,192661,990942,1034467,1113671,225805,251038,284507,381770,381770,0,0.297,0.319,0.338
1969,215601,239617,270078,1111978,1161112,1239864,325214,357150,395777,403205,403205,0,0.315,0.338,0.353
1970,160011,179805,199017,1045550,1101163,1166316,328081,359976,390766,475077,475077,0,0.32,0.341,0.359
1971,174373,193106,218166,874821,912968,968232,233667,259647,282208,444248,444248,0,0.357,0.38,0.4
1972,127962,142291,160468,776253,816318,862347,206938,235411,249537,395166,395166,0,0.364,0.386,0.407
1973,252258,277764,309108,724243,760103,802218,227016,250229,268766,369205,369205,0,0.415,0.443,0.468
1974,170156,187287,207913,745624,782822,826932,173722,192139,208613,368133,368133,0,0.376,0.402,0.426
1975,234630,259142,286056,796852,834058,883669,162721,175446,193854,364754,364754,0,0.368,0.395,0.42
1976,331036,367732,428715,925203,962624,1026327,136357,146633,162181,346253,346253,0,0.338,0.361,0.382
1977,130904,144417,160369,1024910,1070349,1148915,185728,199221,220703,340086,340086,0,0.236,0.257,0.271
1978,205799,224301,246365,1130779,1181463,1280107,197697,213709,238104,329602,329602,0,0.246,0.271,0.288
1979,214016,237488,263142,1233571,1287361,1390449,286431,308504,347660,366462,366462,0,0.266,0.291,0.307
1980,129602,141616,156553,1239277,1300276,1402923,339663,375669,428030,432237,432237,0,0.277,0.3,0.315
1981,132668,145485,158912,1011190,1059508,1115849,252225,286039,305010,465032,465032,0,0.308,0.326,0.341
1982,130673,141313,153898,796336,831393,879847,168477,189146,207095,380068,380068,0,0.31,0.329,0.346
1983,213178,227772,245210,690136,716132,761454,133812,147038,164947,298049,298049,0,0.336,0.358,0.374
