year,R_lo,R,R_hi,TB_lo,TB,TB_hi,SSB_lo,SSB,SSB_hi,landings,catch,discards,F_lo,F,F_hi
1979,25251,40825,66007,156286,178956,204916,62694,71262,80999,59332,59332,0,0.5486,0.6201,0.7009
1980,10775,17976,29988,169517,194312,222734,77909,89488,102787,53863,53863,0,0.3839,0.436,0.495
1981,33068,52580,83606,178496,200006,224109,93020,105588,119853,67126,67126,0,0.3652,0.4109,0.4622
1982,24933,39350,62102,160435,176895,195044,85412,95992,107883,69385,69385,0,0.4162,0.4583,0.5048
1983,16254,24852,37997,134666,147568,161706,69622,77608,86511,65869,65869,0,0.493,0.5374,0.5857
1984,36641,51754,73100,106157,116427,127689,52793,58506,64837,48236,48236,0,0.4962,0.5391,0.5856
1985,70401,90965,117537,105880,115584,126177,42593,47068,52013,50953,50953,0,0.4904,0.5384,0.5911
1986,185451,236682,302066,112776,123745,135781,35442,39225,43412,48881,48881,0,0.532,0.5978,0.6717
1987,32390,43063,57253,124903,139598,156021,31199,34670,38529,41033,41033,0,0.5099,0.5818,0.6639
1988,22609,30440,40983,149213,166113,184926,47073,52422,58378,54148,54148,0,0.525,0.59,0.663
1989,23633,31435,41812,149653,166150,184465,65999,74001,82974,62804,62804,0,0.513,0.5715,0.6368
1990,103508,134536,174866,133455,145816,159322,70230,78362,87435,67095,67095,0,0.5405,0.594,0.6528
1991,140871,180077,230193,129618,140900,153163,55810,61932,68726,54709,54709,0,0.4987,0.5434,0.5922
1992,27042,36227,48531,125300,137710,151350,43951,48394,53286,47185,47185,0,0.6002,0.6594,0.7243
1993,41943,55501,73442,128862,143319,159399,51196,56862,63155,48890,48890,0,0.6663,0.7454,0.8338
1994,76119,99017,128804,126513,139980,154881,60336,67437,75373,61588,61588,0,0.7703,0.8587,0.9572
1995,53804,69178,88945,124891,135663,147364,55827,61772,68350,61452,61452,0,0.6253,0.687,0.7548
1996,142492,178575,223796,111757,121637,132391,45541,50151,55228,57103,57103,0,0.7273,0.7962,0.8716
1997,16478,21378,27733,102634,112073,122379,40649,44764,49296,44057,44057,0,0.6649,0.7317,0.8051
1998,42463,53520,67455,95574,104533,114333,46335,51022,56183,41396,41396,0,0.6946,0.7853,0.8879
1999,129937,162442,203078,96215,105364,115382,43718,48589,54003,45425,45425,0,0.7416,0.8231,0.9135
2000,115061,141567,174180,102212,111773,122230,40611,44962,49780,41239,41239,0,0.6006,0.6676,0.7421
2001,173144,211092,257358,132193,145958,161157,48823,53980,59681,39848,39848,0,0.5428,0.6229,0.7148
2002,43479,54874,69256,190135,210369,232757,75309,83714,93058,50456,50456,0,0.4446,0.5058,0.5755
2003,159396,195028,238624,226375,250064,276232,118356,131877,146942,61011,61011,0,0.4285,0.4835,0.5455
2004,400356,483927,584941,282707,309228,338237,136054,150861,167280,84927,84927,0,0.4125,0.4588,0.5102
2005,56855,71662,90325,317714,346219,377283,128662,141857,156406,97440,97440,0,0.4511,0.4965,0.5464
2006,52345,66461,84382,307124,335393,366263,108887,119311,130733,97722,97722,0,0.5474,0.5995,0.6566
2007,51375,64923,82044,295741,323605,354095,124504,136903,150537,109880,109880,0,0.668,0.7361,0.8112
2008,116128,142967,176009,244518,265836,289014,115540,127541,140787,102888,102888,0,0.5793,0.6339,0.6936
2009,25117,32185,41242,192983,209140,226650,97984,108499,120141,82268,82268,0,0.524,0.5727,0.626
2010,26423,33945,43607,156106,169472,183983,77224,85100,93780,64237,64237,0,0.5252,0.5753,0.6303
2011,17850,23783,31689,138247,151563,166161,68645,75795,83690,49449,49449,0,0.4487,0.4956,0.5475
2012,28768,36745,46934,132263,144762,158441,67219,74384,82311,46049,46049,0,0.3637,0.4024,0.4452
2013,27577,35614,45992,125979,137916,150983,69921,77686,86314,44047,44047,0,0.3407,0.3778,0.419
2014,21329,27519,35505,118135,129307,141535,56456,62669,69566,33935,33935,0,0.296,0.33,0.3678
2015,104913,129434,159687,125798,137419,150114,64186,70966,78462,39665,39665,0,0.306,0.3394,0.3764
2016,51226,64370,80887,126708,138007,150313,60817,67081,73990,38100,38100,0,0.3078,0.3423,0.3805
2017,49953,63119,79754,142989,156218,170670,63183,69583,76633,37062,37062,0,0.3234,0.3618,0.4047
2018,79974,99460,123694,166957,183508,201699,73671,81137,89360,48864,48864,0,0.3424,0.3856,0.4344
2019,16859,21897,28440,168433,184615,202353,84970,94123,104263,58044,58044,0,0.3591,0.4,0.4455
2020,180602,220122,268290,180308,197461,216246,87556,97073,107623,54781,54781,0,0.3457,0.3881,0.4358
2021,153535,188686,231884,202734,221606,242235,90190,99906,110668,57602,57602,0,0.3153,0.3519,0.3928
2022,109162,134997,166947,236832,259255,283801,97232,107600,119073,58776,58776,0,0.3176,0.3555,0.3979
2023,37538,48668,63097,284802,313528,345151,124491,137853,152649,71023,71023,0,0.3058,0.3409,0.3799
2024,40341,52622,68642,277755,308822,343364,127865,143614,161302,85179,85179,0,0.349,0.3916,0.4394
2025,69501,90095,116793,241477,274189,311333,120187,139801,162617,84322,84322,0,0.3672,0.4225,0.4862
2026,165565,235664,335441,199851,238858,285478,112156,139691,173986,,,0,,,
