year,catch_t
1950,500.0
1951,12125.0
1952,16142.0
1953,37795.0
1954,43886.0
1955,60064.0
1956,122671.0
1957,343433.0
1958,797440.0
1959,2200625.0
1960,3884581.0
1961,6082920.504
1962,8346113.172
1963,8277957.289
1964,11410214.032
1965,9119193.512
1966,10958624.593
1967,12821094.258
1968,13464349.226
1969,11573646.865
1970,16443748.341
1971,13505981.268
1972,5379564.18
1973,1713112.826
1974,4324966.913
1975,3658688.527
1976,4650936.602
1977,880548.664
1978,1399471.565
1979,1542731.617
1980,817719.267
1981,1436674.226
1982,2008193.92
1983,171175.12
1984,83582.503
1985,999332.652
1986,4485843.495
1987,2276826.901
1988,3378463.01
1989,4853068.233
1990,3659359.684
1991,3892664.606
1992,6292454.592
1993,9149115.041
1994,13420194.04
1995,8741981.618
1996,9877502.63
1997,7876530.522
1998,1626662.361
1999,9268497.028
2000,13021730.944
2001,8260062.802
2002,10879036.0
2003,6864126.59
2004,11933675.492
2005,11670306.703
2006,7660027.796
2007,8111602.173
2008,8130606.956
2009,7539686.523
2010,4397751.214
2011,9011110.06
2012,4862280.15
2013,5973904.267
2014,3078736.03
2015,4326314.3
2016,3295783.322
2017,3745255.822
2018,6904833.422
2019,4058467.593
