"stockid","tsyear","F","TC","SSB"
"ANCHIXa",1989,0.633538811,NA,1.71
"ANCHIXa",1990,1.806235783,NA,1.41
"ANCHIXa",1991,0.71784937,NA,0.722
"ANCHIXa",1992,0.467200853,NA,0.917
"ANCHIXa",1993,1.165847495,NA,0.773
"ANCHIXa",1994,0.106401256,NA,0.623
"ANCHIXa",1995,0.245356427,NA,1.06
"ANCHIXa",1996,1.243747065,NA,2.04
"ANCHIXa",1997,1.117840676,NA,2.61
"ANCHIXa",1998,1.830503798,NA,1.78
"ANCHIXa",1999,0.896086972,NA,0.806
"ANCHIXa",2000,0.9411151,NA,0.956
"ANCHIXa",2001,1.289455605,NA,1.59
"ANCHIXa",2002,1.009806432,NA,1.44
"ANCHIXa",2003,0.985432576,NA,0.743
"ANCHIXa",2004,1.31261984,NA,0.575
"ANCHIXa",2005,0.698782725,NA,0.659
"ANCHIXa",2006,0.541048193,NA,1.04
"ANCHIXa",2007,0.614351204,NA,1.63
"ANCHIXa",2008,0.976194099,NA,0.947
"ANCHIXa",2009,1.346776503,NA,0.434
"ANCHIXa",2010,0.866768791,NA,0.316
"ANCHIXa",2011,0.963115076,NA,0.813
"ANCHIXa",2012,0.637439838,NA,0.62
"ANCHIXa",2013,1.710479189,NA,1.14
"ANCHIXa",2014,1.231333333,10339.16905,0.747
"ANCHIXa",2015,0.944774203,8541.1796,0.603
"ANCHIXa",2016,1.560395508,15356.48795,0.709
"ANCHIXa",2017,1.417841715,15064.26115,0.317
"ANCHIXa",2018,0.738821168,15799.28817,0.389
"ANCHIXa",2019,0.867222399,NA,0.941
"ANCHIXa",2020,1.115617998,NA,1.25
"ANCHIXa",2021,NA,NA,0.696
"ANCHMEDGSA1",2002,2.74,3270,3510
"ANCHMEDGSA1",2003,0.295,245,904
"ANCHMEDGSA1",2004,0.661,746,1700
"ANCHMEDGSA1",2005,0.495,518,1430
"ANCHMEDGSA1",2006,1.17,637,1100
"ANCHMEDGSA1",2007,0.884,245,420
"ANCHMEDGSA1",2008,1.22,178,325
"ANCHMEDGSA1",2009,1.05,292,526
"ANCHMEDGSA16",1998,0.194,781,NA
"ANCHMEDGSA16",1999,0.019,2040,NA
"ANCHMEDGSA16",2000,0.115,190,NA
"ANCHMEDGSA16",2001,0.258,1630,NA
"ANCHMEDGSA16",2002,0.181,3470,NA
"ANCHMEDGSA16",2003,0.129,2220,NA
