Tr,exact mobilising,Euler mobilising,exact protective,Euler protective
0.200000,1.000072,1.000079,0.996740,0.996740
0.203232,1.000073,1.000081,0.996688,0.996687
0.206517,1.000074,1.000082,0.996634,0.996634
0.209855,1.000075,1.000084,0.996580,0.996580
0.213246,1.000077,1.000085,0.996525,0.996524
0.216693,1.000078,1.000087,0.996469,0.996468
0.220195,1.000079,1.000088,0.996412,0.996411
0.223753,1.000080,1.000090,0.996354,0.996353
0.227370,1.000082,1.000091,0.996295,0.996295
0.231044,1.000083,1.000093,0.996235,0.996235
0.234778,1.000084,1.000095,0.996175,0.996174
0.238573,1.000086,1.000096,0.996113,0.996112
0.242428,1.000087,1.000098,0.996050,0.996050
0.246346,1.000088,1.000100,0.995987,0.995986
0.250328,1.000090,1.000102,0.995922,0.995921
0.254373,1.000091,1.000104,0.995856,0.995855
0.258485,1.000093,1.000106,0.995789,0.995788
0.262662,1.000094,1.000107,0.995721,0.995721
0.266907,1.000096,1.000109,0.995652,0.995651
0.271221,1.000097,1.000111,0.995582,0.995581
0.275604,1.000099,1.000113,0.995511,0.995510
0.280058,1.000100,1.000115,0.995439,0.995438
0.284585,1.000102,1.000118,0.995365,0.995364
0.289184,1.000104,1.000120,0.995290,0.995289
0.293858,1.000105,1.000122,0.995214,0.995213
0.298607,1.000107,1.000124,0.995137,0.995136
0.303433,1.000109,1.000126,0.995059,0.995058
0.308337,1.000111,1.000129,0.994979,0.994978
0.313320,1.000112,1.000131,0.994898,0.994897
0.318384,1.000114,1.000134,0.994816,0.994815
0.323529,1.000116,1.000136,0.994732,0.994731
0.328758,1.000118,1.000139,0.994648,0.994646
0.334071,1.000120,1.000141,0.994561,0.994560
0.339470,1.000122,1.000144,0.994474,0.994472
0.344957,1.000124,1.000146,0.994385,0.994383
0.350532,1.000126,1.000149,0.994294,0.994293
0.356197,1.000128,1.000152,0.994202,0.994201
0.361954,1.000130,1.000155,0.994109,0.994107
0.367803,1.000132,1.000158,0.994014,0.994012
0.373748,1.000134,1.000161,0.993917,0.993916
0.379788,1.000136,1.000164,0.993819,0.993818
0.385926,1.000138,1.000167,0.993720,0.993718
0.392163,1.000140,1.000170,0.993619,0.993617
0.398501,1.000143,1.000173,0.993516,0.993514
0.404942,1.000145,1.000176,0.993411,0.993409
0.411486,1.000147,1.000180,0.993305,0.993303
0.418137,1.000150,1.000183,0.993197,0.993195
0.424894,1.000152,1.000187,0.993088,0.993086
0.431761,1.000155,1.000190,0.992977,0.992974
0.438739,1.000157,1.000194,0.992863,0.992861
0.445830,1.000160,1.000198,0.992749,0.992746
0.453035,1.000162,1.000201,0.992632,0.992629
0.460357,1.000165,1.000205,0.992513,0.992511
0.467797,1.000167,1.000209,0.992393,0.992390
0.475358,1.000170,1.000213,0.992270,0.992267
0.483040,1.000173,1.000217,0.992146,0.992143
0.490847,1.000175,1.000222,0.992019,0.992016
0.498780,1.000178,1.000226,0.991891,0.991888
0.506841,1.000181,1.000230,0.991760,0.991757
0.515032,1.000184,1.000235,0.991628,0.991624
0.523356,1.000187,1.000239,0.991493,0.991490
0.531814,1.000190,1.000244,0.991356,0.991353
0.540409,1.000193,1.000249,0.991217,0.991213
0.549143,1.000196,1.000254,0.991076,0.991072
0.558018,1.000199,1.000259,0.990932,0.990928
0.567037,1.000202,1.000264,0.990786,0.990782
0.576201,1.000205,1.000269,0.990638,0.990634
0.585513,1.000209,1.000275,0.990488,0.990483
0.594976,1.000212,1.000280,0.990335,0.990330
0.604592,1.000215,1.000286,0.990179,0.990175
0.614363,1.000219,1.000291,0.990021,0.990016
0.624292,1.000222,1.000297,0.989861,0.989856
0.634382,1.000226,1.000303,0.989698,0.989693
0.644634,1.000229,1.000309,0.989532,0.989527
0.655052,1.000233,1.000316,0.989364,0.989358
0.665639,1.000237,1.000322,0.989193,0.989187
0.676397,1.000240,1.000329,0.989019,0.989013
0.687329,1.000244,1.000335,0.988843,0.988837
0.698437,1.000248,1.000342,0.988664,0.988657
0.709725,1.000252,1.000349,0.988481,0.988475
0.721195,1.000256,1.000356,0.988296,0.988290
0.732851,1.000260,1.000364,0.988108,0.988101
0.744695,1.000264,1.000371,0.987917,0.987910
0.756730,1.000268,1.000379,0.987723,0.987716
0.768960,1.000272,1.000387,0.987526,0.987519
0.781388,1.000277,1.000395,0.987326,0.987318
0.794016,1.000281,1.000403,0.987122,0.987114
0.806849,1.000285,1.000411,0.986916,0.986907
0.819889,1.000290,1.000420,0.986706,0.986697
0.833140,1.000294,1.000429,0.986492,0.986483
0.846605,1.000299,1.000438,0.986276,0.986266
0.860287,1.000304,1.000447,0.986055,0.986046
0.874191,1.000308,1.000457,0.985832,0.985822
0.888319,1.000313,1.000466,0.985604,0.985594
0.902676,1.000318,1.000476,0.985373,0.985363
0.917264,1.000323,1.000486,0.985139,0.985128
0.932089,1.000328,1.000497,0.984900,0.984889
0.947153,1.000333,1.000507,0.984658,0.984647
0.962461,1.000338,1.000518,0.984412,0.984400
0.978015,1.000343,1.000529,0.984163,0.984150
0.993822,1.000349,1.000541,0.983909,0.983896
1.009884,1.000354,1.000552,0.983651,0.983637
1.026205,1.000359,1.000564,0.983389,0.983375
1.042790,1.000365,1.000577,0.983123,0.983108
1.059643,1.000370,1.000589,0.982852,0.982837
1.076769,1.000376,1.000602,0.982578,0.982562
1.094171,1.000382,1.000615,0.982299,0.982283
1.111855,1.000388,1.000629,0.982015,0.981999
1.129824,1.000393,1.000643,0.981727,0.981710
1.148084,1.000399,1.000657,0.981435,0.981417
1.166639,1.000405,1.000671,0.981138,0.981119
1.185493,1.000411,1.000686,0.980836,0.980817
1.204653,1.000418,1.000702,0.980529,0.980510
1.224122,1.000424,1.000717,0.980218,0.980198
1.243906,1.000430,1.000733,0.979902,0.979881
1.264009,1.000437,1.000750,0.979580,0.979558
1.284438,1.000443,1.000767,0.979254,0.979231
1.305196,1.000450,1.000784,0.978922,0.978899
1.326290,1.000456,1.000801,0.978585,0.978561
1.347725,1.000463,1.000820,0.978243,0.978218
1.369507,1.000470,1.000838,0.977895,0.977870
1.391640,1.000476,1.000857,0.977542,0.977516
1.414131,1.000483,1.000877,0.977184,0.977156
1.436986,1.000490,1.000897,0.976819,0.976791
1.460210,1.000497,1.000917,0.976449,0.976420
1.483809,1.000504,1.000939,0.976073,0.976043
1.507790,1.000512,1.000960,0.975692,0.975660
1.532159,1.000519,1.000982,0.975304,0.975271
1.556921,1.000526,1.001005,0.974910,0.974876
1.582083,1.000534,1.001028,0.974510,0.974475
1.607652,1.000541,1.001052,0.974104,0.974067
1.633634,1.000549,1.001077,0.973691,0.973653
1.660036,1.000556,1.001102,0.973271,0.973233
1.686865,1.000564,1.001128,0.972846,0.972805
1.714128,1.000572,1.001154,0.972413,0.972371
1.741831,1.000579,1.001182,0.971974,0.971931
1.769982,1.000587,1.001209,0.971528,0.971483
1.798587,1.000595,1.001238,0.971074,0.971028
1.827656,1.000603,1.001267,0.970614,0.970566
1.857193,1.000611,1.001297,0.970147,0.970097
1.887209,1.000619,1.001328,0.969672,0.969621
1.917709,1.000627,1.001360,0.969190,0.969137
1.948702,1.000635,1.001393,0.968700,0.968645
1.980196,1.000643,1.001426,0.968203,0.968146
2.012200,1.000651,1.001460,0.967698,0.967639
2.044720,1.000659,1.001495,0.967185,0.967124
2.077766,1.000667,1.001532,0.966664,0.966601
2.111346,1.000676,1.001569,0.966134,0.966069
2.145469,1.000684,1.001607,0.965597,0.965530
2.180143,1.000692,1.001646,0.965051,0.964981
2.215378,1.000700,1.001686,0.964497,0.964425
2.251182,1.000708,1.001727,0.963934,0.963859
2.287564,1.000716,1.001769,0.963363,0.983159
2.324535,1.000724,1.001812,0.962782,1.016301
2.362103,1.000732,1.001857,0.962193,1.050004
2.400279,1.000740,1.001903,0.961594,1.084275
2.439071,1.000748,1.001950,0.960987,1.119126
2.478490,1.000756,1.001998,0.960369,1.154565
2.518547,1.000764,1.002047,0.959743,1.190602
2.559251,1.000772,1.002098,0.959106,1.227248
2.600612,1.000779,1.002150,0.958460,1.264513
2.642642,1.000787,1.002203,0.957804,1.302406
2.685352,1.000794,1.002258,0.957138,1.340939
2.728751,1.000801,1.002315,0.956461,1.380121
2.772852,1.000808,1.002373,0.955774,1.419965
2.817666,1.000815,1.002432,0.955076,1.460481
2.863204,1.000822,1.002493,0.954368,1.501679
2.909478,1.000828,1.002556,0.953649,1.543572
2.956500,1.000835,1.002620,0.952919,1.586171
3.004282,1.000841,1.002686,0.952178,1.629487
3.052836,1.000846,1.002754,0.951425,1.673533
3.102175,1.000852,1.002824,0.950661,1.718320
3.152311,1.000857,1.002895,0.949885,1.763860
3.203257,1.000862,1.002969,0.949097,1.810167
3.255027,1.000866,1.003044,0.948298,1.857252
3.307634,1.000870,1.003122,0.947486,1.905129
3.361090,1.000874,1.003201,0.946662,1.953810
3.415411,1.000877,1.003283,0.945825,2.003308
