stockid,n,freq_cyc_per_yr,power_norm
ANCHIXa,33,0.01562500,0.0000136549
ANCHIXa,33,0.01594813,0.0000150182
ANCHIXa,33,0.01627126,0.0000164944
ANCHIXa,33,0.01659440,0.0000180911
ANCHIXa,33,0.01691753,0.0000198165
ANCHIXa,33,0.01724066,0.0000216792
ANCHIXa,33,0.01756379,0.0000236883
ANCHIXa,33,0.01788692,0.0000258533
ANCHIXa,33,0.01821006,0.0000281843
ANCHIXa,33,0.01853319,0.0000306918
ANCHIXa,33,0.01885632,0.0000333870
ANCHIXa,33,0.01917945,0.0000362814
ANCHIXa,33,0.01950259,0.0000393872
ANCHIXa,33,0.01982572,0.0000427172
ANCHIXa,33,0.02014885,0.0000462847
ANCHIXa,33,0.02047198,0.0000501037
ANCHIXa,33,0.02079511,0.0000541889
ANCHIXa,33,0.02111825,0.0000585554
ANCHIXa,33,0.02144138,0.0000632191
ANCHIXa,33,0.02176451,0.0000681967
ANCHIXa,33,0.02208764,0.0000735052
ANCHIXa,33,0.02241077,0.0000791627
ANCHIXa,33,0.02273391,0.0000851877
ANCHIXa,33,0.02305704,0.0000915994
ANCHIXa,33,0.02338017,0.0000984176
ANCHIXa,33,0.02370330,0.0001056626
ANCHIXa,33,0.02402643,0.0001133554
ANCHIXa,33,0.02434957,0.0001215172
ANCHIXa,33,0.02467270,0.0001301699
ANCHIXa,33,0.02499583,0.0001393353
ANCHIXa,33,0.02531896,0.0001490356
ANCHIXa,33,0.02564209,0.0001592928
ANCHIXa,33,0.02596523,0.0001701289
ANCHIXa,33,0.02628836,0.0001815654
ANCHIXa,33,0.02661149,0.0001936230
ANCHIXa,33,0.02693462,0.0002063220
ANCHIXa,33,0.02725776,0.0002196813
ANCHIXa,33,0.02758089,0.0002337182
ANCHIXa,33,0.02790402,0.0002484486
ANCHIXa,33,0.02822715,0.0002638860
ANCHIXa,33,0.02855028,0.0002800415
ANCHIXa,33,0.02887342,0.0002969235
ANCHIXa,33,0.02919655,0.0003145367
ANCHIXa,33,0.02951968,0.0003328825
ANCHIXa,33,0.02984281,0.0003519580
ANCHIXa,33,0.03016594,0.0003717556
ANCHIXa,33,0.03048908,0.0003922632
ANCHIXa,33,0.03081221,0.0004134629
ANCHIXa,33,0.03113534,0.0004353317
ANCHIXa,33,0.03145847,0.0004578403
ANCHIXa,33,0.03178160,0.0004809535
ANCHIXa,33,0.03210474,0.0005046298
ANCHIXa,33,0.03242787,0.0005288216
ANCHIXa,33,0.03275100,0.0005534750
ANCHIXa,33,0.03307413,0.0005785298
ANCHIXa,33,0.03339726,0.0006039204
ANCHIXa,33,0.03372040,0.0006295756
ANCHIXa,33,0.03404353,0.0006554194
ANCHIXa,33,0.03436666,0.0006813716
ANCHIXa,33,0.03468979,0.0007073484
ANCHIXa,33,0.03501293,0.0007332633
ANCHIXa,33,0.03533606,0.0007590281
ANCHIXa,33,0.03565919,0.0007845537
ANCHIXa,33,0.03598232,0.0008097513
ANCHIXa,33,0.03630545,0.0008345332
ANCHIXa,33,0.03662859,0.0008588139
ANCHIXa,33,0.03695172,0.0008825111
ANCHIXa,33,0.03727485,0.0009055466
ANCHIXa,33,0.03759798,0.0009278472
ANCHIXa,33,0.03792111,0.0009493451
ANCHIXa,33,0.03824425,0.0009699789
ANCHIXa,33,0.03856738,0.0009896940
ANCHIXa,33,0.03889051,0.0010084429
ANCHIXa,33,0.03921364,0.0010261851
ANCHIXa,33,0.03953677,0.0010428880
