param,factor,Estar,Nstar,Fstar,rho_ex_1,rho_eu_1,Trc_exact,theta0,kind,prot_max,flag
baseline,1.0,2.089623,89.551883,0.002090,1.000351,1.000545,6.5013,0.175494,complex-pair,0.996740,ok
r,0.9,2.089623,88.390981,0.002090,1.000766,1.000950,10.1844,0.251533,complex-pair,0.997098,ok
r,0.95,2.089623,89.001982,0.002090,1.000568,1.000757,8.4928,0.219425,complex-pair,0.996919,ok
r,1.05,2.089623,90.049412,0.002090,1.000117,1.000317,3.7490,0.105618,complex-pair,0.996562,ok
r,1.1,2.089623,90.501712,0.002090,0.999871,1.000074,none,-,-,0.996384,ok
K,0.9,2.089623,80.596695,0.002090,0.997461,0.997593,none,-,-,0.996712,ok
K,0.95,2.089623,85.074289,0.002090,0.998920,0.999083,none,-,-,0.996726,ok
K,1.05,2.089623,94.029477,0.002090,1.001755,1.001980,14.2825,0.354238,complex-pair,0.996755,ok
K,1.1,2.089623,98.507071,0.002090,1.003135,1.003388,19.0977,0.443371,complex-pair,0.996769,ok
q,0.9,2.089623,90.596695,0.001881,0.997687,0.997826,none,-,-,0.996677,ok
q,0.95,2.089623,90.074289,0.001985,0.999039,0.999206,none,-,-,0.996709,ok
q,1.05,2.089623,89.029477,0.002194,1.001625,1.001846,13.7973,0.343475,complex-pair,0.996772,ok
q,1.1,2.089623,88.507071,0.002299,1.002864,1.003110,18.3769,0.428843,complex-pair,0.996802,ok
Emax,0.9,1.881674,90.591631,0.001882,0.997690,0.997829,none,-,-,0.996677,ok
Emax,0.95,1.985649,90.071756,0.001986,0.999040,0.999208,none,-,-,0.996709,ok
Emax,1.05,2.193598,89.032011,0.002194,1.001623,1.001844,13.7899,0.343281,complex-pair,0.996771,ok
Emax,1.1,2.297572,88.512140,0.002298,1.002859,1.003105,18.3665,0.428574,complex-pair,0.996802,ok
eta,0.9,2.090749,89.546257,0.002091,0.999702,0.999869,none,-,-,0.996741,ok
eta,0.95,2.090157,89.549217,0.002090,1.000031,1.000212,2.1944,0.059444,complex-pair,0.996741,ok
eta,1.05,2.089141,89.554296,0.002089,1.000661,1.000869,8.7154,0.234674,complex-pair,0.996740,ok
eta,1.1,2.088702,89.556491,0.002089,1.000962,1.001185,10.3140,0.277214,complex-pair,0.996740,ok
d0,0.9,2.088610,89.556952,0.002089,1.000347,1.000541,6.4676,0.174574,complex-pair,0.996740,ok
d0,0.95,2.089117,89.554417,0.002089,1.000349,1.000543,6.4845,0.175034,complex-pair,0.996740,ok
d0,1.05,2.090130,89.549351,0.002090,1.000353,1.000547,6.5181,0.175952,complex-pair,0.996741,ok
d0,1.1,2.090636,89.546819,0.002091,1.000355,1.000549,6.5348,0.176409,complex-pair,0.996741,ok
Zref,0.9,2.090668,89.546659,0.002091,1.000354,1.000548,6.5268,0.176205,complex-pair,0.996770,ok
Zref,0.95,2.090120,89.549398,0.002090,1.000352,1.000547,6.5136,0.175838,complex-pair,0.996755,ok
Zref,1.05,2.089171,89.554147,0.002089,1.000349,1.000544,6.4897,0.175171,complex-pair,0.996727,ok
Zref,1.1,2.088757,89.556217,0.002089,1.000348,1.000542,6.4788,0.174869,complex-pair,0.996716,ok
Dref,0.9,2.319663,88.401686,0.002320,1.003935,1.004224,20.8565,0.480796,complex-pair,0.996809,ok
Dref,0.95,2.198563,89.007184,0.002199,1.002033,1.002270,15.1725,0.376127,complex-pair,0.996773,ok
Dref,1.05,1.991106,90.044469,0.001991,0.998859,0.999018,none,-,-,0.996711,ok
Dref,1.1,1.901590,90.492050,0.001902,0.997533,0.997660,none,-,-,0.996683,ok
taum,0.9,2.089623,89.551883,0.002090,1.000451,1.000655,6.9012,0.187786,complex-pair,0.996738,ok
taum,0.95,2.089623,89.551883,0.002090,1.000401,1.000600,6.7279,0.182319,complex-pair,0.996739,ok
taum,1.05,2.089623,89.551883,0.002090,1.000301,1.000491,6.2138,0.167120,complex-pair,0.996742,ok
taum,1.1,2.089623,89.551883,0.002090,1.000251,1.000436,5.8545,0.156918,complex-pair,0.996743,ok
delta,0.9,1.881740,90.591301,0.001882,0.999974,1.000150,none,-,-,0.996679,ok
delta,0.95,1.985682,90.071592,0.001986,1.000174,1.000359,4.6883,0.126187,complex-pair,0.996710,ok
delta,1.05,2.193565,89.032175,0.002194,1.000506,1.000710,7.6905,0.208317,complex-pair,0.996771,ok
delta,1.1,2.297507,88.512466,0.002298,1.000641,1.000853,8.5444,0.232360,complex-pair,0.996800,ok
