sid,n,regime,Tr,src,A,B,C,D,A95,B95,sigA,sigB
ANCHIXa,33,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.2663,0.4306,0.1697,0.1025,0.4465,0.439,False,False
ANCHMEDGSA17-18,48,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0091,0.0541,0.0911,0.4126,0.1709,0.2576,False,False
ANCHMEDGSA29,34,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0264,0.1097,0.096,0.4182,0.2626,0.3316,False,False
ANCHMEDGSA7,20,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.1933,0.1977,0.0989,0.3849,0.5233,0.5112,False,False
ANCHOBAYB,34,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.2408,0.14,0.0549,0.3665,0.4166,0.4297,False,False
ANCHOSA,36,SA-OMP(annual TAC),1.0,SA OMP annual TAC (4-5 yr rule review excluded per coding rule),0.1263,0.2441,0.2179,0.3016,0.3532,0.3687,False,False
ARGANCHONARG,30,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.093,0.3203,0.2936,0.2462,0.3801,0.4207,False,False
ARGANCHOSARG,30,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.1047,0.3841,0.329,0.1155,0.4073,0.4347,False,False
HERR2224IIIa,31,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0664,0.1381,0.4916,0.2137,0.3267,0.3919,False,False
HERR2529-32,48,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0365,0.0525,0.0781,0.1684,0.1945,0.2563,False,False
HERR2532,38,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0839,0.044,0.0619,0.3498,0.2337,0.3069,False,False
HERR30,44,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0601,0.0682,0.1739,0.4123,0.3646,0.38,False,False
HERR30-31,61,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0301,0.0244,0.06,0.255,0.1486,0.213,False,False
HERR31,31,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0755,0.1581,0.0624,0.6003,0.3456,0.3968,False,False
HERR4RFA,53,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0251,0.0231,0.0687,0.359,0.1749,0.1963,False,False
HERR4RSP,53,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0409,0.0939,0.2953,0.3869,0.1871,0.2381,False,False
HERR4TFA,41,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0463,0.1088,0.0784,0.5203,0.2402,0.3095,False,False
HERR4TSP,41,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0317,0.1237,0.1469,0.3821,0.2457,0.312,False,False
HERR4VWX,42,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0319,0.1596,0.1737,0.4533,0.2372,0.3453,False,False
HERRIsum,37,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0845,0.1912,0.1471,0.4855,0.2966,0.3437,False,False
HERRNIRS,63,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0288,0.0261,0.1713,0.3981,0.1538,0.2222,False,False
HERRNORSS,74,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0352,0.0592,0.0317,0.1188,0.1142,0.152,False,False
HERRNS-IIIa-VIId,77,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0272,0.0399,0.0785,0.096,0.1123,0.1577,False,False
HERRNWATLC,58,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0806,0.059,0.0259,0.1844,0.1907,0.2376,False,False
HERRRIGA,47,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0576,0.1716,0.1059,0.3499,0.2838,0.3372,False,False
HERRSIRS,64,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0615,0.0466,0.1148,0.6295,0.1751,0.2172,False,False
HERRVIa,57,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0594,0.0554,0.0456,0.5756,0.1884,0.2473,False,False
HERRVIaVIIbc,62,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0694,0.0819,0.1098,0.3772,0.2127,0.2685,False,False
JANCHOPJPN,36,Japan annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.1744,0.1181,0.1543,0.3098,0.3416,0.3666,False,False
JANCHOSETO,38,Japan annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.2361,0.1117,0.05,0.1936,0.5016,0.4083,False,False
