stockid,SSB_now,F_now,B_lim,ADH,lastyear
ACADREDGOMGB,330000.0,0.015,133000.0,60.582901749251484,2014
ACMACKSARG,129000.0,0.168,34200.0,7.90230214460186,2015
ALBANPAC,80600.0,0.47,27800.0,2.264814103863811,2015
ALBASPAC,176000.0,0.613,74200.0,1.4090046408887718,2013
ALPLAICBSAI,215000.0,0.0567,65600.0,20.935843601016213,2015
ALSKABSAI,115000.0,0.056,35400.0,21.039648361134308,2015
AMPL3LNO,35500.0,0.193,47200.0,0.0,2007
AMPL3M,1170.0,0.0641,1916.0,0.0,2007
AMPL5YZ,11000.0,0.12,7600.0,3.0812252125507102,2014
ANCHIXa,0.589,0.891,0.6280000000000001,0.0,2018
ANCHMEDGSA1,526.0,1.05,702.0,0.0,2009
ANCHMEDGSA16,10700.0,0.275,4640.0,3.0382886371988964,2011
ANCHMEDGSA17-18,214000.0,1.33,306000.0,0.0,2015
ANCHMEDGSA20,1190.0,0.814,404.0,1.327142147597574,2008
ANCHMEDGSA22,25600.0,0.576,6100.0,2.490110382476131,2008
ANCHMEDGSA29,416000.0,0.924,230000.0,0.6413484321840562,2014
ANCHMEDGSA6,26500.0,0.348,5880.0,4.326402215751843,2009
ANCHMEDGSA9,11000.0,1.14,2240.0,1.3959819359047563,2015
ANCHOBAYB,102000.0,0.222,26600.0,6.054331520255035,2017
ANCHOVYKILKACS,7160.0,1.28,21200.0,0.0,2004
ANGLMEDGSA15-16,536.0,0.351,195.60000000000002,2.871972659458932,2010
ANGLMEDGSA5,8.17,0.611,3.4200000000000004,1.4252509947584246,2013
ANGLMEDGSA6,488.0,0.909,138.4,1.3863227312096569,2013
ANGLVIIIc-IXa,1.38,0.342,0.36800000000000005,3.8647831578430383,2018
ARFLOUNDBSAI,534000.0,0.0259,106800.0,62.14045993954055,2015
ARFLOUNDGA,1130000.0,0.0114,230000.0,139.63978971782373,2015
ARFLOUNDPCOAST,62600.0,0.154,16060.0,8.833984218100241,2015
ARGANCHONARG,1890000.0,0.011,740000.0,85.24381107777025,2016
ARGANCHOSARG,723000.0,0.006,210000.0,206.05028190688267,2015
ARGHAKENARG,100000.0,0.366,98200.0,0.04962833504828175,2014
