depensation fit: {'r': 2.0, 'K': 1671.6596479199984, 's_allee': 642.3296235050077}

                variant   policy     UC   T  boundary_grid  boundary_committed  n_intervals  boundary
    grid_schaefer_check      BAU UC_min   1        1141.05            1141.032            1       NaN
    grid_schaefer_check      BAU UC_min   3        1579.55            1579.502            1       NaN
    grid_schaefer_check      BAU UC_min   5        1956.45            1956.393            1       NaN
    grid_schaefer_check      BAU UC_min inf            NaN                 NaN            0       NaN
    grid_schaefer_check      BAU UC_q05   1        1016.55            1016.532            1       NaN
    grid_schaefer_check      BAU UC_q05   3        1236.15            1236.118            1       NaN
    grid_schaefer_check      BAU UC_q05   5        1412.50            1412.485            1       NaN
    grid_schaefer_check      BAU UC_q05 inf            NaN                 NaN            0       NaN
    grid_schaefer_check      BAU UC_q10   1         884.60             884.600            1       NaN
    grid_schaefer_check      BAU UC_q10   3         884.60             884.600            1       NaN
    grid_schaefer_check      BAU UC_q10   5         884.60             884.600            1       NaN
    grid_schaefer_check      BAU UC_q10 inf         884.60             884.600            1       NaN
    grid_schaefer_check flat_100 UC_min   1        1351.10            1351.076            1       NaN
    grid_schaefer_check flat_100 UC_min   3        2188.20            2188.153            1       NaN
    grid_schaefer_check flat_100 UC_min   5        3008.75            3008.701            1       NaN
    grid_schaefer_check flat_100 UC_min inf            NaN                 NaN            0       NaN
    grid_schaefer_check flat_100 UC_q05   1        1224.40            1224.366            1       NaN
    grid_schaefer_check flat_100 UC_q05   3        1816.30            1816.302            1       NaN
    grid_schaefer_check flat_100 UC_q05   5        2350.80            2350.789            1       NaN
    grid_schaefer_check flat_100 UC_q05 inf            NaN                 NaN            0       NaN
    grid_schaefer_check flat_100 UC_q10   1        1043.85            1043.816            1       NaN
    grid_schaefer_check flat_100 UC_q10   3        1310.40            1310.359            1       NaN
    grid_schaefer_check flat_100 UC_q10   5        1527.55            1527.533            1       NaN
    grid_schaefer_check flat_100 UC_q10 inf            NaN                 NaN            0       NaN
    grid_schaefer_check  flat_75 UC_min   1        1297.10            1297.091            1       NaN
    grid_schaefer_check  flat_75 UC_min   3        2027.90            2027.902            1       NaN
    grid_schaefer_check  flat_75 UC_min   5        2718.80            2718.823            1       NaN
    grid_schaefer_check  flat_75 UC_min inf            NaN                 NaN            0       NaN
    grid_schaefer_check  flat_75 UC_q05   1        1171.00            1170.956            1       NaN
    grid_schaefer_check  flat_75 UC_q05   3        1663.90            1663.865            1       NaN
    grid_schaefer_check  flat_75 UC_q05   5        2094.95            2094.939            1       NaN
    grid_schaefer_check  flat_75 UC_q05 inf            NaN                 NaN            0       NaN
    grid_schaefer_check  flat_75 UC_q10   1         991.25             991.206            1       NaN
    grid_schaefer_check  flat_75 UC_q10   3        1167.75            1167.693            1       NaN
    grid_schaefer_check  flat_75 UC_q10   5        1307.65            1307.604            1       NaN
    grid_schaefer_check  flat_75 UC_q10 inf        2336.70            2335.415            1       NaN
    grid_schaefer_check  flat_50 UC_min   1        1243.40            1243.353            1       NaN
    grid_schaefer_check  flat_50 UC_min   3        1871.15            1871.088            1       NaN
    grid_schaefer_check  flat_50 UC_min   5        2444.65            2444.578            1       NaN
    grid_schaefer_check  flat_50 UC_min inf            NaN                 NaN            0       NaN
    grid_schaefer_check  flat_50 UC_q05   1        1117.80            1117.785            1       NaN
    grid_schaefer_check  flat_50 UC_q05   3        1514.50            1514.471            1       NaN
    grid_schaefer_check  flat_50 UC_q05   5        1851.05            1850.987            1       NaN
    grid_schaefer_check  flat_50 UC_q05 inf            NaN                 NaN            0       NaN
    grid_schaefer_check  flat_50 UC_q10   1         938.85             938.824            1       NaN
    grid_schaefer_check  flat_50 UC_q10   3        1027.65            1027.616            1       NaN
    grid_schaefer_check  flat_50 UC_q10   5        1096.20            1096.180            1       NaN
    grid_schaefer_check  flat_50 UC_q10 inf        1362.85            1363.041            1       NaN
    grid_schaefer_check  flat_25 UC_min   1        1189.90            1189.858            1       NaN
    grid_schaefer_check  flat_25 UC_min   3        1717.60            1717.534            1       NaN
    grid_schaefer_check  flat_25 UC_min   5        2184.25            2184.187            1       NaN
    grid_schaefer_check  flat_25 UC_min inf            NaN                 NaN            0       NaN
    grid_schaefer_check  flat_25 UC_q05   1        1064.90            1064.851            1       NaN
    grid_schaefer_check  flat_25 UC_q05   3        1368.05            1367.975            1       NaN
    grid_schaefer_check  flat_25 UC_q05   5        1617.80            1617.748            1       NaN
    grid_schaefer_check  flat_25 UC_q05 inf            NaN                 NaN            0       NaN
    grid_schaefer_check  flat_25 UC_q10   1         886.70             886.668            1       NaN
    grid_schaefer_check  flat_25 UC_q10   3         890.05             890.017            1       NaN
    grid_schaefer_check  flat_25 UC_q10   5         892.55             892.539            1       NaN
    grid_schaefer_check  flat_25 UC_q10 inf         900.10             900.251            1       NaN
    grid_schaefer_check   flat_0 UC_min   1        1136.65            1136.603            1       NaN
    grid_schaefer_check   flat_0 UC_min   3        1567.10            1567.079            1       NaN
    grid_schaefer_check   flat_0 UC_min   5        1936.20            1936.165            1       NaN
