origin,horizon,model,sqerr,abserr,log_sqerr
1965,1,naive_persist,14641.0,121.0,0.012497318452800023
1965,1,naive_train_mean,26814.0625,163.75,0.022046010910858893
1965,5,naive_persist,77841.0,279.0,0.07815192895031924
1965,5,naive_train_mean,103523.0625,321.75,0.10001042597402113
1966,1,naive_persist,13456.0,116.0,0.01448467992720621
1966,1,naive_train_mean,71371.17751479291,267.1538461538462,0.06664688822137907
1966,5,naive_persist,49729.0,223.0,0.06045846851562296
1966,5,naive_train_mean,139991.100591716,374.1538461538462,0.14721902026341405
1967,1,naive_persist,1600.0,40.0,0.0018624958411526883
1967,1,naive_train_mean,43293.71938775514,208.07142857142867,0.03944925720995388
1967,5,naive_persist,13456.0,116.0,0.01872641234895029
1967,5,naive_train_mean,132548.0051020409,364.07142857142867,0.14335272289897935
1968,1,naive_persist,16.0,4.0,1.7765966699939797e-05
1968,1,naive_train_mean,36176.040000000015,190.20000000000005,0.03324115007177132
1968,5,naive_persist,42025.0,205.0,0.05951152932414517
1968,5,naive_train_mean,159360.64000000004,399.20000000000005,0.18531852006967042
1969,1,naive_persist,7396.0,86.0,0.008984111982850835
1969,1,naive_train_mean,69861.09765625,264.3125,0.07109412325833211
1969,5,naive_persist,62001.0,249.0,0.09216121622718153
1969,5,naive_train_mean,182595.97265625,427.3125,0.22603455536204892
1970,1,naive_persist,4225.0,65.0,0.0061023874371314984
1970,1,naive_train_mean,98448.29065743944,313.7647058823529,0.10948783140683191
1970,5,naive_persist,99856.0,316.0,0.20668940564705968
1970,5,naive_train_mean,318959.1730103806,564.7647058823529,0.5004186381484617
1971,1,naive_persist,81.0,9.0,0.0001280011630810216
1971,1,naive_train_mean,93228.4444444444,305.33333333333326,0.10655562420832383
1971,5,naive_persist,201601.0,449.0,0.6786884613737811
1971,5,naive_train_mean,555521.7777777776,745.3333333333333,1.297185084537502
1972,1,naive_persist,2401.0,49.0,0.004089439378001676
1972,1,naive_train_mean,114421.9639889197,338.2631578947369,0.14108340695923696
1972,5,naive_persist,327184.0,572.0,1.6492370302421722
1972,5,naive_train_mean,741774.2271468145,861.2631578947369,2.546859227771474
1973,1,naive_persist,1600.0,40.0,0.0030709152277643126
1973,1,naive_train_mean,130573.82249999994,361.3499999999999,0.17242938746604763
1973,5,naive_persist,305809.0,553.0,1.8703358543252488
