floor,policy,C,n_years,Tinf_lower_boundary
q05,BAU,5.0,5,1412.5
q05,BAU,5.0,10,1737.1
q05,BAU,5.0,15,1967.3
q05,flat_0,0.0,5,1394.2
q05,flat_0,0.0,10,1705.0
q05,flat_0,0.0,15,1922.2
q05,flat_25,60.0,5,1617.7
q05,flat_25,60.0,10,2113.6
q05,flat_25,60.0,15,2534.4
q05,flat_50,120.0,5,1851.0
q05,flat_50,120.0,10,2584.1
q05,flat_50,120.0,15,3380.3
q05,flat_75,180.0,5,2129.2
q05,flat_75,180.0,10,3178.3
q05,flat_75,180.0,15,4827.8
q05,flat_100,240.0,5,2774.7
q05,flat_100,240.0,10,4507.6
q05,flat_100,240.0,15,
q05,S1,60.0,5,1617.7
q05,S1,60.0,10,2113.6
q05,S1,60.0,15,2534.4
q05,cpm,60.0,5,1617.7
q05,cpm,60.0,10,2113.6
q05,cpm,60.0,15,2534.4
worst,BAU,5.0,5,1956.4
worst,BAU,5.0,10,2815.1
worst,BAU,5.0,15,3881.7
worst,flat_0,0.0,5,1936.2
worst,flat_0,0.0,10,2769.7
worst,flat_0,0.0,15,3777.4
worst,flat_25,60.0,5,2184.2
worst,flat_25,60.0,10,3364.1
worst,flat_25,60.0,15,5505.7
worst,flat_50,120.0,5,2444.6
worst,flat_50,120.0,10,4103.8
worst,flat_50,120.0,15,
worst,flat_75,180.0,5,2759.4
worst,flat_75,180.0,10,5173.4
worst,flat_75,180.0,15,
worst,flat_100,240.0,5,3521.3
worst,flat_100,240.0,10,9427.0
worst,flat_100,240.0,15,
worst,S1,60.0,5,2184.2
worst,S1,60.0,10,3364.1
worst,S1,60.0,15,5505.7
worst,cpm,60.0,5,2184.2
worst,cpm,60.0,10,3364.1
worst,cpm,60.0,15,5505.7
