scheme,policy,S0,T,P_stay
iid,BAU,884.6,5,0.8559
iid,flat_0,884.6,5,0.8657
iid,flat_25,884.6,5,0.7649
iid,flat_50,884.6,5,0.6109
iid,S1,884.6,5,0.7649
iid,cpm,884.6,5,0.7649
iid,BAU,884.6,10,0.858
iid,flat_0,884.6,10,0.8675
iid,flat_25,884.6,10,0.759
iid,flat_50,884.6,10,0.5851
iid,S1,884.6,10,0.759
iid,cpm,884.6,10,0.759
iid,BAU,884.6,20,0.859
iid,flat_0,884.6,20,0.8695
iid,flat_25,884.6,20,0.7661
iid,flat_50,884.6,20,0.5801
iid,S1,884.6,20,0.7661
iid,cpm,884.6,20,0.7661
iid,BAU,861.9,5,0.8444
iid,flat_0,861.9,5,0.8477
iid,flat_25,861.9,5,0.7219
iid,flat_50,861.9,5,0.5615
iid,S1,861.9,5,0.7219
iid,cpm,861.9,5,0.7219
iid,BAU,861.9,10,0.8419
iid,flat_0,861.9,10,0.8446
iid,flat_25,861.9,10,0.7154
iid,flat_50,861.9,10,0.5206
iid,S1,861.9,10,0.7154
iid,cpm,861.9,10,0.7154
iid,BAU,861.9,20,0.8415
iid,flat_0,861.9,20,0.844
iid,flat_25,861.9,20,0.7142
iid,flat_50,861.9,20,0.5189
iid,S1,861.9,20,0.7142
iid,cpm,861.9,20,0.7142
iid,BAU,1000.0,5,0.906
iid,flat_0,1000.0,5,0.9069
iid,flat_25,1000.0,5,0.8628
iid,flat_50,1000.0,5,0.7704
iid,S1,1000.0,5,0.8628
iid,cpm,1000.0,5,0.8628
iid,BAU,1000.0,10,0.9057
iid,flat_0,1000.0,10,0.9066
iid,flat_25,1000.0,10,0.8589
iid,flat_50,1000.0,10,0.7497
iid,S1,1000.0,10,0.8589
iid,cpm,1000.0,10,0.8589
iid,BAU,1000.0,20,0.9047
iid,flat_0,1000.0,20,0.9058
iid,flat_25,1000.0,20,0.8575
iid,flat_50,1000.0,20,0.7399
iid,S1,1000.0,20,0.8575
iid,cpm,1000.0,20,0.8575
iid,BAU,1500.0,5,0.9998
iid,flat_0,1500.0,5,0.9999
iid,flat_25,1500.0,5,0.9992
iid,flat_50,1500.0,5,0.9946
iid,S1,1500.0,5,0.9992
iid,cpm,1500.0,5,0.9992
iid,BAU,1500.0,10,0.9998
iid,flat_0,1500.0,10,0.9998
iid,flat_25,1500.0,10,0.9989
iid,flat_50,1500.0,10,0.9911
iid,S1,1500.0,10,0.9989
iid,cpm,1500.0,10,0.9989
iid,BAU,1500.0,20,0.9997
iid,flat_0,1500.0,20,0.9997
iid,flat_25,1500.0,20,0.999
iid,flat_50,1500.0,20,0.9898
iid,S1,1500.0,20,0.999
iid,cpm,1500.0,20,0.999
iid,BAU,2000.0,5,1.0
iid,flat_0,2000.0,5,1.0
iid,flat_25,2000.0,5,1.0
iid,flat_50,2000.0,5,1.0
iid,S1,2000.0,5,1.0
iid,cpm,2000.0,5,1.0
iid,BAU,2000.0,10,1.0
iid,flat_0,2000.0,10,1.0
iid,flat_25,2000.0,10,1.0
iid,flat_50,2000.0,10,0.9998
iid,S1,2000.0,10,1.0
iid,cpm,2000.0,10,1.0
iid,BAU,2000.0,20,1.0
iid,flat_0,2000.0,20,1.0
iid,flat_25,2000.0,20,1.0
iid,flat_50,2000.0,20,1.0
iid,S1,2000.0,20,1.0
iid,cpm,2000.0,20,1.0
iid,BAU,2500.0,5,1.0
iid,flat_0,2500.0,5,1.0
iid,flat_25,2500.0,5,1.0
iid,flat_50,2500.0,5,1.0
iid,S1,2500.0,5,1.0
iid,cpm,2500.0,5,1.0
iid,BAU,2500.0,10,1.0
iid,flat_0,2500.0,10,1.0
iid,flat_25,2500.0,10,1.0
iid,flat_50,2500.0,10,1.0
iid,S1,2500.0,10,1.0
iid,cpm,2500.0,10,1.0
iid,BAU,2500.0,20,1.0
iid,flat_0,2500.0,20,1.0
iid,flat_25,2500.0,20,1.0
iid,flat_50,2500.0,20,1.0
iid,S1,2500.0,20,1.0
iid,cpm,2500.0,20,1.0
block4,BAU,884.6,5,0.809
block4,flat_0,884.6,5,0.809
block4,flat_25,884.6,5,0.805
block4,flat_50,884.6,5,0.677
block4,S1,884.6,5,0.805
block4,cpm,884.6,5,0.805
block4,BAU,884.6,10,0.8091
block4,flat_0,884.6,10,0.8094
block4,flat_25,884.6,10,0.7904
block4,flat_50,884.6,10,0.608
block4,S1,884.6,10,0.7904
block4,cpm,884.6,10,0.7904
block4,BAU,884.6,20,0.8073
block4,flat_0,884.6,20,0.8075
block4,flat_25,884.6,20,0.7837
block4,flat_50,884.6,20,0.5846
block4,S1,884.6,20,0.7837
block4,cpm,884.6,20,0.7837
block4,BAU,861.9,5,0.8101
block4,flat_0,861.9,5,0.8101
block4,flat_25,861.9,5,0.7553
block4,flat_50,861.9,5,0.6196
block4,S1,861.9,5,0.7553
block4,cpm,861.9,5,0.7553
block4,BAU,861.9,10,0.8104
block4,flat_0,861.9,10,0.8104
block4,flat_25,861.9,10,0.7385
block4,flat_50,861.9,10,0.57
block4,S1,861.9,10,0.7385
block4,cpm,861.9,10,0.7385
block4,BAU,861.9,20,0.798
block4,flat_0,861.9,20,0.7981
block4,flat_25,861.9,20,0.7235
block4,flat_50,861.9,20,0.5294
block4,S1,861.9,20,0.7235
block4,cpm,861.9,20,0.7235
block4,BAU,1000.0,5,0.8116
block4,flat_0,1000.0,5,0.8116
block4,flat_25,1000.0,5,0.8089
block4,flat_50,1000.0,5,0.7594
block4,S1,1000.0,5,0.8089
block4,cpm,1000.0,5,0.8089
block4,BAU,1000.0,10,0.8128
block4,flat_0,1000.0,10,0.8128
block4,flat_25,1000.0,10,0.8034
block4,flat_50,1000.0,10,0.6777
block4,S1,1000.0,10,0.8034
block4,cpm,1000.0,10,0.8034
block4,BAU,1000.0,20,0.8081
block4,flat_0,1000.0,20,0.8081
block4,flat_25,1000.0,20,0.7983
block4,flat_50,1000.0,20,0.6634
block4,S1,1000.0,20,0.7983
block4,cpm,1000.0,20,0.7983
block4,BAU,1500.0,5,1.0
block4,flat_0,1500.0,5,1.0
block4,flat_25,1500.0,5,0.9957
block4,flat_50,1500.0,5,0.9004
block4,S1,1500.0,5,0.9957
block4,cpm,1500.0,5,0.9957
block4,BAU,1500.0,10,1.0
block4,flat_0,1500.0,10,1.0
block4,flat_25,1500.0,10,0.9813
block4,flat_50,1500.0,10,0.8878
block4,S1,1500.0,10,0.9813
block4,cpm,1500.0,10,0.9813
block4,BAU,1500.0,20,1.0
block4,flat_0,1500.0,20,1.0
block4,flat_25,1500.0,20,0.984
block4,flat_50,1500.0,20,0.8843
block4,S1,1500.0,20,0.984
block4,cpm,1500.0,20,0.984
block4,BAU,2000.0,5,1.0
block4,flat_0,2000.0,5,1.0
block4,flat_25,2000.0,5,1.0
block4,flat_50,2000.0,5,1.0
block4,S1,2000.0,5,1.0
block4,cpm,2000.0,5,1.0
block4,BAU,2000.0,10,1.0
block4,flat_0,2000.0,10,1.0
block4,flat_25,2000.0,10,1.0
block4,flat_50,2000.0,10,0.9976
block4,S1,2000.0,10,1.0
block4,cpm,2000.0,10,1.0
block4,BAU,2000.0,20,1.0
block4,flat_0,2000.0,20,1.0
block4,flat_25,2000.0,20,1.0
block4,flat_50,2000.0,20,0.9951
block4,S1,2000.0,20,1.0
block4,cpm,2000.0,20,1.0
block4,BAU,2500.0,5,1.0
block4,flat_0,2500.0,5,1.0
block4,flat_25,2500.0,5,1.0
block4,flat_50,2500.0,5,1.0
block4,S1,2500.0,5,1.0
block4,cpm,2500.0,5,1.0
block4,BAU,2500.0,10,1.0
block4,flat_0,2500.0,10,1.0
block4,flat_25,2500.0,10,1.0
block4,flat_50,2500.0,10,1.0
block4,S1,2500.0,10,1.0
block4,cpm,2500.0,10,1.0
block4,BAU,2500.0,20,1.0
block4,flat_0,2500.0,20,1.0
block4,flat_25,2500.0,20,1.0
block4,flat_50,2500.0,20,0.9998
block4,S1,2500.0,20,1.0
block4,cpm,2500.0,20,1.0
iid_no1992,BAU,884.6,5,0.9416
iid_no1992,flat_0,884.6,5,0.948
iid_no1992,flat_25,884.6,5,0.873
iid_no1992,flat_50,884.6,5,0.7413
iid_no1992,S1,884.6,5,0.873
iid_no1992,cpm,884.6,5,0.873
iid_no1992,BAU,884.6,10,0.9394
iid_no1992,flat_0,884.6,10,0.9465
iid_no1992,flat_25,884.6,10,0.8662
iid_no1992,flat_50,884.6,10,0.7262
iid_no1992,S1,884.6,10,0.8662
iid_no1992,cpm,884.6,10,0.8662
iid_no1992,BAU,884.6,20,0.9414
iid_no1992,flat_0,884.6,20,0.9489
iid_no1992,flat_25,884.6,20,0.8731
iid_no1992,flat_50,884.6,20,0.7316
iid_no1992,S1,884.6,20,0.8731
iid_no1992,cpm,884.6,20,0.8731
iid_no1992,BAU,861.9,5,0.925
iid_no1992,flat_0,861.9,5,0.9269
iid_no1992,flat_25,861.9,5,0.8204
iid_no1992,flat_50,861.9,5,0.68
iid_no1992,S1,861.9,5,0.8204
iid_no1992,cpm,861.9,5,0.8204
iid_no1992,BAU,861.9,10,0.9251
iid_no1992,flat_0,861.9,10,0.9277
iid_no1992,flat_25,861.9,10,0.8235
iid_no1992,flat_50,861.9,10,0.6744
iid_no1992,S1,861.9,10,0.8235
iid_no1992,cpm,861.9,10,0.8235
iid_no1992,BAU,861.9,20,0.9256
iid_no1992,flat_0,861.9,20,0.9274
iid_no1992,flat_25,861.9,20,0.8192
iid_no1992,flat_50,861.9,20,0.6645
iid_no1992,S1,861.9,20,0.8192
iid_no1992,cpm,861.9,20,0.8192
iid_no1992,BAU,1000.0,5,0.9529
iid_no1992,flat_0,1000.0,5,0.9537
iid_no1992,flat_25,1000.0,5,0.9467
iid_no1992,flat_50,1000.0,5,0.8931
iid_no1992,S1,1000.0,5,0.9467
iid_no1992,cpm,1000.0,5,0.9467
iid_no1992,BAU,1000.0,10,0.9539
iid_no1992,flat_0,1000.0,10,0.9544
iid_no1992,flat_25,1000.0,10,0.9469
iid_no1992,flat_50,1000.0,10,0.8862
iid_no1992,S1,1000.0,10,0.9469
iid_no1992,cpm,1000.0,10,0.9469
iid_no1992,BAU,1000.0,20,0.9526
iid_no1992,flat_0,1000.0,20,0.9532
iid_no1992,flat_25,1000.0,20,0.9449
iid_no1992,flat_50,1000.0,20,0.8847
iid_no1992,S1,1000.0,20,0.9449
iid_no1992,cpm,1000.0,20,0.9449
iid_no1992,BAU,1500.0,5,1.0
iid_no1992,flat_0,1500.0,5,1.0
iid_no1992,flat_25,1500.0,5,1.0
iid_no1992,flat_50,1500.0,5,0.9998
iid_no1992,S1,1500.0,5,1.0
iid_no1992,cpm,1500.0,5,1.0
iid_no1992,BAU,1500.0,10,1.0
iid_no1992,flat_0,1500.0,10,1.0
iid_no1992,flat_25,1500.0,10,1.0
iid_no1992,flat_50,1500.0,10,0.9997
iid_no1992,S1,1500.0,10,1.0
iid_no1992,cpm,1500.0,10,1.0
iid_no1992,BAU,1500.0,20,1.0
iid_no1992,flat_0,1500.0,20,1.0
iid_no1992,flat_25,1500.0,20,1.0
iid_no1992,flat_50,1500.0,20,0.9993
iid_no1992,S1,1500.0,20,1.0
iid_no1992,cpm,1500.0,20,1.0
