scheme,C,P_stay
iid,0.0,0.8683
iid,2.5,0.8673
iid,5.0,0.8599
iid,7.5,0.8576
iid,10.0,0.8537
iid,12.5,0.8459
iid,15.0,0.8441
iid,17.5,0.8436
iid,20.0,0.841
iid,22.5,0.8383
iid,25.0,0.8371
iid,27.5,0.8331
iid,30.0,0.8314
iid,32.5,0.8291
iid,35.0,0.8268
iid,37.5,0.8237
iid,40.0,0.8202
iid,42.5,0.8167
iid,45.0,0.8138
iid,47.5,0.8116
iid,50.0,0.7783
iid,52.5,0.7756
iid,55.0,0.7725
iid,57.5,0.7699
iid,60.0,0.7673
iid,62.5,0.7637
iid,65.0,0.7608
iid,67.5,0.7558
iid,70.0,0.7506
iid,72.5,0.7452
iid,75.0,0.7398
iid,77.5,0.734
iid,80.0,0.6986
iid,82.5,0.6934
iid,85.0,0.6887
iid,87.5,0.6852
iid,90.0,0.681
iid,92.5,0.6764
iid,95.0,0.6714
iid,97.5,0.6663
iid,100.0,0.6592
iid,102.5,0.6521
iid,105.0,0.6422
iid,107.5,0.6349
iid,110.0,0.6269
iid,112.5,0.6157
iid,115.0,0.6056
iid,117.5,0.5951
iid,120.0,0.582
iid,122.5,0.5729
block4,0.0,0.8084
block4,2.5,0.8084
block4,5.0,0.8084
block4,7.5,0.8082
block4,10.0,0.8082
block4,12.5,0.8064
block4,15.0,0.8064
block4,17.5,0.8063
block4,20.0,0.806
block4,22.5,0.8057
block4,25.0,0.8057
block4,27.5,0.8053
block4,30.0,0.805
block4,32.5,0.8049
block4,35.0,0.8023
block4,37.5,0.8017
block4,40.0,0.7986
block4,42.5,0.7975
block4,45.0,0.7946
block4,47.5,0.7938
block4,50.0,0.7927
block4,52.5,0.79
block4,55.0,0.7885
block4,57.5,0.7866
block4,60.0,0.7857
block4,62.5,0.7846
block4,65.0,0.78
block4,67.5,0.7753
block4,70.0,0.7709
block4,72.5,0.7578
block4,75.0,0.751
block4,77.5,0.743
block4,80.0,0.6994
block4,82.5,0.6601
block4,85.0,0.6583
block4,87.5,0.6533
block4,90.0,0.648
block4,92.5,0.642
block4,95.0,0.6367
block4,97.5,0.6319
block4,100.0,0.6291
block4,102.5,0.6274
block4,105.0,0.6247
block4,107.5,0.6223
block4,110.0,0.6187
block4,112.5,0.6102
block4,115.0,0.6039
block4,117.5,0.5988
block4,120.0,0.5895
block4,122.5,0.5817
iid_no1992,0.0,0.9492
iid_no1992,2.5,0.9489
iid_no1992,5.0,0.9412
iid_no1992,7.5,0.9391
iid_no1992,10.0,0.936
iid_no1992,12.5,0.931
iid_no1992,15.0,0.9289
iid_no1992,17.5,0.9287
iid_no1992,20.0,0.9282
iid_no1992,22.5,0.9254
iid_no1992,25.0,0.9251
iid_no1992,27.5,0.9207
iid_no1992,30.0,0.92
iid_no1992,32.5,0.9196
iid_no1992,35.0,0.9188
iid_no1992,37.5,0.9178
iid_no1992,40.0,0.9172
iid_no1992,42.5,0.9166
iid_no1992,45.0,0.9164
iid_no1992,47.5,0.9161
iid_no1992,50.0,0.8789
iid_no1992,52.5,0.8782
iid_no1992,55.0,0.8778
iid_no1992,57.5,0.8757
iid_no1992,60.0,0.8744
iid_no1992,62.5,0.8709
iid_no1992,65.0,0.869
iid_no1992,67.5,0.8645
iid_no1992,70.0,0.8607
iid_no1992,72.5,0.8569
iid_no1992,75.0,0.8544
iid_no1992,77.5,0.8519
iid_no1992,80.0,0.8125
iid_no1992,82.5,0.81
iid_no1992,85.0,0.8083
iid_no1992,87.5,0.8072
iid_no1992,90.0,0.8056
iid_no1992,92.5,0.8036
iid_no1992,95.0,0.8001
iid_no1992,97.5,0.7971
iid_no1992,100.0,0.7922
iid_no1992,102.5,0.7886
iid_no1992,105.0,0.7815
iid_no1992,107.5,0.7762
iid_no1992,110.0,0.7719
iid_no1992,112.5,0.7617
iid_no1992,115.0,0.7535
iid_no1992,117.5,0.7462
iid_no1992,120.0,0.7359
iid_no1992,122.5,0.7295
