spec,class_,policy,T1,T5,Tinf
xteNCAM,own_min,flat_0,515.6500000000544,992.3000000001629,1275.4000000002272
xteNCAM,own_min,BAU,519.2000000000553,1004.1500000001656,1296.800000000232
xteNCAM,own_min,flat_25,558.8000000000643,1137.500000000196,1567.2000000002936
xteNCAM,own_min,flat_50,602.2500000000741,1290.0500000002305,2046.6500000004025
xteNCAM,own_q05,flat_0,372.800000000022,549.5000000000622,615.2000000000771
xteNCAM,own_q05,BAU,376.3000000000228,559.7500000000646,628.6500000000801
xteNCAM,own_q05,flat_25,415.0500000000316,675.1000000000907,783.6000000001154
xteNCAM,own_q05,flat_50,457.5500000000413,805.8500000001204,971.6500000001581
xteNCAM,own_q10,flat_0,309.3500000000076,368.10000000002094,386.9000000000252
xteNCAM,own_q10,BAU,312.8500000000084,377.85000000002316,398.8000000000279
xteNCAM,own_q10,flat_25,351.2000000000171,486.85000000004794,534.6500000000588
xteNCAM,own_q10,flat_50,393.3500000000267,610.0000000000759,695.1000000000953
