class_,policy,n,boundary
UC_min,BAU,5,625.6
UC_min,BAU,10,658.4
UC_min,BAU,15,
UC_min,flat_90,5,618.0
UC_min,flat_90,10,618.0
UC_min,flat_90,15,618.0
UC_min,flat_80,5,618.0
UC_min,flat_80,10,618.0
UC_min,flat_80,15,618.0
UC_min,flat_70,5,618.0
UC_min,flat_70,10,618.0
UC_min,flat_70,15,618.0
UC_min,flat_60,5,618.0
UC_min,flat_60,10,618.0
UC_min,flat_60,15,618.0
UC_min,flat_50,5,618.0
UC_min,flat_50,10,618.0
UC_min,flat_50,15,618.0
UC_min,flat_0,5,618.0
UC_min,flat_0,10,618.0
UC_min,flat_0,15,618.0
UC_min,S1,5,618.0
UC_min,S1,10,618.0
UC_min,S1,15,618.0
UC_min,cpm,5,618.0
UC_min,cpm,10,618.0
UC_min,cpm,15,618.0
UC_q05,BAU,5,618.0
UC_q05,BAU,10,618.0
UC_q05,BAU,15,618.0
UC_q05,flat_90,5,618.0
UC_q05,flat_90,10,618.0
UC_q05,flat_90,15,618.0
UC_q05,flat_80,5,618.0
UC_q05,flat_80,10,618.0
UC_q05,flat_80,15,618.0
UC_q05,flat_70,5,618.0
UC_q05,flat_70,10,618.0
UC_q05,flat_70,15,618.0
UC_q05,flat_60,5,618.0
UC_q05,flat_60,10,618.0
UC_q05,flat_60,15,618.0
UC_q05,flat_50,5,618.0
UC_q05,flat_50,10,618.0
UC_q05,flat_50,15,618.0
UC_q05,flat_0,5,618.0
UC_q05,flat_0,10,618.0
UC_q05,flat_0,15,618.0
UC_q05,S1,5,618.0
UC_q05,S1,10,618.0
UC_q05,S1,15,618.0
UC_q05,cpm,5,618.0
UC_q05,cpm,10,618.0
UC_q05,cpm,15,618.0
UC_q10,BAU,5,618.0
UC_q10,BAU,10,618.0
UC_q10,BAU,15,618.0
UC_q10,flat_90,5,618.0
UC_q10,flat_90,10,618.0
UC_q10,flat_90,15,618.0
UC_q10,flat_80,5,618.0
UC_q10,flat_80,10,618.0
UC_q10,flat_80,15,618.0
UC_q10,flat_70,5,618.0
UC_q10,flat_70,10,618.0
UC_q10,flat_70,15,618.0
UC_q10,flat_60,5,618.0
UC_q10,flat_60,10,618.0
UC_q10,flat_60,15,618.0
UC_q10,flat_50,5,618.0
UC_q10,flat_50,10,618.0
UC_q10,flat_50,15,618.0
UC_q10,flat_0,5,618.0
UC_q10,flat_0,10,618.0
UC_q10,flat_0,15,618.0
UC_q10,S1,5,618.0
UC_q10,S1,10,618.0
UC_q10,S1,15,618.0
UC_q10,cpm,5,618.0
UC_q10,cpm,10,618.0
UC_q10,cpm,15,618.0
