class_,policy,horizon,mean_P,min_head,end_head,domain_exit_step
UC_min,BAU,1934-1990,282.16,615.72,615.72,
UC_min,BAU,1934-2023,282.16,615.72,615.72,
UC_min,flat_90,1934-1990,253.94,618.88,618.88,
UC_min,flat_90,1934-2023,253.94,618.88,618.88,
UC_min,flat_80,1934-1990,225.73,622.04,622.04,
UC_min,flat_80,1934-2023,225.73,622.04,622.04,
UC_min,flat_70,1934-1990,197.51,625.2,625.2,
UC_min,flat_70,1934-2023,197.51,625.2,625.2,
UC_min,flat_60,1934-1990,169.3,628.36,628.36,
UC_min,flat_60,1934-2023,169.3,628.36,628.36,
UC_min,flat_50,1934-1990,141.08,631.52,631.52,
UC_min,flat_50,1934-2023,141.08,631.52,631.52,
UC_min,flat_0,1934-1990,0.0,647.32,647.32,
UC_min,flat_0,1934-2023,0.0,647.32,647.32,
UC_min,S1,1934-1990,226.72,622.04,622.04,
UC_min,S1,1934-2023,226.36,622.04,622.04,
UC_min,cpm,1934-1990,174.49,628.36,628.36,
UC_min,cpm,1934-2023,172.59,628.36,628.36,
UC_q05,BAU,1934-1990,282.16,625.31,625.31,
UC_q05,BAU,1934-2023,282.16,625.31,625.31,
UC_q05,flat_90,1934-1990,253.94,628.47,628.47,
UC_q05,flat_90,1934-2023,253.94,628.47,628.47,
UC_q05,flat_80,1934-1990,225.73,631.63,631.63,
UC_q05,flat_80,1934-2023,225.73,631.63,631.63,
UC_q05,flat_70,1934-1990,197.51,634.79,634.79,
UC_q05,flat_70,1934-2023,197.51,634.79,634.79,
UC_q05,flat_60,1934-1990,169.3,637.95,637.95,
UC_q05,flat_60,1934-2023,169.3,637.95,637.95,
UC_q05,flat_50,1934-1990,141.08,641.11,641.11,
UC_q05,flat_50,1934-2023,141.08,641.11,641.11,
UC_q05,flat_0,1934-1990,0.0,656.91,656.91,
UC_q05,flat_0,1934-2023,0.0,656.91,656.91,
UC_q05,S1,1934-1990,226.72,631.63,631.63,
UC_q05,S1,1934-2023,226.36,631.63,631.63,
UC_q05,cpm,1934-1990,187.36,636.37,636.37,
UC_q05,cpm,1934-2023,185.91,636.37,636.37,
UC_q10,BAU,1934-1990,282.16,626.29,626.29,
UC_q10,BAU,1934-2023,282.16,626.29,626.29,
UC_q10,flat_90,1934-1990,253.94,629.45,629.45,
UC_q10,flat_90,1934-2023,253.94,629.45,629.45,
UC_q10,flat_80,1934-1990,225.73,632.61,632.61,
UC_q10,flat_80,1934-2023,225.73,632.61,632.61,
UC_q10,flat_70,1934-1990,197.51,635.77,635.77,
UC_q10,flat_70,1934-2023,197.51,635.77,635.77,
UC_q10,flat_60,1934-1990,169.3,638.93,638.93,
UC_q10,flat_60,1934-2023,169.3,638.93,638.93,
UC_q10,flat_50,1934-1990,141.08,642.09,642.09,
UC_q10,flat_50,1934-2023,141.08,642.09,642.09,
UC_q10,flat_0,1934-1990,0.0,657.9,657.9,
UC_q10,flat_0,1934-2023,0.0,657.9,657.9,
UC_q10,S1,1934-1990,226.72,632.61,632.61,
UC_q10,S1,1934-2023,226.36,632.61,632.61,
UC_q10,cpm,1934-1990,187.61,637.35,637.35,
UC_q10,cpm,1934-2023,186.07,637.35,637.35,
actual_R,BAU,1934-1990,282.16,,690.97,
actual_R,BAU,1934-2023,282.16,,639.21,
actual_R,flat_90,1934-1990,253.94,,694.13,
actual_R,flat_90,1934-2023,253.94,,642.37,
actual_R,flat_80,1934-1990,225.73,,697.29,
actual_R,flat_80,1934-2023,225.73,,645.53,
actual_R,flat_70,1934-1990,197.51,,700.45,
actual_R,flat_70,1934-2023,197.51,,648.69,
actual_R,flat_60,1934-1990,169.3,,703.61,
actual_R,flat_60,1934-2023,169.3,,651.85,
actual_R,flat_50,1934-1990,141.08,,706.77,
actual_R,flat_50,1934-2023,141.08,,655.01,
actual_R,flat_0,1934-1990,0.0,,722.57,
actual_R,flat_0,1934-2023,0.0,,670.81,
actual_R,S1,1934-1990,259.39,,691.25,
actual_R,S1,1934-2023,263.77,,643.26,
actual_R,cpm,1934-1990,255.18,,691.25,
actual_R,cpm,1934-2023,260.13,,644.19,
