controller,T_r,eps,rmsd_N,rmsd_E,min_N,depletion_freq,divergence_review,n_reviews
extractive-euler,1.0,0.0,0.247796,0.295139,0.306641,0.1437,,800
extractive-exact,1.0,0.0,0.223098,0.262801,0.350981,0.1104,,800
protective-euler,1.0,0.0,6.2e-05,4e-06,0.895277,0.0,,800
protective-exact,1.0,0.0,6.2e-05,4e-06,0.895276,0.0,,800
fixed,1.0,0.0,3.7e-05,0.0,0.895369,0.0,,800
extractive-euler,2.0,0.0,0.308177,0.354063,0.23027,0.2167,,800
extractive-exact,2.0,0.0,0.276319,0.370581,0.298578,0.1812,,800
protective-euler,2.0,0.0,0.0,0.0,0.895518,0.0,,800
protective-exact,2.0,0.0,0.0,0.0,0.895518,0.0,,800
fixed,2.0,0.0,0.0,0.0,0.895518,0.0,,800
extractive-euler,3.0,0.0,0.894891,0.930346,0.0,1.0,759.0,759
extractive-exact,3.0,0.0,0.28795,0.347027,0.302458,0.1979,,800
protective-euler,3.0,0.0,0.035741,0.096326,0.856349,0.0,,800
protective-exact,3.0,0.0,0.0,0.0,0.895519,0.0,,800
fixed,3.0,0.0,0.0,0.0,0.895519,0.0,,800
extractive-euler,5.0,0.0,0.894839,0.930346,0.0,1.0,460.0,460
extractive-exact,5.0,0.0,0.267001,0.317494,0.316156,0.1667,,800
protective-euler,5.0,0.0,0.128298,0.176946,0.758613,0.0,,800
protective-exact,5.0,0.0,0.0,0.0,0.895519,0.0,,800
fixed,5.0,0.0,0.0,0.0,0.895519,0.0,,800
extractive-euler,8.0,0.0,0.895425,0.930346,0.0,1.0,242.0,242
extractive-exact,8.0,0.0,0.24137,0.277706,0.369206,0.1208,,800
protective-euler,8.0,0.0,0.274765,0.31179,0.602589,0.0,,800
protective-exact,8.0,0.0,0.0,0.0,0.895519,0.0,,800
fixed,8.0,0.0,0.0,0.0,0.895519,0.0,,800
extractive-euler,12.0,0.0,0.894722,0.930346,0.0,1.0,195.0,195
extractive-exact,12.0,0.0,0.000517,0.000602,0.893479,0.0,,800
protective-euler,12.0,0.0,0.485247,0.508962,0.382125,1.0,,800
protective-exact,12.0,0.0,0.0,0.0,0.895519,0.0,,800
fixed,12.0,0.0,0.0,0.0,0.895519,0.0,,800
extractive-euler,20.0,0.0,0.895165,0.930346,0.0,1.0,109.0,109
extractive-exact,20.0,0.0,0.0,0.0,0.895519,0.0,,800
protective-euler,20.0,0.0,,,,,90.0,90
protective-exact,20.0,0.0,0.0,0.0,0.895519,0.0,,800
fixed,20.0,0.0,0.0,0.0,0.895519,0.0,,800
extractive-euler,40.0,0.0,0.08819,0.091484,0.707505,0.0,,800
extractive-exact,40.0,0.0,0.0,0.0,0.895519,0.0,,800
protective-euler,40.0,0.0,,,,,47.0,47
protective-exact,40.0,0.0,0.0,0.0,0.895519,0.0,,800
fixed,40.0,0.0,0.0,0.0,0.895519,0.0,,800
extractive-euler,1.0,0.3,0.49205,0.627389,0.037623,0.3979,,800
extractive-exact,1.0,0.3,0.199,0.251116,0.368756,0.0958,,800
protective-euler,1.0,0.3,0.000184,0.00119,0.895099,0.0,,800
protective-exact,1.0,0.3,0.000176,0.000889,0.895069,0.0,,800
fixed,1.0,0.3,3.7e-05,0.0,0.895369,0.0,,800
extractive-euler,2.0,0.3,0.880098,0.930346,9e-06,1.0,,800
extractive-exact,2.0,0.3,0.235524,0.31883,0.348816,0.1104,,800
protective-euler,2.0,0.3,0.000378,0.003509,0.894395,0.0,,800
protective-exact,2.0,0.3,0.00029,0.001169,0.894743,0.0,,800
fixed,2.0,0.3,0.0,0.0,0.895518,0.0,,800
extractive-euler,3.0,0.3,0.895436,0.930346,0.0,1.0,638.0,638
extractive-exact,3.0,0.3,0.257991,0.305439,0.275971,0.1542,,800
protective-euler,3.0,0.3,0.036158,0.096775,0.85367,0.0,,800
protective-exact,3.0,0.3,0.000254,0.001168,0.894803,0.0,,800
fixed,3.0,0.3,0.0,0.0,0.895519,0.0,,800
extractive-euler,5.0,0.3,0.893969,0.930346,0.0,1.0,488.0,488
extractive-exact,5.0,0.3,0.230497,0.273855,0.298831,0.1146,,800
protective-euler,5.0,0.3,0.128316,0.177064,0.75328,0.0,,800
protective-exact,5.0,0.3,0.000417,0.001343,0.894021,0.0,,800
fixed,5.0,0.3,0.0,0.0,0.895519,0.0,,800
