controller,T_r,n_seeds,mean_depletion,mean_min_N,mean_rmsd_N,diverged_seeds
extractive-euler,1.0,10,0.2179,0.2229,0.3156,0
extractive-exact,1.0,10,0.066,0.5406,0.1402,0
protective-euler,1.0,10,0.0,0.895,0.0002,0
protective-exact,1.0,10,0.0,0.895,0.0002,0
fixed,1.0,10,0.0,0.8954,0.0,0
extractive-euler,8.0,10,,,,10
extractive-exact,8.0,10,0.0823,0.2608,0.1996,0
protective-euler,8.0,10,0.0,0.5952,0.275,0
protective-exact,8.0,10,0.0,0.8939,0.0005,0
fixed,8.0,10,0.0,0.8955,0.0,0
extractive-euler,12.0,10,,,,10
extractive-exact,12.0,10,0.0315,0.2997,0.1524,0
protective-euler,12.0,10,0.9996,0.3769,0.4854,0
protective-exact,12.0,10,0.0,0.8935,0.0006,0
fixed,12.0,10,0.0,0.8955,0.0,0
extractive-euler,20.0,10,,,,10
extractive-exact,20.0,10,0.001,0.5123,0.0662,0
protective-euler,20.0,10,,,,10
protective-exact,20.0,10,0.0,0.8928,0.0008,0
fixed,20.0,10,0.0,0.8955,0.0,0
