channel,T_r,rho_euler,rho_exact,rmsd_scaled_norm,euler_diverges_review,exact_diverges_review
mobilising,0.5,1.000227,1.000179,1.913275,,
mobilising,1.0,1.000545,1.000351,13.111345,,
mobilising,2.0,1.001447,1.000648,189.01998,,
mobilising,3.0,1.00268,1.00084,4586.83109,,
mobilising,5.0,1.006013,1.000713,135755.35993,2009.0,
mobilising,8.0,1.012593,0.998631,88714.680889,984.0,
mobilising,12.0,1.022453,0.991239,71621.192948,580.0,
mobilising,20.0,1.036899,0.96035,58527.013781,387.0,
mobilising,40.0,1.019601,0.835934,75056.354501,828.0,
mobilising,80.0,1.196288,0.592458,37981.101809,86.0,
mobilising,120.0,4.688349,0.414604,21030.539294,11.0,
mobilising,200.0,10.369521,0.20256,90370.771214,8.0,
protective,0.5,0.991868,0.991871,0.002843,,
protective,1.0,0.983796,0.98381,0.00495,,
protective,2.0,0.967832,0.96789,0.017165,,
protective,3.0,1.625604,0.952244,33371.333989,30.0,
protective,5.0,3.457453,0.921768,24327.242605,12.0,
protective,8.0,6.23148,0.878033,63781.583067,9.0,
protective,12.0,9.912267,0.823208,21449.746,7.0,
protective,20.0,17.136723,0.724453,23775.289752,6.0,
protective,40.0,34.632436,0.530112,30769.540128,5.0,
protective,80.0,68.604281,0.293767,927397.73171,5.0,
protective,120.0,102.193398,0.170917,66478.901079,4.0,
protective,200.0,169.524506,0.065784,502918.046358,4.0,
