class_,q,channel,T_r,rho
anchovy,0.001,extractive,1,0.89479638
anchovy,0.001,extractive,2,0.80075253
anchovy,0.001,extractive,3,0.7167431
anchovy,0.001,extractive,4,0.64180242
anchovy,0.001,extractive,5,0.57493857
anchovy,0.001,extractive,6,0.51522078
anchovy,0.001,extractive,7,0.46186004
anchovy,0.001,extractive,8,0.41412937
anchovy,0.001,extractive,9,0.37138516
anchovy,0.001,extractive,10,0.33307631
anchovy,0.001,extractive,11,0.29872233
anchovy,0.001,extractive,12,0.26790233
anchovy,0.001,extractive,13,0.24024717
anchovy,0.001,extractive,14,0.21543049
anchovy,0.001,extractive,15,0.19316182
anchovy,0.001,extractive,16,0.17318147
anchovy,0.001,extractive,17,0.15525658
anchovy,0.001,extractive,18,0.13917794
anchovy,0.001,extractive,19,0.12475732
anchovy,0.001,extractive,20,0.11182541
anchovy,0.001,extractive,21,0.16877212
anchovy,0.001,extractive,22,0.26070501
anchovy,0.001,extractive,23,0.33499789
anchovy,0.001,extractive,24,0.4035766
anchovy,0.001,extractive,25,0.46923349
anchovy,0.001,extractive,26,0.53313179
anchovy,0.001,extractive,27,0.59587586
anchovy,0.001,extractive,28,0.65782081
anchovy,0.001,extractive,29,0.71919226
anchovy,0.001,extractive,30,0.78014162
anchovy,0.001,extractive,31,0.84077442
anchovy,0.001,extractive,32,0.90116639
anchovy,0.001,extractive,33,0.9613732
anchovy,0.001,extractive,34,1.02143635
anchovy,0.001,extractive,35,1.08138726
anchovy,0.001,extractive,36,1.14125006
anchovy,0.001,extractive,37,1.2010433
anchovy,0.001,extractive,38,1.26078143
anchovy,0.001,extractive,39,1.3204758
anchovy,0.001,extractive,40,1.38013531
anchovy,0.001,extractive,41,1.43976694
anchovy,0.001,extractive,42,1.49937632
anchovy,0.001,extractive,43,1.55896786
anchovy,0.001,extractive,44,1.61854505
anchovy,0.001,extractive,45,1.67811077
anchovy,0.001,extractive,46,1.73766724
anchovy,0.001,extractive,47,1.79721625
anchovy,0.001,extractive,48,1.85675929
anchovy,0.001,extractive,49,1.91629751
anchovy,0.001,extractive,50,1.9758318
anchovy,0.001,protective,1,0.81317314
anchovy,0.001,protective,2,0.64
anchovy,0.001,protective,3,0.512
anchovy,0.001,protective,4,0.4096
anchovy,0.001,protective,5,0.32768
anchovy,0.001,protective,6,0.262144
anchovy,0.001,protective,7,0.2097152
anchovy,0.001,protective,8,0.16777216
anchovy,0.001,protective,9,0.13421773
anchovy,0.001,protective,10,0.10737418
anchovy,0.001,protective,11,0.08589935
anchovy,0.001,protective,12,0.06871948
anchovy,0.001,protective,13,0.05497558
anchovy,0.001,protective,14,0.04398047
anchovy,0.001,protective,15,0.03518437
anchovy,0.001,protective,16,0.0281475
anchovy,0.001,protective,17,0.022518
anchovy,0.001,protective,18,0.0180144
anchovy,0.001,protective,19,0.01441152
anchovy,0.001,protective,20,0.01152922
anchovy,0.001,protective,21,0.00922337
anchovy,0.001,protective,22,0.0073787
anchovy,0.001,protective,23,0.00590296
anchovy,0.001,protective,24,0.00472237
anchovy,0.001,protective,25,0.00377789
anchovy,0.001,protective,26,0.00302231
anchovy,0.001,protective,27,0.00241785
anchovy,0.001,protective,28,0.00193428
anchovy,0.001,protective,29,0.00154743
anchovy,0.001,protective,30,0.00123794
anchovy,0.001,protective,31,0.00099035
anchovy,0.001,protective,32,0.00079228
anchovy,0.001,protective,33,0.00063383
anchovy,0.001,protective,34,0.00050706
anchovy,0.001,protective,35,0.00040565
anchovy,0.001,protective,36,0.00032452
anchovy,0.001,protective,37,0.00025961
anchovy,0.001,protective,38,0.00020769
anchovy,0.001,protective,39,0.00016615
anchovy,0.001,protective,40,0.00013292
anchovy,0.001,protective,41,0.00010634
anchovy,0.001,protective,42,8.507e-05
anchovy,0.001,protective,43,6.806e-05
anchovy,0.001,protective,44,5.445e-05
anchovy,0.001,protective,45,4.356e-05
anchovy,0.001,protective,46,3.484e-05
anchovy,0.001,protective,47,2.788e-05
anchovy,0.001,protective,48,2.23e-05
anchovy,0.001,protective,49,1.784e-05
anchovy,0.001,protective,50,1.427e-05
anchovy,0.1,extractive,1,2.22883432
anchovy,0.1,extractive,2,3.47366865
anchovy,0.1,extractive,3,4.33633295
anchovy,0.1,extractive,4,4.97162827
anchovy,0.1,extractive,5,5.10565365
anchovy,0.1,extractive,6,4.92156999
anchovy,0.1,extractive,7,4.5751989
anchovy,0.1,extractive,8,4.092985
anchovy,0.1,extractive,9,3.53118605
anchovy,0.1,extractive,10,2.91974891
anchovy,0.1,extractive,11,2.1819727
anchovy,0.1,extractive,12,1.69400119
anchovy,0.1,extractive,13,1.57711907
anchovy,0.1,extractive,14,1.46366621
anchovy,0.1,extractive,15,1.35472568
anchovy,0.1,extractive,16,1.25103835
anchovy,0.1,extractive,17,1.15300292
anchovy,0.1,extractive,18,1.06080263
anchovy,0.1,extractive,19,0.97447667
anchovy,0.1,extractive,20,0.89394871
anchovy,0.1,extractive,21,0.81906411
anchovy,0.1,extractive,22,0.74961571
anchovy,0.1,extractive,23,0.68535991
anchovy,0.1,extractive,24,0.62603121
anchovy,0.1,extractive,25,0.57135152
anchovy,0.1,extractive,26,0.52103851
anchovy,0.1,extractive,27,0.4748114
anchovy,0.1,extractive,28,0.43239498
anchovy,0.1,extractive,29,0.39352109
anchovy,0.1,extractive,30,0.35793436
anchovy,0.1,extractive,31,0.54201318
anchovy,0.1,extractive,32,0.68874884
anchovy,0.1,extractive,33,0.80072265
anchovy,0.1,extractive,34,0.89694832
anchovy,0.1,extractive,35,0.98365055
anchovy,0.1,extractive,36,1.06389478
anchovy,0.1,extractive,37,1.13949
anchovy,0.1,extractive,38,1.21161818
anchovy,0.1,extractive,39,1.28110186
anchovy,0.1,extractive,40,1.34853772
anchovy,0.1,extractive,41,1.41437105
anchovy,0.1,extractive,42,1.4789408
anchovy,0.1,extractive,43,1.54250866
