class_,q,T_r,kind,rel_A,exc_A,exc_E,peak_A,peak_E
anchovy,0.001,1,converged,0.0,0.0,0.0,,21.73913043478261
anchovy,0.001,2,converged,0.0,0.0,0.0,,15.15151515151515
anchovy,0.001,3,converged,0.0,0.0,0.0,2.0,7.04225352112676
anchovy,0.001,4,converged,0.0,0.0,0.0,,8.620689655172413
anchovy,0.001,5,converged,0.0,0.0,0.0,,8.333333333333334
anchovy,0.001,6,converged,0.0,0.0,0.0,,8.928571428571429
anchovy,0.001,7,converged,0.0,0.0,0.0,,11.11111111111111
anchovy,0.001,8,converged,0.0,0.0,0.0,4.504504504504505,17.857142857142858
anchovy,0.001,9,converged,0.0,0.0,0.0,,
anchovy,0.001,10,converged,0.0,0.0,0.0,8.771929824561402,8.771929824561402
anchovy,0.001,11,converged,0.0,0.0,0.0,2.4752475247524752,10.416666666666666
anchovy,0.001,12,converged,0.0,0.0,0.0,2.0408163265306123,50.0
anchovy,0.001,13,converged,0.0,0.0,0.0,,
anchovy,0.001,14,converged,0.0,0.0,0.0,,
anchovy,0.001,15,converged,0.0,0.0,0.0,2.127659574468085,4.23728813559322
anchovy,0.001,16,converged,0.0,0.0,0.0,2.109704641350211,4.761904761904762
anchovy,0.001,17,converged,0.0,0.0,0.0,2.1645021645021645,2.1645021645021645
anchovy,0.001,18,converged,0.0,0.0,0.0,2.5,2.5
anchovy,0.001,19,converged,0.0,0.0,0.0,,
anchovy,0.001,20,converged,0.0,0.0,0.0,,
anchovy,0.001,21,converged,0.0,0.0,0.0,2.4752475247524752,2.4752475247524752
anchovy,0.001,22,converged,0.0,0.0,0.0,2.0,2.0
anchovy,0.001,23,converged,0.0,0.0,0.0,2.5,2.0
anchovy,0.001,24,converged,0.0,0.0,0.0,,
anchovy,0.001,25,converged,0.0,0.0,0.0,2.7624309392265194,2.7624309392265194
anchovy,0.001,26,converged,0.0,0.0,0.0,2.2123893805309733,2.2123893805309733
anchovy,0.001,27,converged,0.0,0.0,0.0,2.0,2.0
anchovy,0.001,28,converged,0.0,0.0,0.0,,
anchovy,0.001,29,converged,0.0,0.0,0.0,,
anchovy,0.001,30,converged,0.0,0.0,0.0,2.5,2.5
anchovy,0.001,31,converged,0.0,0.0,0.0,2.5,2.5
anchovy,0.001,32,converged,0.0,0.0,0.0,2.0,2.0
anchovy,0.001,33,converged,0.0,0.0,0.0,2.0,2.0
anchovy,0.001,34,converged,0.0003,0.001,0.155,2.0,2.0
anchovy,0.001,35,converged,0.00056,0.001,0.3,2.0,2.0
anchovy,0.001,36,converged,0.00072,0.001,0.392,2.0,2.0
anchovy,0.001,37,converged,0.00084,0.002,0.463,2.0,2.0
anchovy,0.001,38,converged,0.00094,0.002,0.523,2.0,2.0
anchovy,0.001,39,weak,0.00102,0.002,0.575,2.0,2.0
anchovy,0.001,40,weak,0.00109,0.002,0.622,2.0,2.0
anchovy,0.001,41,weak,0.00115,0.002,0.663,2.0,2.0
anchovy,0.001,42,weak,0.00118,0.003,0.802,2.0,2.0
anchovy,0.001,43,weak,0.0012,0.003,0.879,2.0,2.0
anchovy,0.001,44,weak,0.00118,0.003,0.954,2.0,2.0
anchovy,0.001,45,weak,0.00108,0.004,1.013,2.0833333333333335,2.0833333333333335
anchovy,0.001,46,weak,0.00121,0.004,1.129,2.293577981651376,2.293577981651376
anchovy,0.001,47,weak,0.0014,0.004,1.278,2.6315789473684212,2.6315789473684212
anchovy,0.001,48,weak,0.0016,0.004,1.487,2.7624309392265194,2.7624309392265194
anchovy,0.001,49,weak,0.00156,0.005,1.569,2.1645021645021645,2.1645021645021645
anchovy,0.001,50,weak,0.00179,0.005,1.92,2.380952380952381,2.380952380952381
sprat,0.001,1,converged,0.0,0.0,0.0,13.513513513513514,
sprat,0.001,2,converged,0.0,0.0,0.0,7.04225352112676,
sprat,0.001,3,converged,0.0,0.0,0.0,5.376344086021505,
sprat,0.001,4,converged,0.0,0.0,0.0,2.717391304347826,
sprat,0.001,5,converged,0.0,0.0,0.0,3.4965034965034962,7.04225352112676
