year,acoustic_kt,observed,source
1982,446,1,Zenodo 17515115 cap_acoustic.csv (NAFC / Steele et al. 2025)
1985,3426,1,Zenodo 17515115
1986,3697,1,Zenodo 17515115
1987,2576,1,Zenodo 17515115
1988,4285,1,Zenodo 17515115
1989,3712,1,Zenodo 17515115
1990,5783,1,Zenodo 17515115
1991,138,1,Zenodo 17515115
1992,138,1,Zenodo 17515115
1996,47,1,Zenodo 17515115
1999,216,1,Zenodo 17515115
2000,125,1,Zenodo 17515115
2001,129,1,Zenodo 17515115
2002,84,1,Zenodo 17515115
2003,108,1,Zenodo 17515115
2004,125,1,Zenodo 17515115
2005,98,1,Zenodo 17515115
2007,300,1,Zenodo 17515115
2008,263,1,Zenodo 17515115
2009,262,1,Zenodo 17515115
2010,23,1,Zenodo 17515115
2011,210,1,Zenodo 17515115
2012,206,1,Zenodo 17515115
2013,763,1,Zenodo 17515115
2014,1060.084,1,Zenodo 17515115
2015,474.504,1,Zenodo 17515115
2017,134.485,1,Zenodo 17515115
2018,289.043,1,Zenodo 17515115
2019,283.737,1,Zenodo 17515115
2023,331.3,1,Murphy et al. 2025 Res. Doc. 2025/022 (333 kt in body; 331.3 in abstract)
