year,catch_t,catch_kt,source
1954,315843,315.843,Regular et al. 2025 Table 1
1955,232858,232.858,Regular et al. 2025 Table 1
1956,236210,236.21,Regular et al. 2025 Table 1
1957,254456,254.456,Regular et al. 2025 Table 1
1958,206710,206.71,Regular et al. 2025 Table 1
1959,359572,359.572,Regular et al. 2025 Table 1
1960,467802,467.802,Regular et al. 2025 Table 1
1961,505105,505.105,Regular et al. 2025 Table 1
1962,507026,507.026,Regular et al. 2025 Table 1
1963,509209,509.209,Regular et al. 2025 Table 1
1964,602651,602.651,Regular et al. 2025 Table 1
1965,545035,545.035,Regular et al. 2025 Table 1
1966,524505,524.505,Regular et al. 2025 Table 1
1967,611764,611.764,Regular et al. 2025 Table 1
1968,810014,810.014,Regular et al. 2025 Table 1
1969,753690,753.69,Regular et al. 2025 Table 1
1970,520226,520.226,Regular et al. 2025 Table 1
1971,439518,439.518,Regular et al. 2025 Table 1
1972,458295,458.295,Regular et al. 2025 Table 1
1973,354509,354.509,Regular et al. 2025 Table 1
1974,372650,372.65,Regular et al. 2025 Table 1
1975,287508,287.508,Regular et al. 2025 Table 1
1976,214220,214.22,Regular et al. 2025 Table 1
1977,172720,172.72,Regular et al. 2025 Table 1
1978,138559,138.559,Regular et al. 2025 Table 1
1979,166899,166.899,Regular et al. 2025 Table 1
1980,175788,175.788,Regular et al. 2025 Table 1
1981,170748,170.748,Regular et al. 2025 Table 1
1982,229774,229.774,Regular et al. 2025 Table 1
1983,232345,232.345,Regular et al. 2025 Table 1
1984,232471,232.471,Regular et al. 2025 Table 1
1985,231293,231.293,Regular et al. 2025 Table 1
1986,266713,266.713,Regular et al. 2025 Table 1
1987,239924,239.924,Regular et al. 2025 Table 1
1988,268677,268.677,Regular et al. 2025 Table 1
1989,253990,253.99,Regular et al. 2025 Table 1
1990,219452,219.452,Regular et al. 2025 Table 1
1991,172012,172.012,Regular et al. 2025 Table 1
1992,40956,40.956,Regular et al. 2025 Table 1
1993,11392,11.392,Regular et al. 2025 Table 1
1994,1314,1.314,Regular et al. 2025 Table 1
1995,413,0.413,Regular et al. 2025 Table 1 (manual fill of 3-digit totals missed by parser)
1996,1875,1.875,Regular et al. 2025 Table 1
1997,877,0.877,Regular et al. 2025 Table 1 (manual fill of 3-digit totals missed by parser)
1998,4507,4.507,Regular et al. 2025 Table 1
1999,8526,8.526,Regular et al. 2025 Table 1
2000,5430,5.43,Regular et al. 2025 Table 1
2001,6969,6.969,Regular et al. 2025 Table 1
2002,4249,4.249,Regular et al. 2025 Table 1
2003,994,0.994,Regular et al. 2025 Table 1 (manual fill of 3-digit totals missed by parser)
2004,649,0.649,Regular et al. 2025 Table 1 (manual fill of 3-digit totals missed by parser)
2005,1331,1.331,Regular et al. 2025 Table 1
2006,2701,2.701,Regular et al. 2025 Table 1
2007,2931,2.931,Regular et al. 2025 Table 1
2008,3385,3.385,Regular et al. 2025 Table 1
2009,3116,3.116,Regular et al. 2025 Table 1
2010,2962,2.962,Regular et al. 2025 Table 1
2011,3770,3.77,Regular et al. 2025 Table 1
2012,3871,3.871,Regular et al. 2025 Table 1
2013,4506,4.506,Regular et al. 2025 Table 1
2014,4870,4.87,Regular et al. 2025 Table 1
2015,4436,4.436,Regular et al. 2025 Table 1
2016,10105,10.105,Regular et al. 2025 Table 1
2017,12881,12.881,Regular et al. 2025 Table 1
2018,9456,9.456,Regular et al. 2025 Table 1
2019,10503,10.503,Regular et al. 2025 Table 1
2020,10260,10.26,Regular et al. 2025 Table 1
2021,10977,10.977,Regular et al. 2025 Table 1
2022,12475,12.475,Regular et al. 2025 Table 1
2023,12998,12.998,Regular et al. 2025 Table 1
