year,abundance_millions,biomass_kt,ssb_kt,age2_millions,M_age5_14,F_age5_14
1983,4797.08,2008.16,841.08,2144.36,0.391,0.192
1984,4609.75,2085.10,863.23,1529.95,0.377,0.176
1985,3772.10,2110.15,902.94,755.68,0.349,0.219
1986,3105.69,2048.58,836.00,663.83,0.277,0.208
1987,3106.33,2066.51,940.75,1000.20,0.494,0.194
1988,3155.82,1712.97,886.40,1355.34,0.335,0.215
1989,3641.70,1731.46,921.66,1498.12,0.289,0.228
1990,3501.70,1859.28,861.92,884.00,0.403,0.187
1991,2950.23,1786.08,734.51,737.25,1.002,0.223
1992,1721.29,1028.43,381.95,357.99,2.214,0.201
1993,491.18,263.34,101.05,110.94,2.575,0.150
1994,189.31,81.75,30.55,67.18,2.331,0.086
1995,73.57,25.92,9.68,35.19,0.288,0.042
1996,102.99,37.96,16.05,53.33,0.341,0.083
1997,117.44,47.32,20.57,57.37,0.372,0.047
1998,124.54,55.14,28.25,59.70,0.360,0.124
1999,161.51,65.27,34.59,89.03,0.392,0.211
2000,219.14,80.16,34.42,115.34,0.717,0.137
2001,248.21,84.21,29.50,136.93,0.905,0.166
2002,232.95,73.21,23.87,132.62,0.789,0.150
2003,182.57,58.98,22.07,101.23,0.810,0.063
2004,181.26,54.56,20.07,106.97,0.362,0.037
2005,194.24,78.39,25.18,60.02,0.288,0.034
2006,234.48,116.34,40.83,79.71,0.330,0.041
2007,291.86,156.69,81.10,111.70,0.472,0.029
2008,326.41,180.27,106.65,124.65,0.570,0.028
2009,354.01,191.52,104.56,145.33,0.599,0.029
2010,367.09,193.60,96.91,156.27,0.696,0.025
2011,362.44,179.07,90.56,176.89,0.366,0.029
2012,371.99,218.04,112.12,120.94,0.216,0.023
2013,499.81,301.34,169.17,210.85,0.207,0.018
2014,748.91,424.05,250.12,349.56,0.298,0.014
2015,893.81,538.72,298.65,325.73,0.278,0.014
