year,rv_abundance_index,source
1983,2088958,Schijns et al. 2021 Table 3 citing DFO 2021b Table 2
1984,2198605,Schijns et al. 2021 Table 3
1985,1288360,Schijns et al. 2021 Table 3
1986,2502702,Schijns et al. 2021 Table 3
1987,1020462,Schijns et al. 2021 Table 3
1988,1223314,Schijns et al. 2021 Table 3
1989,2127417,Schijns et al. 2021 Table 3
1990,1627647,Schijns et al. 2021 Table 3
1991,1117670,Schijns et al. 2021 Table 3
1992,239740,Schijns et al. 2021 Table 3
1993,90709,Schijns et al. 2021 Table 3
1994,21797,Schijns et al. 2021 Table 3
1995,43240,Schijns et al. 2021 Table 3
1996,38698,Schijns et al. 2021 Table 3
1997,25223,Schijns et al. 2021 Table 3
1998,28702,Schijns et al. 2021 Table 3
1999,60663,Schijns et al. 2021 Table 3
2000,72300,Schijns et al. 2021 Table 3
2001,63292,Schijns et al. 2021 Table 3
2002,62371,Schijns et al. 2021 Table 3
2003,42861,Schijns et al. 2021 Table 3
2004,62576,Schijns et al. 2021 Table 3
2005,61133,Schijns et al. 2021 Table 3
2006,82735,Schijns et al. 2021 Table 3
2007,128027,Schijns et al. 2021 Table 3
2008,141297,Schijns et al. 2021 Table 3
2009,174981,Schijns et al. 2021 Table 3
2010,139350,Schijns et al. 2021 Table 3
2011,106374,Schijns et al. 2021 Table 3
2012,167270,Schijns et al. 2021 Table 3
2013,325654,Schijns et al. 2021 Table 3
2014,463376,Schijns et al. 2021 Table 3
2015,500413,Schijns et al. 2021 Table 3
