year,quantity,value,unit,ci_low,ci_high,source,note
2024,SSB,342,kt,246,475,Regular et al. 2025 abstract / SAR 2024/049,1.2 x new LRP
2024,SSB_over_LRP,1.2,ratio,0.7,2.1,Regular et al. 2025,P(Critical)=0.22
2024,LRP,276,kt,180,423,Regular et al. 2025,40% BMSY; different K* from 2016
2021,SSB,400,kt,,,Regular et al. 2025 p.2,NCAM and xteNCAM comparable at ~400 kt
2017,SSB,451,kt,381,534,Regular et al. 2025,growth stall after this year
2017,total_biomass,700,kt,590,830,Regular et al. 2025,
2005,SSB,26,kt,22,31,Regular et al. 2025,compare NCAM 2016 Table A2 2005 SSB=25.18
2005,total_biomass,86,kt,71,105,Regular et al. 2025,
2005,abundance,571,millions,357,914,Regular et al. 2025,
2017,abundance,3000,millions,2000,4000,Regular et al. 2025,
2023,F_age5plus,0.02,yr-1,0.01,0.03,Regular et al. 2025,F<0.05 since 2004
2023,M_age5plus,0.59,yr-1,0.32,1.12,Regular et al. 2025,
1992,M_peak,2.5,yr-1,,,Regular et al. 2025,approx peak 1992-94
2023,catch_model,13.517,kt,,,Regular et al. 2025,xteNCAM estimated removals
