year,abundance_millions,age0_millions,biomass_kt,ssb_kt,ssb_lo,ssb_hi,ssb_over_blim
1954,3507.0,925.0,1715.0,887.0,519.0,1517.0,3.22
1955,3566.0,984.0,1715.0,887.0,519.0,1517.0,3.22
1956,3754.0,1128.0,1725.0,898.0,558.0,1444.0,3.25
1957,4214.0,1427.0,1785.0,952.0,618.0,1466.0,3.45
1958,4303.0,1119.0,1901.0,1036.0,692.0,1551.0,3.76
1959,4451.0,1076.0,2177.0,1225.0,854.0,1758.0,4.44
1960,4430.0,916.0,2471.0,1395.0,996.0,1953.0,5.06
1961,4533.0,1066.0,2703.0,1485.0,1076.0,2049.0,5.38
1962,4712.0,1240.0,2838.0,1508.0,1149.0,1979.0,5.46
1963,4826.0,1250.0,2844.0,1447.0,1145.0,1829.0,5.24
1964,4640.0,1042.0,2589.0,1377.0,1107.0,1714.0,4.99
1965,4431.0,985.0,2184.0,1144.0,902.0,1449.0,4.14
1966,4397.0,1019.0,2075.0,1023.0,801.0,1305.0,3.71
1967,4534.0,1196.0,2005.0,907.0,707.0,1164.0,3.29
1968,4856.0,1426.0,2029.0,947.0,746.0,1203.0,3.43
1969,4527.0,937.0,1897.0,951.0,741.0,1221.0,3.45
1970,4239.0,903.0,1724.0,865.0,647.0,1157.0,3.14
1971,3952.0,890.0,1664.0,800.0,581.0,1101.0,2.9
1972,3691.0,1016.0,1591.0,791.0,562.0,1113.0,2.87
1973,3678.0,1392.0,1378.0,742.0,495.0,1113.0,2.69
1974,3441.0,1128.0,1094.0,702.0,474.0,1039.0,2.54
1975,3397.0,1071.0,830.0,549.0,378.0,797.0,1.99
1976,3078.0,626.0,671.0,351.0,260.0,473.0,1.27
1977,2896.0,597.0,656.0,219.0,164.0,292.0,0.79
1978,3223.0,1111.0,706.0,189.0,145.0,246.0,0.69
1979,3474.0,1129.0,764.0,261.0,210.0,326.0,0.95
1980,3790.0,1158.0,847.0,359.0,299.0,431.0,1.3
1981,4480.0,1521.0,936.0,435.0,371.0,509.0,1.57
1982,4876.0,1324.0,1070.0,464.0,402.0,536.0,1.68
1983,4577.0,727.0,1171.0,427.0,372.0,490.0,1.55
1984,4350.0,668.0,1331.0,488.0,421.0,566.0,1.77
1985,4389.0,931.0,1518.0,593.0,505.0,696.0,2.15
1986,4793.0,1380.0,1659.0,611.0,515.0,725.0,2.21
1987,5458.0,1711.0,1836.0,779.0,632.0,959.0,2.82
1988,5067.0,1066.0,1659.0,853.0,672.0,1083.0,3.09
1989,4962.0,1086.0,1569.0,864.0,696.0,1072.0,3.13
1990,4866.0,1072.0,1547.0,738.0,592.0,919.0,2.67
1991,4474.0,907.0,1512.0,600.0,478.0,754.0,2.18
1992,3457.0,868.0,959.0,352.0,265.0,468.0,1.28
1993,1793.0,463.0,243.0,79.0,54.0,115.0,0.29
1994,828.0,197.0,78.0,22.0,15.0,31.0,0.08
1995,365.0,145.0,28.0,10.0,8.0,13.0,0.04
1996,341.0,144.0,36.0,15.0,12.0,19.0,0.06
1997,416.0,206.0,44.0,20.0,17.0,23.0,0.07
1998,525.0,261.0,54.0,28.0,25.0,32.0,0.1
1999,683.0,337.0,67.0,35.0,31.0,39.0,0.13
2000,769.0,315.0,81.0,34.0,31.0,38.0,0.12
2001,722.0,259.0,84.0,31.0,27.0,35.0,0.11
2002,726.0,336.0,71.0,25.0,22.0,28.0,0.09
2003,563.0,154.0,62.0,23.0,21.0,26.0,0.08
2004,502.0,187.0,61.0,21.0,18.0,25.0,0.08
2005,571.0,225.0,86.0,26.0,22.0,31.0,0.09
2006,698.0,287.0,125.0,41.0,35.0,48.0,0.15
2007,997.0,496.0,165.0,83.0,70.0,98.0,0.3
2008,1243.0,549.0,198.0,117.0,95.0,143.0,0.42
2009,1344.0,576.0,192.0,99.0,81.0,121.0,0.36
2010,1234.0,420.0,197.0,91.0,76.0,110.0,0.33
2011,1336.0,603.0,200.0,90.0,75.0,108.0,0.33
2012,1613.0,708.0,243.0,112.0,96.0,132.0,0.41
2013,1928.0,759.0,328.0,167.0,142.0,196.0,0.6
2014,2153.0,730.0,439.0,238.0,202.0,280.0,0.86
2015,2437.0,915.0,533.0,273.0,235.0,319.0,0.99
2016,2771.0,1103.0,620.0,339.0,291.0,395.0,1.23
2017,2799.0,885.0,700.0,451.0,381.0,534.0,1.63
2018,2868.0,1127.0,579.0,369.0,303.0,448.0,1.34
2019,2674.0,679.0,648.0,400.0,335.0,479.0,1.45
2020,2682.0,877.0,694.0,414.0,340.0,505.0,1.5
2021,2543.0,858.0,659.0,423.0,347.0,516.0,1.53
2022,2410.0,779.0,676.0,462.0,357.0,598.0,1.67
2023,2486.0,987.0,635.0,425.0,314.0,575.0,1.54
2024,2419.0,900.0,520.0,342.0,246.0,475.0,1.24
