stockid,year,ssb_t,tc_t
COD2J3KL,1983,735000.0,233147.63
COD2J3KL,1984,732000.0,235654.6
COD2J3KL,1985,822000.0,230640.67
COD2J3KL,1986,766000.0,270752.08
COD2J3KL,1987,814000.0,238161.56
COD2J3KL,1988,822000.0,275766.02
COD2J3KL,1989,839000.0,255710.31
COD2J3KL,1990,765000.0,220612.81
COD2J3KL,1991,747000.0,177994.43
COD2J3KL,1992,354000.0,45125.347
COD2J3KL,1993,83000.0,11543.674
COD2J3KL,1994,27000.0,2719.8796
COD2J3KL,1995,9000.0,411.14458
COD2J3KL,1996,15000.0,1897.5904
COD2J3KL,1997,20000.0,853.9157
COD2J3KL,1998,29000.0,4617.47
COD2J3KL,1999,35000.0,8570.783
COD2J3KL,2000,34000.0,5439.7593
COD2J3KL,2001,30000.0,6957.8314
COD2J3KL,2002,24000.0,4301.2047
COD2J3KL,2003,24000.0,948.7952
COD2J3KL,2004,22000.0,695.78314
COD2J3KL,2005,25000.0,1265.0602
COD2J3KL,2006,41000.0,2814.759
COD2J3KL,2007,84000.0,2656.6265
COD2J3KL,2008,111000.0,4490.964
COD2J3KL,2009,105000.0,3162.6506
COD2J3KL,2010,93000.0,2972.8916
COD2J3KL,2011,94000.0,3478.9157
COD2J3KL,2012,117000.0,3795.1808
COD2J3KL,2013,170000.0,4301.2047
COD2J3KL,2014,238000.0,4649.0965
COD2J3KL,2015,277000.0,4459.337
COD2J3KL,2016,340000.0,10025.602
COD2J3KL,2017,433000.0,13030.121
COD2J3KL,2018,394000.0,
COD2J3KL,2019,419000.0,
COD2J3KL,2020,440000.0,
COD2J3KL,2021,411000.0,
COD3Ps,1983,1.5531702,38500.0
COD3Ps,1984,1.5647347,37000.0
COD3Ps,1985,1.7228771,51400.0
COD3Ps,1986,1.6699824,58000.0
COD3Ps,1987,1.6112013,59200.0
COD3Ps,1988,1.7048488,43400.0
COD3Ps,1989,1.927498,39500.0
COD3Ps,1990,1.8159531,41400.0
COD3Ps,1991,1.5109472,43600.0
COD3Ps,1992,1.2821378,35900.0
COD3Ps,1993,1.0299194,15200.0
COD3Ps,1994,0.98873216,661.0
COD3Ps,1995,1.4165678,821.0
COD3Ps,1996,1.480902,1060.0
COD3Ps,1997,1.2520865,9420.0
COD3Ps,1998,1.3692203,20200.0
COD3Ps,1999,1.5508013,28000.0
COD3Ps,2000,1.6386099,25100.0
COD3Ps,2001,1.6794758,16500.0
COD3Ps,2002,1.9431635,15300.0
COD3Ps,2003,2.288928,15300.0
COD3Ps,2004,2.2887673,14400.0
COD3Ps,2005,1.9016726,14800.0
COD3Ps,2006,1.4970138,13200.0
COD3Ps,2007,1.2389269,13000.0
COD3Ps,2008,1.0101353,11800.0
COD3Ps,2009,0.9454915,9760.0
COD3Ps,2010,1.1212218,8300.0
COD3Ps,2011,1.4728432,6880.0
COD3Ps,2012,1.6192602,5090.0
COD3Ps,2013,1.5018706,4370.0
COD3Ps,2014,1.35515,4190.0
COD3Ps,2015,1.1732475,
COD3Ps,2016,1.2434622,
COD3Ps,2017,1.4016225,
COD3Ps,2018,1.4893894,
COD4TVn,1950,284869.96,44093.93
COD4TVn,1951,290780.15,34865.02
COD4TVn,1952,306737.58,41967.098
COD4TVn,1953,314420.8,58832.676
COD4TVn,1954,311465.73,63982.652
COD4TVn,1955,287825.07,65404.44
COD4TVn,1956,283687.96,104459.555
COD4TVn,1957,264775.42,89195.14
COD4TVn,1958,245862.88,86356.58
COD4TVn,1959,189716.31,70914.46
COD4TVn,1960,160756.5,65768.39
COD4TVn,1961,183806.15,65592.37
COD4TVn,1962,228132.39,66659.31
COD4TVn,1963,240543.73,70389.17
COD4TVn,1964,194444.44,60450.2
COD4TVn,1965,160165.48,65067.258
COD4TVn,1966,143026.0,57080.766
COD4TVn,1967,124113.47,43591.312
COD4TVn,1968,146572.1,49095.758
COD4TVn,1969,166666.67,50340.223
COD4TVn,1970,191489.36,66318.78
COD4TVn,1971,174940.9,57977.445
COD4TVn,1972,161938.54,69339.88
COD4TVn,1973,127659.58,51945.29
COD4TVn,1974,121158.394,50704.543
COD4TVn,1975,116430.26,43427.926
COD4TVn,1976,124113.47,37394.28
COD4TVn,1977,144208.04,26922.768
