spec,horizon,A,B,n,RMSEa,RMSEb,gap_kt,DM_z,block,ci95_lo,ci95_hi,p_bootstrap
A,1,M1 autonomous Schaefer,naive persist,25,120.54061180585765,98.04940768816505,22.491204117692604,1.1445276740458912,3,-13.311205234148222,50.50951438726265,0.1918
A,1,M1b autonomous Allee,naive persist,25,114.76652961063353,98.04940768816505,16.71712192246848,0.9748918811833346,3,-19.250063604025062,59.24045281908852,0.3762
A,1,M2 stockflow regimeC,naive persist,25,160.43859201550137,98.04940768816505,62.389184327336324,1.2965772990191118,3,-11.851793855429573,106.9805007422817,0.4452
A,1,M3 AR residual,naive persist,25,153.60311353328757,98.04940768816505,55.55370584512252,1.0189965509726415,3,-18.033547508957103,91.61438873087849,0.9272
A,1,M4 delayed info,naive persist,25,206.27099132880463,98.04940768816505,108.22158364063958,1.5113887181317733,3,-8.187470324150887,192.6534560705948,0.3381
A,1,M2 stockflow regimeC,M1 autonomous Schaefer,25,160.43859201550137,120.54061180585765,39.89798020964372,1.1309964429546262,3,-59.061503185256065,88.45796899684183,0.6867
A,1,M4 delayed info,M3 AR residual,25,206.27099132880463,153.60311353328757,52.66787779551706,0.9941049257395215,3,4.658346516316744,144.7239215492738,0.0
A,1,M2 stockflow regimeC,M1b autonomous Allee,25,160.43859201550137,114.76652961063353,45.672062404867845,1.0972794364368235,3,-66.87441922111567,104.72944413815439,0.7074
A,5,M1 autonomous Schaefer,naive persist,21,288.72218199085955,264.72084953957136,24.001332451288192,1.835232914735805,5,-43.148635353876806,56.406731234911064,0.2794
A,5,M1b autonomous Allee,naive persist,21,288.603320678498,264.72084953957136,23.882471138926633,1.8358032315701094,5,-43.148635353876806,56.406731234911064,0.2835
A,5,M2 stockflow regimeC,naive persist,21,393.79318996112687,264.72084953957136,129.0723404215555,1.096978501160778,5,-25.01219204016128,215.92740830822464,0.5756
A,5,M3 AR residual,naive persist,21,351.5418634292063,264.72084953957136,86.82101388963491,1.0991957066989242,5,-7.2667444879583485,131.94787633837103,0.2655
A,5,M4 delayed info,naive persist,21,486.40507218579603,264.72084953957136,221.68422264622467,1.1350141786232932,5,-26.980868172394523,412.789205172228,0.7588
A,5,M2 stockflow regimeC,M1 autonomous Schaefer,21,393.79318996112687,288.72218199085955,105.07100797026732,0.9710951458267603,5,-78.78007253799592,230.08240660901504,0.807
A,5,M4 delayed info,M3 AR residual,21,486.40507218579603,351.5418634292063,134.86320875658976,1.1532209385088619,5,-28.385934476344552,292.4390289546209,0.9016
A,5,M2 stockflow regimeC,M1b autonomous Allee,21,393.79318996112687,288.603320678498,105.18986928262888,0.9711918332721239,5,-78.78007253799592,230.2415039778756,0.807
B,1,M1 autonomous Schaefer,naive persist,59,119.46623345886358,84.42788518380742,35.038348275056165,2.8062124390916066,3,2.7227073077659325,70.7505289999361,0.0323
B,1,M1b autonomous Allee,naive persist,59,151.63189085245853,84.42788518380742,67.2040056686511,3.6012478442957594,3,18.323107566449043,117.71868479174158,0.0086
B,1,M2 stockflow regimeC,naive persist,59,166.0358277367836,84.42788518380742,81.60794255297618,3.223615267497321,3,36.43728509976018,122.78019901045879,0.0001
B,1,M3 AR residual,naive persist,59,126.74473412643252,84.42788518380742,42.3168489426251,1.85241938747886,3,1.0238135444665077,92.46757724745474,0.0417
B,1,M4 delayed info,naive persist,59,205.70342766289838,84.42788518380742,121.27554247909096,3.2017116024239436,3,53.69194348834446,193.04268987106053,0.0
B,1,M2 stockflow regimeC,M1 autonomous Schaefer,59,166.0358277367836,119.46623345886358,46.56959427792002,1.7762082200264704,3,-20.497236404303713,104.54916148973584,0.1698
B,1,M4 delayed info,M3 AR residual,59,205.70342766289838,126.74473412643252,78.95869353646586,3.0658084924026174,3,35.61498797286873,116.36534808080263,0.0
B,1,M2 stockflow regimeC,M1b autonomous Allee,59,166.0358277367836,151.63189085245853,14.403936884325077,0.5094104572317775,3,-67.51325789595283,89.12054493323917,0.7697
B,5,M1 autonomous Schaefer,naive persist,55,431.90008027520406,299.9796962826287,131.92038399257535,2.055647815556405,5,33.20603969509538,218.6026894299688,0.0083
B,5,M1b autonomous Allee,naive persist,55,445.47768228841574,299.9796962826287,145.49798600578703,1.7995260739714103,5,18.15437647111971,250.90935548732406,0.0228
B,5,M2 stockflow regimeC,naive persist,55,1058.888945463183,299.9796962826287,758.9092491805543,2.153065338370189,5,363.60175328823783,1038.4544009313038,0.0
B,5,M3 AR residual,naive persist,55,930.1307020115316,299.9796962826287,630.1510057289029,2.388665416504156,5,352.7642994084521,845.6177431919765,0.0
B,5,M4 delayed info,naive persist,55,1030.736155387145,299.9796962826287,730.7564591045161,2.3525365544850603,5,407.3482091788105,978.3000929962831,0.0
B,5,M2 stockflow regimeC,M1 autonomous Schaefer,55,1058.888945463183,431.90008027520406,626.988865187979,1.9711927644941867,5,195.65259529484632,929.7036057424527,0.0041
B,5,M4 delayed info,M3 AR residual,55,1030.736155387145,930.1307020115316,100.60545337561325,1.8807797300083378,5,20.242041995304746,177.37093213032202,0.0074
B,5,M2 stockflow regimeC,M1b autonomous Allee,55,1058.888945463183,445.47768228841574,613.4112631747673,1.9250970122355116,5,170.90752632295965,945.1232439680579,0.0048
