spec,horizon,A,B,n,RMSEa,RMSEb,gap_kt,DM_z,block,ci95_lo,ci95_hi,p_bootstrap
A,1,M1 autonomous Schaefer,naive persist,25,120.50951517316736,98.04940768816505,22.46010748500231,1.1323583444791212,3,-13.37837638576465,52.17060007488766,0.1923
A,1,M1b autonomous Allee,naive persist,25,114.80237789073415,98.04940768816505,16.752970202569102,0.9843713860416026,3,-19.417898567610717,59.58106007764128,0.3836
A,1,M2 stockflow regimeC,naive persist,25,144.0544165411952,98.04940768816505,46.00500885303015,1.291284756371307,3,-12.274439196524561,83.03719815465523,0.4523
A,1,M3 AR residual,naive persist,25,134.64175256351348,98.04940768816505,36.59234487534843,0.9862308250352245,3,-16.79322670925606,64.23366084926542,0.9324
A,1,M4 delayed info,naive persist,25,195.5724919175857,98.04940768816505,97.52308422942065,1.526695098613802,3,-9.082843527533763,172.65804945898273,0.278
A,1,M2 stockflow regimeC,M1 autonomous Schaefer,25,144.0544165411952,120.50951517316736,23.544901368027837,0.9052801685855675,3,-60.720082756929564,66.91877197464223,0.6836
A,1,M4 delayed info,M3 AR residual,25,195.5724919175857,134.64175256351348,60.930739354072216,1.2072167174572352,3,4.354312788291625,134.35063218928715,0.0
A,1,M2 stockflow regimeC,M1b autonomous Allee,25,144.0544165411952,114.80237789073415,29.252038650461046,0.9111070052689009,3,-67.57006556810347,82.84588791285066,0.7014
A,5,M1 autonomous Schaefer,naive persist,21,288.72243410963097,264.72084953957136,24.001584570059606,1.8352406404190038,5,-43.148635353876806,56.406731234911064,0.2794
A,5,M1b autonomous Allee,naive persist,21,288.57690054937797,264.72084953957136,23.856051009806606,1.8355238617455463,5,-43.148635353876806,56.406731234911064,0.2836
A,5,M2 stockflow regimeC,naive persist,21,398.24404213551907,264.72084953957136,133.5231925959477,1.100261697104215,5,-21.015628292238535,217.51711009565486,0.4213
A,5,M3 AR residual,naive persist,21,366.3624104286432,264.72084953957136,101.64156088907185,1.115820891246262,5,-0.8349862434809694,151.38988420754185,0.0784
A,5,M4 delayed info,naive persist,21,488.2250186177746,264.72084953957136,223.50416907820323,1.1371498275087781,5,-20.82187671216053,409.36745128933825,0.4049
A,5,M2 stockflow regimeC,M1 autonomous Schaefer,21,398.24404213551907,288.72243410963097,109.5216080258881,0.979893609469121,5,-77.1107957811345,232.75356853466508,0.8053
A,5,M4 delayed info,M3 AR residual,21,488.2250186177746,366.3624104286432,121.86260818913138,1.1506906859833652,5,-27.370832597942602,263.21571534870225,0.7065
A,5,M2 stockflow regimeC,M1b autonomous Allee,21,398.24404213551907,288.57690054937797,109.6671415861411,0.9800086205959564,5,-77.1107957811345,232.79669284089823,0.8053
B,1,M1 autonomous Schaefer,naive persist,59,119.46623345886358,84.42788518380742,35.038348275056165,2.8062124390916066,3,2.7227073077659325,70.7505289999361,0.0323
B,1,M1b autonomous Allee,naive persist,59,151.63189085245853,84.42788518380742,67.2040056686511,3.6012478442957594,3,18.323107566449043,117.71868479174158,0.0086
B,1,M2 stockflow regimeC,naive persist,59,166.0358277367836,84.42788518380742,81.60794255297618,3.223615267497321,3,36.43728509976018,122.78019901045879,0.0001
B,1,M3 AR residual,naive persist,59,126.74473412643252,84.42788518380742,42.3168489426251,1.85241938747886,3,1.0238135444665077,92.46757724745474,0.0417
B,1,M4 delayed info,naive persist,59,205.70342766289838,84.42788518380742,121.27554247909096,3.2017116024239436,3,53.69194348834446,193.04268987106053,0.0
B,1,M2 stockflow regimeC,M1 autonomous Schaefer,59,166.0358277367836,119.46623345886358,46.56959427792002,1.7762082200264704,3,-20.497236404303713,104.54916148973584,0.1698
B,1,M4 delayed info,M3 AR residual,59,205.70342766289838,126.74473412643252,78.95869353646586,3.0658084924026174,3,35.61498797286873,116.36534808080263,0.0
B,1,M2 stockflow regimeC,M1b autonomous Allee,59,166.0358277367836,151.63189085245853,14.403936884325077,0.5094104572317775,3,-67.51325789595283,89.12054493323917,0.7697
B,5,M1 autonomous Schaefer,naive persist,55,431.90008027520406,299.9796962826287,131.92038399257535,2.055647815556405,5,33.20603969509538,218.6026894299688,0.0083
B,5,M1b autonomous Allee,naive persist,55,445.47768228841574,299.9796962826287,145.49798600578703,1.7995260739714103,5,18.15437647111971,250.90935548732406,0.0228
B,5,M2 stockflow regimeC,naive persist,55,1058.888945463183,299.9796962826287,758.9092491805543,2.153065338370189,5,363.60175328823783,1038.4544009313038,0.0
B,5,M3 AR residual,naive persist,55,930.1307020115316,299.9796962826287,630.1510057289029,2.388665416504156,5,352.7642994084521,845.6177431919765,0.0
B,5,M4 delayed info,naive persist,55,1030.736155387145,299.9796962826287,730.7564591045161,2.3525365544850603,5,407.3482091788105,978.3000929962831,0.0
B,5,M2 stockflow regimeC,M1 autonomous Schaefer,55,1058.888945463183,431.90008027520406,626.988865187979,1.9711927644941867,5,195.65259529484632,929.7036057424527,0.0041
B,5,M4 delayed info,M3 AR residual,55,1030.736155387145,930.1307020115316,100.60545337561325,1.8807797300083378,5,20.242041995304746,177.37093213032202,0.0074
B,5,M2 stockflow regimeC,M1b autonomous Allee,55,1058.888945463183,445.47768228841574,613.4112631747673,1.9250970122355116,5,170.90752632295965,945.1232439680579,0.0048
