catch,model,horizon,n,rmse_module,rmse_persist,gap,DM_z,block,ci95_lo,ci95_hi,p_bootstrap
regime,M1_autonomous_Schaefer,1,25,185.20989028110742,120.46192707793423,19791.6275826103,1.6467149420610638,3,984.2183268988346,37517.320033654345,0.0003
regime,M1_autonomous_Schaefer,5,21,386.52091966952776,249.2225679547742,87286.53296420549,1.1955237946321944,5,740.043014837422,160742.80469472206,0.0097
regime,M1b_autonomous_Allee,1,25,156.6688289326042,120.46192707793423,10034.046083784053,1.8138925871756626,3,1387.873193488377,16126.56508095599,0.0002
regime,M1b_autonomous_Allee,5,21,355.9595777463492,249.2225679547742,64595.33261138721,1.2214021484809887,5,740.043014837422,101288.82014172048,0.0097
regime,M2_stockflow_regimeC,1,25,205.0834394543305,120.46192707793423,27548.141263088495,1.552837457860928,3,-27.49019147274359,61711.99712487497,0.0541
regime,M2_stockflow_regimeC,5,21,693.6116977301087,249.2225679547742,418985.2988500717,2.5983086550726915,5,135906.20721173493,568126.0607296352,0.0
regime,M3_AR_residual,1,25,270.6791927766418,120.46192707793423,58756.149526884874,1.6467337520517793,3,453.7654903202808,136520.0365045913,0.0138
regime,M3_AR_residual,5,21,737.7394210220723,249.2225679547742,482147.5649520104,2.6010788853333113,5,161760.1480899962,664981.5966285947,0.0
regime,M4_delayed_info,1,25,357.1479526888629,120.46192707793423,113043.58423451669,1.8512309809954566,3,6266.10243454231,297053.8426955633,0.0
regime,M4_delayed_info,5,21,913.5299722323331,249.2225679547742,772425.1217888352,3.869516138950403,5,389609.55895571155,1040750.7603323386,0.0
annual,M1_autonomous_Schaefer,1,25,184.20802084250025,120.46192707793423,19421.519067381465,1.6163115387146705,3,953.3096848875922,37247.38825925248,0.0006
annual,M1_autonomous_Schaefer,5,21,386.5693519222315,249.2225679547742,87323.97546760201,1.195622506729793,5,740.043014837422,160817.68970151516,0.0097
annual,M1b_autonomous_Allee,1,25,156.33419898682726,120.46192707793423,9929.305897523358,1.8324650526648503,3,1367.3729027402035,15886.490201937922,0.0002
annual,M1b_autonomous_Allee,5,21,355.52415774549684,249.2225679547742,64285.53836267289,1.2223511258482636,5,740.043014837422,100873.96814390663,0.0097
annual,M2_stockflow_regimeC,1,25,224.9478114460699,120.46192707793423,36090.441999047056,1.5119136952611654,3,-78.38593238117905,80933.95241900808,0.0615
annual,M2_stockflow_regimeC,5,21,671.4148363042569,249.2225679547742,388685.99403149995,2.4389105212785354,5,120666.27923726376,540220.7244831978,0.0
annual,M3_AR_residual,1,25,290.3487433984103,120.46192707793423,69791.31691770637,1.594872481105816,3,327.7602607044573,162668.9011053931,0.0207
annual,M3_AR_residual,5,21,716.7476220980225,249.2225679547742,451615.26540519757,2.3736795861453817,5,139751.8641844579,648084.828103276,0.0
annual,M4_delayed_info,1,25,371.3074218282561,120.46192707793423,123358.12562941699,1.843840850442105,3,5599.499777954568,326914.712837869,0.0
annual,M4_delayed_info,5,21,880.5275626803077,249.2225679547742,713216.9002617513,3.4253521496981594,5,334629.5304270698,991582.6947300544,0.0
