catch,window,model,train,test,n,rmse,mae,log_rmse,brier_below_lrp,direction_hit,r,K,s_allee,phi,sig,ok,sse
regime,collapse,M1_autonomous_Schaefer,1983-1990,1991-1995,5,1103.2432715831894,1071.3329799728303,3.2331814884443766,1.0,0.25,1.5221695930870738,1437.0389229019338,,-0.4955518744192935,371.9655438851025,True,141514.96408518695
regime,collapse,M1b_autonomous_Allee,1983-1990,1991-1995,5,1117.8949110366443,1075.5498661849535,3.248980723724217,1.0,0.5,1.9999999948083103,1437.0389243496156,1.3395035816766339e-09,-0.6813387067251865,462.9495390435444,True,189546.68851297567
regime,collapse,M2_stockflow_regimeC,1983-1990,1991-1995,5,1250.3902304640894,1205.165463125168,3.3433184147681843,1.0,0.5,1.5221695930870738,1437.0389229019338,,-0.4955518744192935,371.9655438851025,True,141514.96408518695
regime,collapse,M3_AR_residual,1983-1990,1991-1995,5,1256.8614457953422,1224.8632765456027,3.3399242936936218,1.0,0.75,1.5221695930870738,1437.0389229019338,,-0.4955518744192935,371.9655438851025,True,141514.96408518695
regime,collapse,M4_delayed_info,1983-1990,1991-1995,5,1246.118486627,1193.4243510528274,3.3421616423011695,1.0,0.0,1.5221695930870738,1437.0389229019338,,-0.4955518744192935,371.9655438851025,True,141514.96408518695
regime,recovery,M1_autonomous_Schaefer,1995-2007,2008-2015,8,72.07076746762935,61.33016607036988,0.5011906485771329,0.0,0.7142857142857143,0.2794691125030636,5000.0,,0.1156407207145749,11.166885303624877,True,114.59616265609424
regime,recovery,M1b_autonomous_Allee,1995-2007,2008-2015,8,93.15908392317732,78.82930991479665,0.6783633200259246,0.0,0.42857142857142855,2.0,225.66927730839254,1.3183013811714893e-10,0.08613396355897412,11.233810315957852,True,117.5456079136199
regime,recovery,M2_stockflow_regimeC,1995-2007,2008-2015,8,72.07076746762935,61.33016607036988,0.5011906485771329,0.0,0.7142857142857143,0.2794691125030636,5000.0,,0.1156407207145749,11.166885303624877,True,114.59616265609424
regime,recovery,M3_AR_residual,1995-2007,2008-2015,8,77.99971326507914,67.16504880268621,0.5235572754749496,0.0,0.7142857142857143,0.2794691125030636,5000.0,,0.1156407207145749,11.166885303624877,True,114.59616265609424
regime,recovery,M4_delayed_info,1995-2007,2008-2015,8,33.1251706308235,25.360519329391664,0.3225827561568137,0.0,0.7142857142857143,0.2794691125030636,5000.0,,0.1156407207145749,11.166885303624877,True,114.59616265609424
annual,collapse,M1_autonomous_Schaefer,1983-1990,1991-1995,5,1102.228723725631,1070.4431586858486,3.232350292309701,1.0,0.25,1.5326908049432615,1437.0389229019338,,-0.49630354402236293,370.80493167169345,True,140575.88054728767
annual,collapse,M1b_autonomous_Allee,1983-1990,1991-1995,5,1114.9660306126004,1072.4616022990167,3.246941617778648,1.0,0.5,1.9999966989877496,1437.0389238707855,9.743452189951524e-11,-0.6836103127593287,462.9496712188735,True,189081.264768267
annual,collapse,M2_stockflow_regimeC,1983-1990,1991-1995,5,1267.055214879395,1229.7261894591152,3.35081038080119,1.0,0.25,1.5373281724946664,1437.0389229019338,,-0.48806322891126047,367.20155936706556,True,137607.9189114833
annual,collapse,M3_AR_residual,1983-1990,1991-1995,5,1273.6959271239432,1248.4318029314459,3.348753339647415,1.0,0.75,1.5373281724946664,1437.0389229019338,,-0.48806322891126047,367.20155936706556,True,137607.9189114833
annual,collapse,M4_delayed_info,1983-1990,1991-1995,5,1261.5597327469509,1215.7630485868833,3.348143621892063,1.0,0.25,1.5373281724946664,1437.0389229019338,,-0.48806322891126047,367.20155936706556,True,137607.9189114833
annual,recovery,M1_autonomous_Schaefer,1995-2007,2008-2015,8,44.34135867034765,32.67842672469739,0.40456915847035335,0.0,0.7142857142857143,0.2251843953306166,5000.0,,0.127648561455695,11.093146423313094,True,112.94380116285049
annual,recovery,M1b_autonomous_Allee,1995-2007,2008-2015,8,120.13904600829422,90.16402691314568,0.7777041728053737,0.0,0.42857142857142855,2.0,288.8471351994792,5.669547405032363e-15,0.08957894810489163,11.070734998797516,True,113.31157334699861
annual,recovery,M2_stockflow_regimeC,1995-2007,2008-2015,8,47.536914547727356,35.572575497928504,0.42199826387441197,0.0,0.7142857142857143,0.23413038285987187,5000.0,,0.08994957450282853,11.138624650434227,True,113.74544931222465
annual,recovery,M3_AR_residual,1995-2007,2008-2015,8,50.226403613171726,37.94940673665664,0.43627301330323665,0.0,0.7142857142857143,0.23413038285987187,5000.0,,0.08994957450282853,11.138624650434227,True,113.74544931222465
annual,recovery,M4_delayed_info,1995-2007,2008-2015,8,41.908717451235724,36.71700739449702,0.3132870253630404,0.0,0.7142857142857143,0.23413038285987187,5000.0,,0.08994957450282853,11.138624650434227,True,113.74544931222465
