catch,model,horizon,n,rmse,mae,log_rmse
regime,M1_autonomous_Schaefer,1,25,185.20989028110742,94.25710789614635,7.772453704026345
regime,M1_autonomous_Schaefer,5,21,386.52091966952776,188.1850584830573,10.517268974106493
regime,M1b_autonomous_Allee,1,25,156.6688289326042,92.29649893815478,9.22042952085535
regime,M1b_autonomous_Allee,5,21,355.9595777463492,177.0111112705898,10.513309512064499
regime,M2_stockflow_regimeC,1,25,205.0834394543305,93.25952127005017,0.792023265774277
regime,M2_stockflow_regimeC,5,21,693.6116977301087,587.1313501131272,2.542018745341621
regime,M3_AR_residual,1,25,270.6791927766418,124.83153094089865,0.9398370686006187
regime,M3_AR_residual,5,21,737.7394210220723,637.1605516893858,2.632931324372028
regime,M4_delayed_info,1,25,357.1479526888629,198.85530893136064,1.4388455847490134
regime,M4_delayed_info,5,21,913.5299722323331,839.7335099013877,2.897340327165937
annual,M1_autonomous_Schaefer,1,25,184.20802084250025,90.42782139382572,8.078284829684808
annual,M1_autonomous_Schaefer,5,21,386.5693519222315,188.20380681503133,10.517276088060378
annual,M1b_autonomous_Allee,1,25,156.33419898682726,92.20584563247583,8.976739092328568
annual,M1b_autonomous_Allee,5,21,355.52415774549684,176.8880931608601,10.513273457702372
annual,M2_stockflow_regimeC,1,25,224.9478114460699,98.44272518243154,0.8059664735310774
annual,M2_stockflow_regimeC,5,21,671.4148363042569,562.8442643566445,2.502743543401165
annual,M3_AR_residual,1,25,290.3487433984103,129.53007909038888,0.9558807070760009
annual,M3_AR_residual,5,21,716.7476220980225,608.5594251824818,2.5857510730511826
annual,M4_delayed_info,1,25,371.3074218282561,202.9689647510346,1.4410787726608454
annual,M4_delayed_info,5,21,880.5275626803077,803.1431631239412,2.853668753162893
naive,naive_persist,1,25,120.46192707793423,52.902589070768016,0.5763694700673427
naive,naive_persist,5,21,249.2225679547742,118.59233074526483,1.3903675472658676
naive,naive_train_mean,1,25,482.4152163274239,429.935011719808,2.4276259173172003
naive,naive_train_mean,5,21,552.9913635822892,490.1501908865754,2.5790598565929033
