horizon,A,B,n,RMSEa,RMSEb,gap_ft,DM_z,block,ci95_lo,ci95_hi,p_bootstrap
1,M1,naive_persist,75,12.839129375852034,13.230085772397212,-0.3909563965451781,-0.8582206211811748,1,-1.2182995181177478,0.5601811692923658,0.3842
1,naive_mean,naive_persist,75,16.17157185591985,13.230085772397212,2.941486083522639,1.9084955492487046,1,0.052155338893276115,5.952974200715296,0.0462
1,M2m,naive_persist,75,12.28321959100849,13.230085772397212,-0.9468661813887227,-3.091556815940634,1,-1.4938781356215234,-0.37914245425718973,0.0012
1,M2,naive_persist,75,14.697759248814572,13.230085772397212,1.4676734764173602,1.2837615945824448,1,-0.7091253646415434,3.592284340005123,0.1912
1,M2_oracle,naive_persist,75,7.546731824129813,13.230085772397212,-5.683353948267399,-4.430185670306721,1,-7.902977164944908,-3.560726056704627,0.0
5,M1,naive_persist,71,21.25140899501047,21.105596110577675,0.14581288443279306,0.04771586509325197,5,-5.39522855362633,4.635609435939177,0.8936
5,naive_mean,naive_persist,71,16.80479367118051,21.105596110577675,-4.300802439397167,-1.5795879753977238,5,-10.405492507484183,-0.37548289559166054,0.0354
5,M2m,naive_persist,71,17.444926311170768,21.105596110577675,-3.6606697994069073,-2.861602828139535,5,-6.028088933775692,-1.9720260453415914,0.0003
5,M2,naive_persist,71,33.48545607093358,21.105596110577675,12.379859960355905,5.781039057333486,5,9.702205535831364,16.170439602040357,0.0
5,M2_oracle,naive_persist,71,10.864517564183158,21.105596110577675,-10.241078546394517,-4.215387180733295,5,-13.948490025303236,-6.557207542699116,0.0
