Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1961,EFConsTotGHA,92863413.2744162,2843084046.88545,1251147935.19737,350122482.743573,1353300502.97016,843004990.6807756,6733523371.751745,3A,
World,º World,1961,BiocapTotGHA,92863413.2744162,0,1251147935.19737,1097661765.17263,5766251573.22316,1517492874.86176,9725417561.72934,3A,
World,º World,1962,EFConsTotGHA,99204838.7059253,2928749070.80687,1297147626.35749,361974620.402694,1364291777.21112,846834412.8423083,6898202346.326408,3A,
World,º World,1962,BiocapTotGHA,99204838.7059253,0,1297147626.35749,1096592354.80007,5759769414.19835,1519056830.7034,9771771064.76524,3A,
World,º World,1963,EFConsTotGHA,102650868.623066,2832014272.47583,1308456821.22919,383063912.95056,1377711670.96557,866567582.8013239,6870465129.045544,3A,
World,º World,1963,BiocapTotGHA,102650868.623066,0,1308456821.22919,1095625312.61481,5747547249.13391,1519134250.99212,9773414502.5931,3A,
World,º World,1964,EFConsTotGHA,109511146.265478,2918154378.33124,1344667118.27151,365351331.781769,1427714849.8639,868419304.1699995,7033818128.6839,3A,
World,º World,1964,BiocapTotGHA,109511146.265478,0,1344667118.27151,1094387522.82597,5746596793.60474,1520468139.13036,9815630720.09806,3A,
World,º World,1965,EFConsTotGHA,112239723.560942,3003623038.2961,1364336498.73015,392539527.731944,1443983627.97812,891373724.573696,7208096140.870946,3A,
World,º World,1965,BiocapTotGHA,112239723.560942,0,1364336498.73015,1092833510.53728,5742614114.76143,1523237197.98161,9835261045.57142,3A,
World,º World,1966,EFConsTotGHA,120570099.589855,3425265369.90262,1438932876.4475,418138634.294196,1467225862.17744,884306870.2236719,7754439712.635272,3A,
World,º World,1966,BiocapTotGHA,120570099.589855,0,1438932876.4475,1089881911.33654,5741878572.4195,1521564503.40362,9912827963.19701,3A,
World,º World,1967,EFConsTotGHA,126612031.907805,3898491686.04052,1466502000.11248,457113724.61452,1489574655.4173,903115056.4045002,8341409154.49712,3A,
