Year,Biocapacity_gha,Footprint_gha,Population
1961,9755285064,7009115874,3062769479
1962,9800557481,7111534927,3121516353
1963,9803718332,7126784924,3187414166
1964,9845376514,7231978194,3254626922
1965,9865602670,7388181107,3322495123
1966,9945665575,7859340352,3392090443
1967,9980800972,8468037731,3461621877
1968,10032042417,8746859342,3532822415
1969,10033193488,8991975564,3606553597
1970,10074499028,9932768985,3682488326
1971,10131541184,10189441389,3767113382
1972,10089190173,10041193297,3844781449
1973,10196154252,10886510142,3920251543
1974,10149593744,10982765156,3995517146
1975,10168266673,11159132328,4069437231
1976,10212962923,11348910065,4138136324
1977,10226119816,11462289184,4208351111
1978,10328527425,11898823709,4281315993
1979,10308710136,12284891868,4357061794
1980,10313785424,11538980329,4436402482
1981,10401952796,11610146448,4524624358
1982,10481602612,11401878107,4611440795
1983,10446780976,11127429021,4699105432
1984,10589920928,12070022308,4784011621
1985,10638511654,12511394308,4870921743
1986,10661981942,12624696632,4960567912
1987,10699544153,12885552845,5052971620
1988,10650997124,13429574615,5145426079
1989,10772749182,13820415471,5237441558
1990,10904053985,13816929584,5327231061
1991,10842616225,13534458381,5398340443
1992,10990945815,13273809176,5498901312
1993,10947987772,13380743524,5581534211
1994,11035249523,13949759212,5663150453
1995,10981316689,14255045097,5744212974
1996,11109262530,14689226311,5824891951
1997,11158063164,14675009541,5905045788
1998,11199656143,14685379834,5984793942
1999,11228881105,15297299742,6064239055
2000,11227518503,15827422934,6143493823
2001,11298724462,16251683468,6211466664
2002,11285441338,15768122276,6301773188
2003,11271333729,16196195050,6381185114
2004,11386896720,17052807462,6461371690
2005,11366484376,17522029236,6541907027
2006,11402770483,17817225119,6623517833
2007,11433574974,18539603193,6705946610
2008,11562516605,18677597806,6789088686
2009,11517049624,18031318373,6872767093
2010,11592075621,19237208973,6956823603
2011,11667781790,19780118466,7043008586
2012,11585198446,19838958269,7128176935
2013,11753845672,20204528915,7213426452
2014,11797782223,20113868784,7298453033
2015,11807973175,19960954590,7379797139
2016,11861017949,19842648924,7464022049
2017,11977911640,20616501286,7547858925
2018,11940791316,20885383199,7631091040
2019,11983270160,20856370498,7713468100
2020,11959978864,19739601375,7794798739
2021,11999721910,21002952519,7920795705
2022,11997119779,21380521853,7989981520
