paper,transition,dropped,modified_r>=0.55,no_close_replacement,tablerow_drops,heading_drops,relocated_to_suppl
paperE1_cod_forecast_ladder,v7->v8,1,1,0,0,0,0
paperE1_cod_forecast_ladder,v8->v9,35,35,0,0,0,0
paperE1_cod_forecast_ladder,v9->v10,20,15,5,0,0,0
paperE1_cod_forecast_ladder,v10->v11,23,19,4,0,0,0
paperE1_cod_forecast_ladder,v11->v12,0,0,0,0,0,0
paperE2_cod_intervention,v13->v14,108,98,10,0,0,0
paperE2_cod_intervention,v14->v15,188,134,54,36,0,0
paperE2_cod_intervention,v15->v16,48,32,16,14,0,0
paperE2_cod_intervention,v16->v17,46,35,11,0,1,0
paperE2_cod_intervention,v17->v18,3,3,0,0,0,0
paperE3_edwards_forecast_ladder,v7->v8,5,5,0,0,0,0
paperE3_edwards_forecast_ladder,v8->v9,23,18,5,0,0,0
paperE3_edwards_forecast_ladder,v9->v10,0,0,0,0,0,0
paperE3_edwards_forecast_ladder,v10->v11,117,61,56,18,0,0
paperE3_edwards_forecast_ladder,v11->v12,12,8,4,1,0,0
paperE4_edwards_intervention,v6->v7,1,1,0,0,0,0
paperE4_edwards_intervention,v7->v8,8,3,5,0,0,0
paperE4_edwards_intervention,v8->v9,5,5,0,0,0,0
paperE4_edwards_intervention,v9->v10,79,73,6,0,0,0
paperE4_edwards_intervention,v10->v11,116,80,36,11,1,0
paper1_assessment_separation,v15->v16,9,6,3,0,0,0
paper1_assessment_separation,v16->v17,18,11,7,0,0,0
paper1_assessment_separation,v17->v18,7,7,0,0,0,0
paper1_assessment_separation,v18->v19,0,0,0,0,0,0
paper1_assessment_separation,v19->v20,107,66,41,0,3,0
paper2_obstruction_calculus,v5->v6,40,31,9,0,0,0
paper2_obstruction_calculus,v6->v7,13,5,8,0,0,0
paper2_obstruction_calculus,v7->v8,6,5,1,0,0,0
paper2_obstruction_calculus,v8->v9,62,40,22,0,1,0
paper2_obstruction_calculus,v9->v10,3,1,2,0,0,0
paper3_material_ledgers,v24->v25,3,1,2,0,0,0
paper3_material_ledgers,v25->v26,3,3,0,2,0,0
paper3_material_ledgers,v26->v27,7,5,2,1,0,0
paper3_material_ledgers,v27->v28,80,67,13,10,0,0
paper3_material_ledgers,v28->v29,1,1,0,0,0,0
paper4_delay_dynamics,v22->v23,11,11,0,0,1,0
paper4_delay_dynamics,v23->v24,4,2,2,0,1,0
paper4_delay_dynamics,v24->v25,7,0,7,0,1,0
paper4_delay_dynamics,v25->v26,3,3,0,0,0,0
paper4_delay_dynamics,v26->v27,43,32,11,0,0,4
paper5_sampled_governance,v17->v18,14,5,9,0,0,0
paper5_sampled_governance,v18->v19,3,3,0,0,0,0
paper5_sampled_governance,v19->v20,4,3,1,0,0,0
paper5_sampled_governance,v20->v21,34,31,3,0,0,0
paper5_sampled_governance,v21->v22,2,2,0,0,0,0
