year,tau_all_18,tau_all_17,d_tau_all,tau_noc_18,tau_noc_17,d_tau_noc,prem_noc_18,prem_noc_17,d_prem_noc,carbon_share_18,carbon_share_17
1961,498.65234870728364,498.226971840115,0.4253768671686089,889.489561933422,884.4879173397259,5.001644593696142,524.489561933422,519.4879173397259,5.001644593696142,0.43939494059559564,0.43670573438851235
1962,485.65619997821364,485.8740186358497,-0.2178186576360872,873.3232625607208,870.062209105081,3.2610534556397397,508.32326256072076,505.062209105081,3.2610534556397397,0.4438987018916759,0.44156404731610555
1963,467.26246761346295,467.2078534153064,0.05461419815657109,860.8824108388291,856.3710570504285,4.511353788400584,495.88241083882906,491.3710570504285,4.511353788400584,0.4572284649675088,0.4544329241760044
1964,450.7727472336569,451.7880798178904,-1.0153325842334766,847.0493957738793,843.7438247858245,3.3055709880547965,482.04939577387927,478.7438247858245,3.3055709880547965,0.4678318059340294,0.46454354207265214
1965,435.78683573878084,436.8101345217057,-1.0232987829248827,831.2347146807398,827.8872124337406,3.34750224699917,466.2347146807398,462.8872124337406,3.34750224699917,0.47573551965264393,0.47237965756517164
1966,421.8824432706593,422.91233203646675,-1.0298887658074705,812.2549076530995,808.3205682348245,3.9343394182750444,447.2549076530995,443.32056823482446,3.9343394182750444,0.4806033927334075,0.4768012238510713
1967,412.5284884783527,413.8976737213283,-1.3691852429756182,795.3606556856076,792.728508278895,2.6321474067126474,430.36065568560764,427.728508278895,2.6321474067126474,0.4813315374234225,0.47788218867018184
1968,398.3574081119114,399.40031275879124,-1.0429046468798333,781.8190871148204,777.1838688416675,4.635218273152873,416.8190871148204,412.1838688416675,4.635218273152873,0.49047367264722797,0.4860928941383375
1969,382.38502160034153,383.46601020858947,-1.0809886082479352,773.595515119112,768.9041881513305,4.691326967781492,408.59551511911195,403.9041881513325,4.691326967779446,0.5057041902040176,0.5012824534997612
1970,362.8207364514974,363.57328624440476,-0.7525497929073595,762.1819065668607,756.0328560186939,6.14905054816677,397.1819065668607,391.0328560186939,6.14905054816677,0.5239709401056613,0.5191038546142036
1971,353.64371149031444,354.7317501024612,-1.088038612146761,748.7563664446559,743.7691767878435,4.9871896568123475,383.7563664446559,378.76917678784355,4.9871896568123475,0.5276918803782166,0.5230620450897676
1972,342.9971156033486,344.2142367168536,-1.2171211135049589,746.3063805143958,741.4731759342105,4.833204580185225,381.30638051439576,376.47317593421053,4.833204580185225,0.5404070974618548,0.5357698054509324
1973,329.24406692328176,330.46118743269153,-1.2171205094097672,727.9402237601529,723.237203287933,4.703020472219919,362.9402237601529,358.23720328793297,4.703020472219919,0.5477045282336761,0.5430804915311729
1974,330.7585754377576,332.0713138670299,-1.312738429272315,726.4442713690718,721.7253869602198,4.718884408851977,361.44427136907177,356.7253869602198,4.718884408851977,0.5446883009836346,0.5398924301864235
1975,333.2803886823677,334.35895597959376,-1.0785672972260727,726.3790952968235,721.2099493992927,5.169145897530825,361.3790952968235,356.20994939929267,5.169145897530825,0.5411756879564686,0.5363916481489382
1976,319.9450054935775,320.8946983672411,-0.9496928736635937,708.9288055821331,702.7250664372802,6.203739144852875,343.9288055821331,337.72506643728025,6.203739144852875,0.5486923327500335,0.5433566928327557
1977,313.9929297289905,315.228966579324,-1.2360368503335053,708.1513112306999,702.5961439130774,5.555167317622477,343.1513112306999,337.5961439130774,5.555167317622477,0.556601922852758,0.5513368962948323
1978,310.0921654017294,311.1925137131832,-1.1003483114537858,693.1503644555211,687.7290858468969,5.42127860862422,328.15036445552107,322.72908584689685,5.42127860862422,0.552633625684795,0.5475071214561641
1979,301.59807545714847,303.0101972231016,-1.4121217659531453,685.9977499155833,681.9554635294256,4.042286386157684,320.9977499155833,316.95546352942563,4.042286386157684,0.5603512176326203,0.5556745074599332
1980,307.1394348046127,308.2603563418992,-1.120921537286506,688.2780293125734,682.6600394145954,5.617989897977964,323.2780293125734,317.6600394145954,5.617989897977964,0.5537567353248626,0.5484423599684506
1981,314.0556659268809,315.4633267750069,-1.4076608481259996,682.4955808991389,678.1466143129435,4.348966586195388,317.4955808991389,313.1466143129435,4.348966586195388,0.5398421986657626,0.5348154512359912
1982,318.3162117165722,319.6626099908585,-1.3463982742863436,674.4452155281551,669.988198340705,4.457017187450106,309.44521552815513,304.988198340705,4.457017187450106,0.5280325156324223,0.5228832227455111
1983,317.36485970482056,318.85145843416973,-1.4865987293491685,669.3679691245097,665.6417529807951,3.7262161437146233,304.3679691245097,300.6417529807951,3.7262161437146233,0.52587384765376,0.5209863909432839
1984,309.89147677604274,311.5090702585895,-1.617593482546738,651.2849955812222,648.0434447764449,3.2415508047773756,286.28499558122223,283.04344477644486,3.2415508047773756,0.5241845292328772,0.5193083538310452
1985,307.1241532838974,309.0572651209668,-1.9331118370694185,646.2068036868353,639.7915935630266,6.41521012380872,281.2068036868353,274.7915935630266,6.41521012380872,0.524727762797224,0.5169407222126603
1986,302.72394460740287,304.14310522192375,-1.4191606145208766,638.705153095158,630.2599755564434,8.445177538714688,273.70515309515804,265.25997555644335,8.445177538714688,0.526034911194303,0.5174323025138917
1987,295.5744895825049,296.86052017720453,-1.286030594699639,630.525972401292,621.4732880348265,9.052684366465542,265.52597240129205,256.4732880348265,9.052684366465542,0.5312255124767653,0.5223277880278439
