year,bc_bil,ef_bil,earths,carbon_share,tau_all,pmin_all,prem_all,tau_noc,pmin_noc,prem_noc,r_crop,r_graz,r_forest,r_fish,r_built,tau_all_national,sum_bc_bil,sum_ef_bil
1961,9.533935834229961,6.984540733797646,0.7325978331761842,0.43670573438851235,498.226971840115,0.0,498.226971840115,884.4879173397259,365.0,519.4879173397259,1.0,1.7295990772857814,4.150867167662317,3.8486992053153877,1.0,509.4113332944891,9.282141059191579,6.650777603815784
1962,9.594198850662174,7.2073880186548225,0.7512235394367901,0.44156404731610555,485.8740186358497,0.0,485.8740186358497,870.062209105081,365.0,505.062209105081,1.0,1.7323361006295324,4.112918262807649,3.6685968288107524,1.0,496.5288278148428,9.342413407902686,6.867639304834226
1963,9.595257519753229,7.496168930184318,0.7812368677706009,0.4544329241760044,467.2078534153064,0.0,467.2078534153064,856.3710570504285,365.0,491.3710570504285,1.0,1.6829576560738178,4.064226052245112,3.5474467173322184,1.0,477.64396582701454,9.340868961059792,7.137988574572702
1964,9.673320592946451,7.815084492376728,0.8079009082026389,0.46454354207265214,451.7880798178904,0.0,451.7880798178904,843.7438247858245,365.0,478.7438247858245,1.0,1.7172175643821999,3.9216767611602417,3.61461220005709,1.0,463.8705992426368,9.447845408668249,7.4341067957189555
1965,9.698228918796207,8.103872313394588,0.8356033231684615,0.47237965756517164,436.8101345217057,0.0,436.8101345217057,827.8872124337406,365.0,462.8872124337406,1.0,1.6737700949069079,3.874811801707211,3.3462786980600017,1.0,447.38787059877035,9.468850119445646,7.725131861469738
1966,9.816913163238006,8.472614849814555,0.8630630330461181,0.4768012238510713,422.91233203646675,0.0,422.91233203646675,808.3205682348245,365.0,443.32056823482446,1.0,1.678742315608998,3.8135082725227205,3.1272517811223857,1.0,432.39231943580796,9.579144379671565,8.086146634478292
1967,9.866191187971017,8.700604067743646,0.8818604770553737,0.47788218867018184,413.8976737213283,0.0,413.8976737213283,792.728508278895,365.0,427.728508278895,1.0,1.6584195721595116,3.755079795184938,2.9256501046423065,1.0,421.93281985689924,9.625627878233862,8.326809411855974
1968,9.902078683212963,9.049213543193895,0.9138700905836131,0.4860928941383375,399.40031275879124,0.0,399.40031275879124,777.1838688416675,365.0,412.1838688416675,1.0,1.6367952763891664,3.705029359303966,2.751376624456165,1.0,406.53987639461786,9.655454788937417,8.668869162889365
1969,9.918485512974248,9.44085555396771,0.951844466740234,0.5012824534997612,383.46601020858947,0.0,383.46601020858947,768.9041881513305,364.99999999999795,403.9041881513325,0.9999999999999944,1.6340585660723903,3.6504939600616506,2.7513766244561517,1.0,390.9260062483151,9.670354504992607,9.029021702076939
1970,9.97257209939996,10.01170590359072,1.0039241435209192,0.5191038546142036,363.57328624440476,0.0,363.57328624440476,756.0328560186939,365.0,391.0328560186939,1.0,1.6229828959295136,3.5618945371540547,2.7164263497518033,1.0,368.3706627349234,9.722071224717627,9.633112394662781
1971,10.06281199500862,10.354095389311087,1.0289465205597552,0.5230620450897676,354.7317501024612,0.0,354.7317501024612,743.7691767878435,365.0,378.76917678784355,1.0,1.6051718527304142,3.5125595339181976,2.7606432781559636,1.0,359.54848407967575,9.840623177341724,9.989827850126
1972,10.022368160493484,10.627580118335672,1.0603861231348328,0.5357698054509324,344.2142367168536,0.0,344.2142367168536,741.4731759342105,365.0,376.47317593421053,1.0000000000000053,1.5760947400273138,3.5053681752126598,2.6449358831075966,1.0,348.80442848698397,9.796554118096246,10.251424469051896
1973,10.13703833595445,11.196531191358126,1.1045170019379156,0.5430804915311729,330.46118743269153,0.0,330.46118743269153,723.237203287933,365.0,358.23720328793297,1.0,1.5872821838802331,3.389461524323608,2.545760174830902,1.0,334.7641780819353,9.909533571447222,10.804560315569251
1974,10.084579163160676,11.084581054862102,1.0991614895894188,0.5398924301864235,332.0713138670299,0.0,332.0713138670299,721.7253869602198,365.0,356.7253869602198,1.0,1.5591852026460358,3.381078766298955,2.4810879634671923,1.0,335.7654010476474,9.855159946559692,10.713234208380598
1975,10.103860809430037,11.029790377940527,1.0916411643009087,0.5363916481489382,334.35895597959376,0.0,334.35895597959376,721.2099493992927,365.0,356.20994939929267,1.0,1.4832764296000118,3.458179227818808,2.612370628334057,1.0,338.1473303536781,9.86807928294829,10.651714844262848
