dgp,sigma,rep,band_retained_h1,unc_retained_h1,m1_margin_ci_h1,band_retained_h5,unc_retained_h5,m1_margin_ci_h5,band_retained,unc_retained,hybrid_retained,mcs_h1_survivors,mcs_h1_eliminated,mcs_h1_true_in_set,mcs_h1_persist_in_set,mcs_h1_size
D1_M1_collapse,11.8,0,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-14.02570487077693, -6.8213331640752815]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': True, 'M4_delayed_info': False}","[-12.043409456919266, -0.24279859956391206]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M2_stockflow_regimeC'],"['M1_autonomous_Schaefer', 'naive_persist', 'M4_delayed_info', 'M1b_autonomous_Allee', 'M3_AR_residual']",False,False,1
D1_M1_collapse,11.8,1,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': True}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-7.232539114435722, 0.0076513905990295405]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': True, 'M4_delayed_info': False}","[-8.57623319769786, -2.375656463769587]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M1b_autonomous_Allee'],"['M1_autonomous_Schaefer', 'M4_delayed_info', 'M2_stockflow_regimeC', 'naive_persist', 'M3_AR_residual']",False,False,1
D1_M1_collapse,11.8,2,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-4.408831337666427, -0.14275836638516629]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-7.862136574688069, -0.8085893093286537]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M3_AR_residual'],"['M1_autonomous_Schaefer', 'M1b_autonomous_Allee', 'naive_persist', 'M2_stockflow_regimeC', 'M4_delayed_info']",False,False,1
D1_M1_collapse,11.8,3,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-12.27338688507614, -4.261352981988346]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-11.763717304132719, -2.4595528111831677]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M3_AR_residual'],"['M1_autonomous_Schaefer', 'naive_persist', 'M1b_autonomous_Allee', 'M2_stockflow_regimeC', 'M4_delayed_info']",False,False,1
D1_M1_collapse,11.8,4,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-27.77116657048438, -6.580021702928481]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-13.664886058634146, -1.9109332197759148]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M3_AR_residual'],"['M1_autonomous_Schaefer', 'M1b_autonomous_Allee', 'naive_persist', 'M4_delayed_info', 'M2_stockflow_regimeC']",False,False,1
D1_M1_collapse,11.8,5,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-8.936980964039611, -3.47254097870733]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-7.7127992080555146, -1.9720613501987543]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M2_stockflow_regimeC'],"['M1_autonomous_Schaefer', 'naive_persist', 'M1b_autonomous_Allee', 'M4_delayed_info', 'M3_AR_residual']",False,False,1
D1_M1_collapse,11.8,6,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-19.350778720450933, -2.3501902717114933]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-16.518464310071494, -4.287491599163246]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M4_delayed_info'],"['M1_autonomous_Schaefer', 'naive_persist', 'M2_stockflow_regimeC', 'M1b_autonomous_Allee', 'M3_AR_residual']",False,False,1
D1_M1_collapse,11.8,7,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-15.32303810039228, -5.205715514559268]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': True}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-8.507006963913776, 0.23233322194432063]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M3_AR_residual'],"['M1_autonomous_Schaefer', 'naive_persist', 'M4_delayed_info', 'M1b_autonomous_Allee', 'M2_stockflow_regimeC']",False,False,1
D1_M1_collapse,11.8,8,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-14.984647995796019, -3.63931268255831]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-10.806541375701737, -1.683102051295769]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M2_stockflow_regimeC'],"['M1_autonomous_Schaefer', 'naive_persist', 'M4_delayed_info', 'M1b_autonomous_Allee', 'M3_AR_residual']",False,False,1
D1_M1_collapse,11.8,9,"{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-18.893793352669956, -6.149897831797933]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","[-9.784536363126621, 3.8590469808781593]","{'M1_autonomous_Schaefer': True, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}","{'M1_autonomous_Schaefer': False, 'M1b_autonomous_Allee': False, 'M2_stockflow_regimeC': False, 'M3_AR_residual': False, 'M4_delayed_info': False}",['M4_delayed_info'],"['M1_autonomous_Schaefer', 'naive_persist', 'M1b_autonomous_Allee', 'M2_stockflow_regimeC', 'M3_AR_residual']",False,False,1
