cell,sigma,published,fresh_n,fresh_any,fresh_true,verdict,note
D1,11.8,power>=0.80: yes (0.965),200,0.955,0.955,PASS,"true-module power: pub 0.965 vs fresh 0.955 (n=200, CI95 halfwidth 0.025) -> PASS"
D1,33.8,power>=0.80: yes (0.985),200,0.96,0.96,CHANGE,"true-module power: pub 0.985 vs fresh 0.960 (n=200, CI95 halfwidth 0.017) -> FAIL"
D2,11.8,power 0.710 (high-noise 0.130),100,0.78,0.78,PASS,"true-module power: pub 0.710 vs fresh 0.780 (n=100, CI95 halfwidth 0.089) -> PASS"
D2,33.8,power 0.130 (low-noise 0.710),100,0.07,0.06,CHANGE,"true-module power: pub 0.130 vs fresh 0.060 (n=100, CI95 halfwidth 0.066) -> FAIL"
D3,11.8,power>=0.80: NO (0.090),100,0.54,0.11,PASS,"true-module power: pub 0.090 vs fresh 0.110 (n=100, CI95 halfwidth 0.056) -> PASS"
D3,33.8,power>=0.80: NO (0.110),100,0.6,0.1,PASS,"true-module power: pub 0.110 vs fresh 0.100 (n=100, CI95 halfwidth 0.061) -> PASS"
D4,11.8,power>=0.80: NO (0.005),100,0.26,0.01,PASS,"true-module power: pub 0.005 vs fresh 0.010 (n=100, CI95 halfwidth 0.014) -> PASS"
D4,33.8,power>=0.80: NO (0.015),100,0.05,0.01,PASS,"true-module power: pub 0.015 vs fresh 0.010 (n=100, CI95 halfwidth 0.024) -> PASS"
D5,11.8,specificity 0.985 (1 - 0.015),200,0.005,,PASS,"any-module retention: pub 0.015 vs fresh 0.005 (n=200, CI95 halfwidth 0.017) -> PASS"
D5,33.8,specificity 0.970 (1 - 0.030),200,0.05,,PASS,"any-module retention: pub 0.030 vs fresh 0.050 (n=200, CI95 halfwidth 0.024) -> PASS"
D6,11.8,mechanism misattribution 0.680,30,0.633,,PASS,"any-module retention: pub 0.680 vs fresh 0.633 (n=30, CI95 halfwidth 0.167) -> PASS"
D6,33.8,mechanism misattribution 0.760,30,0.733,,PASS,"any-module retention: pub 0.760 vs fresh 0.733 (n=30, CI95 halfwidth 0.153) -> PASS"
D7,11.8,mechanism misattribution 0.975,30,0.933,,PASS,"any-module retention: pub 0.975 vs fresh 0.933 (n=30, CI95 halfwidth 0.056) -> PASS"
D7,33.8,mechanism misattribution 0.925,30,0.867,,PASS,"any-module retention: pub 0.925 vs fresh 0.867 (n=30, CI95 halfwidth 0.094) -> PASS"
D1_T71,11.8,published: NOT EXECUTED (benchmark only),10,0.9,0.9,NEW,"first execution: any-module retention 0.900, true-module power 0.900 (n=10)"
D1_T71,33.8,published: NOT EXECUTED (benchmark only),10,1.0,1.0,NEW,"first execution: any-module retention 1.000, true-module power 1.000 (n=10)"
D5_T71,11.8,published: NOT EXECUTED (benchmark only),10,0.0,,NEW,first execution: any-module retention 0.000 (n=10)
D5_T71,33.8,published: NOT EXECUTED (benchmark only),10,0.0,,NEW,first execution: any-module retention 0.000 (n=10)
