cell,truth,T,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D6_timevarying_r,,33,11.8,0,M1_autonomous_Schaefer,10.98858601530562,11.102723624085012,14.167604166159975,13.465354736623505,True
D6_timevarying_r,,33,11.8,0,M1b_autonomous_Allee,12.068706817731865,11.825836436076855,14.167604166159975,13.465354736623505,False
D6_timevarying_r,,33,11.8,0,M2_stockflow_regimeC,79.35151188981904,96.5106152405481,14.167604166159975,13.465354736623505,False
D6_timevarying_r,,33,11.8,0,M3_AR_residual,28.838170787241577,74.47380756578009,14.167604166159975,13.465354736623505,False
D6_timevarying_r,,33,11.8,0,M4_delayed_info,36.75803896069019,77.42028884718799,14.167604166159975,13.465354736623505,False
D6_timevarying_r,,33,11.8,1,M1_autonomous_Schaefer,14.232860168255472,13.90987873219404,14.693360382298152,20.18397878896842,False
D6_timevarying_r,,33,11.8,1,M1b_autonomous_Allee,14.113346557574577,19.585442722159446,14.693360382298152,20.18397878896842,False
D6_timevarying_r,,33,11.8,1,M2_stockflow_regimeC,75.27993427970303,106.10936069099647,14.693360382298152,20.18397878896842,False
D6_timevarying_r,,33,11.8,1,M3_AR_residual,26.465146753698534,75.40008982770748,14.693360382298152,20.18397878896842,False
D6_timevarying_r,,33,11.8,1,M4_delayed_info,32.79295649300416,78.95457562617577,14.693360382298152,20.18397878896842,False
D6_timevarying_r,,33,11.8,2,M1_autonomous_Schaefer,13.96927224646592,13.632018147300146,15.67517230621178,19.681248565504433,True
D6_timevarying_r,,33,11.8,2,M1b_autonomous_Allee,15.951785204637535,21.632294531397037,15.67517230621178,19.681248565504433,False
D6_timevarying_r,,33,11.8,2,M2_stockflow_regimeC,79.28423933150924,116.9012427836942,15.67517230621178,19.681248565504433,False
D6_timevarying_r,,33,11.8,2,M3_AR_residual,28.91233751169727,86.67307498985244,15.67517230621178,19.681248565504433,False
D6_timevarying_r,,33,11.8,2,M4_delayed_info,36.87241895374951,90.57493746763343,15.67517230621178,19.681248565504433,False
