dgp,truth,sigma,rep,origin,horizon,model,obs,pred,sqerr,band_retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,1,M1_autonomous_Schaefer,898.5972373531548,895.1924038351067,11.59289128562395,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,5,M1_autonomous_Schaefer,893.6561468952782,887.3730490992948,39.47731791389139,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,1,M1b_autonomous_Allee,898.5972373531548,868.0835147595678,931.0872665183804,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,5,M1b_autonomous_Allee,893.6561468952782,869.0366876191808,606.1177750474163,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,1,M2_stockflow_regimeC,898.5972373531548,895.1924038351067,11.59289128562395,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,5,M2_stockflow_regimeC,893.6561468952782,887.3730490992948,39.47731791389139,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,1,M3_AR_residual,898.5972373531548,899.3842029732222,0.619314887167987,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,5,M3_AR_residual,893.6561468952782,888.0880890318646,31.00326837032234,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,1,M4_delayed_info,898.5972373531548,887.4604994597157,124.02693090716214,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1990,5,M4_delayed_info,893.6561468952782,886.8129109629924,46.82987802492722,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,1,M1_autonomous_Schaefer,909.4839629345714,881.8364173993386,764.38677412277,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,5,M1_autonomous_Schaefer,885.1873451083604,887.0426880354769,3.4422973772010486,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,1,M1b_autonomous_Allee,909.4839629345714,899.756875459881,94.61623074027872,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,5,M1b_autonomous_Allee,885.1873451083604,905.8386382957378,426.4759103110204,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,1,M2_stockflow_regimeC,909.4839629345714,881.8364173993386,764.38677412277,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,5,M2_stockflow_regimeC,885.1873451083604,887.0426880354769,3.4422973772010486,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,1,M3_AR_residual,909.4839629345714,880.6744610177097,829.9874006976567,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,5,M3_AR_residual,885.1873451083604,886.8564119893716,2.7857842532884223,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,1,M4_delayed_info,909.4839629345714,884.3522197225138,631.6045168768026,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1991,5,M4_delayed_info,885.1873451083604,887.2040857320468,4.067242743226847,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,1,M1_autonomous_Schaefer,870.8543515047041,881.5456736153005,114.30436847252722,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,5,M1_autonomous_Schaefer,874.467584508607,889.336375204992,221.08093677290404,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,1,M1b_autonomous_Allee,870.8543515047041,893.9643918541219,534.0739649517175,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,5,M1b_autonomous_Allee,874.467584508607,888.9798235634703,210.605082385498,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,1,M2_stockflow_regimeC,870.8543515047041,881.5456736153005,114.30436847252722,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,5,M2_stockflow_regimeC,874.467584508607,889.336375204992,221.08093677290404,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,1,M3_AR_residual,870.8543515047041,875.4945143795694,21.531111505277913,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,5,M3_AR_residual,874.467584508607,889.0540466948721,212.76487911134066,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,1,M4_delayed_info,870.8543515047041,894.2628522975465,547.9579093685007,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1992,5,M4_delayed_info,874.467584508607,889.5929540639753,228.7768041864608,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,1,M1_autonomous_Schaefer,882.0451665775753,896.4573680688536,207.71155182520516,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,5,M1_autonomous_Schaefer,897.4785612879133,889.1702172841985,69.02858008406287,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,1,M1b_autonomous_Allee,882.0451665775753,884.2773869743828,4.982807899923523,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,5,M1b_autonomous_Allee,897.4785612879133,887.2328139565286,104.97533837857624,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,1,M2_stockflow_regimeC,882.0451665775753,896.4573680688536,207.71155182520516,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,5,M2_stockflow_regimeC,897.4785612879133,889.1702172841985,69.02858008406287,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,1,M3_AR_residual,882.0451665775753,898.6606854574457,276.07546764732854,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,5,M3_AR_residual,897.4785612879133,889.411816275259,65.07237509918362,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,1,M4_delayed_info,882.0451665775753,891.7969455681289,95.09719348060239,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,5,M4_delayed_info,897.4785612879133,888.9153803701051,73.3280674311137,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M1_autonomous_Schaefer,893.6561468952782,889.7778850208103,15.040915166950905,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M1_autonomous_Schaefer,872.8329927051624,887.8656501144123,225.98078878387784,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M1b_autonomous_Allee,893.6561468952782,886.1283839398468,56.66721511316527,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M1b_autonomous_Allee,872.8329927051624,886.9371120816752,198.92618338692418,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M2_stockflow_regimeC,893.6561468952782,889.7778850208103,15.040915166950905,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M2_stockflow_regimeC,872.8329927051624,887.8656501144123,225.98078878387784,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M3_AR_residual,893.6561468952782,892.4171514261096,1.535109772620249,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M3_AR_residual,872.8329927051624,887.9677743174683,229.06161445219323,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M4_delayed_info,893.6561468952782,884.3390019023328,86.80919081956704,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M4_delayed_info,872.8329927051624,887.7734478334825,223.21719944134583,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M1_autonomous_Schaefer,885.1873451083604,886.0283995919299,0.7073726443322758,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M1_autonomous_Schaefer,904.9645081643705,888.0475534821946,286.18335571879163,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M1b_autonomous_Allee,885.1873451083604,888.5592740395712,11.36990471713595,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M1b_autonomous_Allee,904.9645081643705,887.3715236050982,309.5131057027929,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M2_stockflow_regimeC,885.1873451083604,886.0283995919299,0.7073726443322758,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M2_stockflow_regimeC,904.9645081643705,888.0475534821946,286.18335571879163,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M3_AR_residual,885.1873451083604,885.1903179059842,8.837525711973793e-06,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M3_AR_residual,904.9645081643705,888.0115073977883,287.40423499173835,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M4_delayed_info,885.1873451083604,887.8304034285646,6.9857572840006705,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M4_delayed_info,904.9645081643705,888.0822915802802,285.00923679213406,False
