dgp,truth,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M1_autonomous_Schaefer,12.492029907987446,12.862580651477971,22.72138607997581,20.759854689983865,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M1b_autonomous_Allee,19.199658481373596,23.968205612331158,22.72138607997581,20.759854689983865,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M2_stockflow_regimeC,12.492029907987446,12.862580651477971,22.72138607997581,20.759854689983865,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M3_AR_residual,12.655007446535363,12.796420128174377,22.72138607997581,20.759854689983865,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M4_delayed_info,14.092454570045083,12.918411654485315,22.72138607997581,20.759854689983865,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M1_autonomous_Schaefer,12.681047798939192,10.462581353390869,15.475650618910164,16.352370948903307,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M1b_autonomous_Allee,14.169669200083234,16.40358211592679,15.475650618910164,16.352370948903307,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M2_stockflow_regimeC,12.681047798939192,10.462581353390869,15.475650618910164,16.352370948903307,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M3_AR_residual,13.19603140895638,10.460676932736632,15.475650618910164,16.352370948903307,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M4_delayed_info,11.872785174883719,10.463839742854274,15.475650618910164,16.352370948903307,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M1_autonomous_Schaefer,9.407790784218095,7.951135724692834,12.70830838036378,12.601987837881627,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M1b_autonomous_Allee,13.151385439214325,22.958456764814425,12.70830838036378,12.601987837881627,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M2_stockflow_regimeC,9.407790784218095,7.951135724692834,12.70830838036378,12.601987837881627,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M3_AR_residual,9.553795919466523,7.864765757267853,12.70830838036378,12.601987837881627,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M4_delayed_info,9.736365397912348,8.017316590986766,12.70830838036378,12.601987837881627,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M1_autonomous_Schaefer,13.200907854956714,13.40546710809943,21.223874538033837,20.2338307546145,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M1b_autonomous_Allee,16.35923786356783,24.3412906533412,21.223874538033837,20.2338307546145,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M2_stockflow_regimeC,13.200907854956714,13.40546710809943,21.223874538033837,20.2338307546145,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M3_AR_residual,13.01189925929933,13.41033473586493,21.223874538033837,20.2338307546145,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M4_delayed_info,12.995578163367684,13.389342546897018,21.223874538033837,20.2338307546145,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M1_autonomous_Schaefer,15.20517969266934,18.79987429355829,32.17033605983263,26.141989442573532,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M1b_autonomous_Allee,26.677574093696276,37.79137402986413,32.17033605983263,26.141989442573532,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M2_stockflow_regimeC,15.20517969266934,18.79987429355829,32.17033605983263,26.141989442573532,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M3_AR_residual,15.341280266579123,18.833612301190826,32.17033605983263,26.141989442573532,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M4_delayed_info,16.780986710794885,18.754011402215333,32.17033605983263,26.141989442573532,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M1_autonomous_Schaefer,12.056031549841398,12.301952213259705,17.43847562246692,16.44645331922155,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M1b_autonomous_Allee,17.378935155693465,22.313680618996074,17.43847562246692,16.44645331922155,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M2_stockflow_regimeC,12.056031549841398,12.301952213259705,17.43847562246692,16.44645331922155,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M3_AR_residual,12.116575906712663,12.294060277225363,17.43847562246692,16.44645331922155,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M4_delayed_info,12.279209282481382,12.30586056271995,17.43847562246692,16.44645331922155,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M1_autonomous_Schaefer,13.479283572877248,13.310997184964119,25.499420078504084,25.095175583099582,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M1b_autonomous_Allee,21.151647195042838,20.73603265896047,25.499420078504084,25.095175583099582,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M2_stockflow_regimeC,13.479283572877248,13.310997184964119,25.499420078504084,25.095175583099582,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M3_AR_residual,14.03453363502999,13.070679925010406,25.499420078504084,25.095175583099582,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M4_delayed_info,15.463185716078755,13.514333474694949,25.499420078504084,25.095175583099582,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M1_autonomous_Schaefer,13.263766915443172,14.312526379696555,25.447280341396443,19.827942582716254,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M1b_autonomous_Allee,21.594767556526648,27.86250797074402,25.447280341396443,19.827942582716254,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M2_stockflow_regimeC,13.263766915443172,14.312526379696555,25.447280341396443,19.827942582716254,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M3_AR_residual,13.270958401170558,14.966846711875913,25.447280341396443,19.827942582716254,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M4_delayed_info,17.855291704786868,14.01678466447262,25.447280341396443,19.827942582716254,False
