dgp,truth,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D1_M1_collapse,M1_autonomous_Schaefer,5.0,0,M1_autonomous_Schaefer,6.174668268003685,7.906088739939367,13.379767556740008,13.119868955980163,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,0,M1b_autonomous_Allee,11.013527321174218,16.733051203984928,13.379767556740008,13.119868955980163,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,0,M2_stockflow_regimeC,6.174668268003685,7.906088739939367,13.379767556740008,13.119868955980163,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,0,M3_AR_residual,5.922394245248083,7.572065464636405,13.379767556740008,13.119868955980163,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,0,M4_delayed_info,7.5062773436307015,8.422860841025404,13.379767556740008,13.119868955980163,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,1,M1_autonomous_Schaefer,5.669664101002877,6.210194635937609,11.350706846003874,7.068747303186263,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,1,M1b_autonomous_Allee,11.946581146330871,13.657990325602931,11.350706846003874,7.068747303186263,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,1,M2_stockflow_regimeC,5.669664101002877,6.210194635937609,11.350706846003874,7.068747303186263,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,1,M3_AR_residual,5.78752232443672,6.360065479066678,11.350706846003874,7.068747303186263,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,1,M4_delayed_info,6.949372540403801,6.114139637233965,11.350706846003874,7.068747303186263,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,2,M1_autonomous_Schaefer,6.177860596525903,6.016424759714272,11.436363140280537,7.355593550208169,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,2,M1b_autonomous_Allee,11.881083201659225,14.947544284082852,11.436363140280537,7.355593550208169,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,2,M2_stockflow_regimeC,6.177860596525903,6.016424759714272,11.436363140280537,7.355593550208169,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,2,M3_AR_residual,6.477137972661365,6.24744654193055,11.436363140280537,7.355593550208169,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,2,M4_delayed_info,7.616299244704167,6.038049295518015,11.436363140280537,7.355593550208169,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,3,M1_autonomous_Schaefer,5.3696365215356385,6.044432550624007,9.511263397040489,8.748859876042772,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,3,M1b_autonomous_Allee,10.340016993021424,15.01018586669873,9.511263397040489,8.748859876042772,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,3,M2_stockflow_regimeC,5.3696365215356385,6.044432550624007,9.511263397040489,8.748859876042772,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,3,M3_AR_residual,5.446411411321905,6.052813880705627,9.511263397040489,8.748859876042772,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,3,M4_delayed_info,5.762765166481762,6.040217216474134,9.511263397040489,8.748859876042772,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,4,M1_autonomous_Schaefer,4.715697533413259,4.153773370104059,6.571118532664388,5.738872603043277,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,4,M1b_autonomous_Allee,6.112325597076628,10.725827694620126,6.571118532664388,5.738872603043277,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,4,M2_stockflow_regimeC,4.715697533413259,4.153773370104059,6.571118532664388,5.738872603043277,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,4,M3_AR_residual,4.886185400663354,4.1567276475930495,6.571118532664388,5.738872603043277,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,4,M4_delayed_info,4.49023259168913,4.1512738290690665,6.571118532664388,5.738872603043277,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,5,M1_autonomous_Schaefer,4.104409840491371,4.505607529596861,7.472375325550925,5.330155149352555,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,5,M1b_autonomous_Allee,7.249547472233202,10.38883974945518,7.472375325550925,5.330155149352555,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,5,M2_stockflow_regimeC,4.104409840491371,4.505607529596861,7.472375325550925,5.330155149352555,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,5,M3_AR_residual,4.60352574433895,4.671500178456345,7.472375325550925,5.330155149352555,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,5,M4_delayed_info,5.054257272184048,4.54133771524908,7.472375325550925,5.330155149352555,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,6,M1_autonomous_Schaefer,5.347066455996026,4.992674977178518,6.348674833298008,7.120982826432221,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,6,M1b_autonomous_Allee,6.354264924084891,11.886327626281682,6.348674833298008,7.120982826432221,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,6,M2_stockflow_regimeC,5.347066455996026,4.992674977178518,6.348674833298008,7.120982826432221,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,6,M3_AR_residual,5.412716115932188,4.989793743215104,6.348674833298008,7.120982826432221,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,6,M4_delayed_info,5.012652027537875,5.004414345956699,6.348674833298008,7.120982826432221,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,7,M1_autonomous_Schaefer,5.492834688509498,5.8067394848093485,8.618087423806442,8.99323900424641,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,7,M1b_autonomous_Allee,9.508320599449187,15.902751882716588,8.618087423806442,8.99323900424641,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,7,M2_stockflow_regimeC,5.492834688509498,5.8067394848093485,8.618087423806442,8.99323900424641,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,7,M3_AR_residual,5.688539121976291,5.803654842768148,8.618087423806442,8.99323900424641,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,7,M4_delayed_info,5.6527558327489,5.817124162340772,8.618087423806442,8.99323900424641,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,8,M1_autonomous_Schaefer,4.586745924174135,4.981484381129637,8.223868455553509,7.190502263667769,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,8,M1b_autonomous_Allee,7.693532658110551,9.043585882245779,8.223868455553509,7.190502263667769,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,8,M2_stockflow_regimeC,4.586745924174135,4.981484381129637,8.223868455553509,7.190502263667769,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,8,M3_AR_residual,4.770470078066596,5.024431843934258,8.223868455553509,7.190502263667769,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,8,M4_delayed_info,5.630638554555,4.958955768455906,8.223868455553509,7.190502263667769,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,9,M1_autonomous_Schaefer,5.039953612625307,5.83242345737851,9.639590764358122,9.950198794236375,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,9,M1b_autonomous_Allee,9.607705321850048,14.578201660202485,9.639590764358122,9.950198794236375,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,9,M2_stockflow_regimeC,5.039953612625307,5.83242345737851,9.639590764358122,9.950198794236375,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,9,M3_AR_residual,5.093577155916244,5.843006528029533,9.639590764358122,9.950198794236375,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,9,M4_delayed_info,5.561988238110595,5.847516769404617,9.639590764358122,9.950198794236375,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,10,M1_autonomous_Schaefer,6.2408803618166635,5.954099333003144,10.164948694052867,5.767943246091962,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,10,M1b_autonomous_Allee,10.849420378138708,15.546426115294544,10.164948694052867,5.767943246091962,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,10,M2_stockflow_regimeC,6.2408803618166635,5.954099333003144,10.164948694052867,5.767943246091962,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,10,M3_AR_residual,6.425395602087115,5.95526734082679,10.164948694052867,5.767943246091962,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,10,M4_delayed_info,6.318615897842241,5.946522822922964,10.164948694052867,5.767943246091962,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,11,M1_autonomous_Schaefer,4.509411083261116,4.70863893144025,9.172495088411488,8.009715438152272,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,11,M1b_autonomous_Allee,8.837599677390738,13.71340222805054,9.172495088411488,8.009715438152272,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,11,M2_stockflow_regimeC,4.509411083261116,4.70863893144025,9.172495088411488,8.009715438152272,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,11,M3_AR_residual,4.58676500454052,4.708712707161315,9.172495088411488,8.009715438152272,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,11,M4_delayed_info,5.071407758649425,4.7117998211989445,9.172495088411488,8.009715438152272,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,12,M1_autonomous_Schaefer,5.155350666233402,6.205508976445546,10.425951931035394,10.128163494130169,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,12,M1b_autonomous_Allee,8.828403280942982,14.573275316989378,10.425951931035394,10.128163494130169,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,12,M2_stockflow_regimeC,5.155350666233402,6.205508976445546,10.425951931035394,10.128163494130169,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,12,M3_AR_residual,5.2314795785279875,6.205571343844908,10.425951931035394,10.128163494130169,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,12,M4_delayed_info,5.55642474454704,6.2110193393635,10.425951931035394,10.128163494130169,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,13,M1_autonomous_Schaefer,5.0407272715998905,4.730301814630924,6.582197197521184,4.7917611150711235,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,13,M1b_autonomous_Allee,7.320888703905953,10.550546414643103,6.582197197521184,4.7917611150711235,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,13,M2_stockflow_regimeC,5.0407272715998905,4.730301814630924,6.582197197521184,4.7917611150711235,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,13,M3_AR_residual,4.917192788519138,4.726076205585835,6.582197197521184,4.7917611150711235,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,13,M4_delayed_info,4.667362804305786,4.711128297887227,6.582197197521184,4.7917611150711235,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,14,M1_autonomous_Schaefer,4.564516749006813,5.7445758580677815,9.503495753961884,7.442194599732581,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,14,M1b_autonomous_Allee,9.190777403877314,12.342615284163726,9.503495753961884,7.442194599732581,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,14,M2_stockflow_regimeC,4.564516749006813,5.7445758580677815,9.503495753961884,7.442194599732581,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,14,M3_AR_residual,4.472595634141908,5.742684406519725,9.503495753961884,7.442194599732581,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,14,M4_delayed_info,5.759206297043718,5.745791402666091,9.503495753961884,7.442194599732581,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,15,M1_autonomous_Schaefer,5.214981874018811,5.43290375293124,7.078318709520407,7.29113345641092,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,15,M1b_autonomous_Allee,7.707521565559408,14.094043280409945,7.078318709520407,7.29113345641092,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,15,M2_stockflow_regimeC,5.214981874018811,5.43290375293124,7.078318709520407,7.29113345641092,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,15,M3_AR_residual,5.3088731056221725,5.432901440392973,7.078318709520407,7.29113345641092,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,15,M4_delayed_info,5.192127598407434,5.4329082874228405,7.078318709520407,7.29113345641092,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,16,M1_autonomous_Schaefer,5.497583461903983,5.521177897729878,9.14977547030194,8.589332539974485,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,16,M1b_autonomous_Allee,9.995379161421965,16.63099267770804,9.14977547030194,8.589332539974485,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,16,M2_stockflow_regimeC,5.497583461903983,5.521177897729878,9.14977547030194,8.589332539974485,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,16,M3_AR_residual,5.635265657925427,5.521944613272552,9.14977547030194,8.589332539974485,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,16,M4_delayed_info,5.595052133500545,5.531166369980512,9.14977547030194,8.589332539974485,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,17,M1_autonomous_Schaefer,4.453630351649688,4.150447859507968,7.023880178062564,5.9875432026565285,True
