dgp,sigma,origin,truth_mean_sqerr,persist_mean_sqerr
D1_M1_collapse,11.8,1990,229.863961466694,551.5162540013052
D1_M1_collapse,11.8,1991,138.4616222855518,442.1811150767346
D1_M1_collapse,11.8,1992,147.5378383185412,419.6525297716536
D1_M1_collapse,11.8,1993,141.556756995207,238.1400322046755
D1_M1_collapse,11.8,1994,169.31879462956778,360.0529564918756
D1_M1_collapse,11.8,1995,145.01871257876442,499.0608500689583
D1_M1_collapse,11.8,1996,228.73159021672313,689.4955194585953
D1_M1_collapse,11.8,1997,198.11191712297673,661.9313533216174
D1_M1_collapse,11.8,1998,159.74270245746771,609.0258795839469
D1_M1_collapse,11.8,1999,148.84457897632097,462.7528320562539
D1_M1_collapse,11.8,2000,217.33289494670436,480.63607639858884
D1_M1_collapse,11.8,2001,177.94542014128103,609.2046758127332
D1_M1_collapse,11.8,2002,190.55616340128142,616.4341096883708
D1_M1_collapse,11.8,2003,154.36743517493775,536.3516556877029
D1_M1_collapse,11.8,2004,91.35735529445246,487.8217003432074
D1_M1_collapse,11.8,2005,121.95011657976886,294.1009735622231
D1_M1_collapse,11.8,2006,84.94228341937016,278.5240246052705
D1_M1_collapse,11.8,2007,164.73675483256505,372.28489696298146
D1_M1_collapse,11.8,2008,127.8307119079843,513.0973703068518
D1_M1_collapse,11.8,2009,164.31251186993137,331.7466832228904
D1_M1_collapse,11.8,2010,115.3081616989211,438.0365824296948
D1_M1_collapse,11.8,2011,132.25017581541627,484.36406608837456
D1_M1_collapse,11.8,2012,158.79588801907062,438.983146111182
D1_M1_collapse,11.8,2013,175.7683111050481,460.8338318590473
D1_M1_collapse,11.8,2014,113.89017426601477,405.2727156509038
D1_M1_collapse,33.8,1990,1503.727935702929,5003.669314355635
D1_M1_collapse,33.8,1991,1425.196484020793,2991.746538816881
D1_M1_collapse,33.8,1992,583.5793293271782,2372.8319074124684
D1_M1_collapse,33.8,1993,772.3962276441608,1557.507398260301
D1_M1_collapse,33.8,1994,1968.1183129230628,2892.3136212038544
D1_M1_collapse,33.8,1995,1209.227718959029,3798.482935048156
D1_M1_collapse,33.8,1996,1389.4669838596064,4371.326383975386
D1_M1_collapse,33.8,1997,1059.7851949864532,4390.288260451945
D1_M1_collapse,33.8,1998,1597.274884662336,4714.8258461272335
D1_M1_collapse,33.8,1999,1562.0135056660104,3222.6977791899326
D1_M1_collapse,33.8,2000,1874.9247774571259,3779.723173594269
D1_M1_collapse,33.8,2001,754.4039293133427,3054.387445853582
D1_M1_collapse,33.8,2002,1121.0487152245523,2066.4697991210796
D1_M1_collapse,33.8,2003,1176.2737056647713,2539.3841308116553
D1_M1_collapse,33.8,2004,1217.690453095904,3161.454264094028
D1_M1_collapse,33.8,2005,717.2156687360858,2377.4374058988496
D1_M1_collapse,33.8,2006,979.5812201354423,2746.675287303925
D1_M1_collapse,33.8,2007,1019.7614980844443,3546.2458861266605
D1_M1_collapse,33.8,2008,1207.4566222628775,2589.08101232944
D1_M1_collapse,33.8,2009,1379.3187998767637,3992.3086451245995
D1_M1_collapse,33.8,2010,1458.1755143846804,5204.490662121942
D1_M1_collapse,33.8,2011,829.052449259458,4190.545824962729
D1_M1_collapse,33.8,2012,1347.411796716988,3526.1998635771515
D1_M1_collapse,33.8,2013,1697.2405503765272,4696.1832091141
D1_M1_collapse,33.8,2014,745.5435771229048,3271.2367139405455
D3_M2_stockflow,11.8,1990,132.6156830808838,344.65471173598985
D3_M2_stockflow,11.8,1991,14802.6181104147,446.43250580395767
D3_M2_stockflow,11.8,1992,13695.534564835187,14749.097157051643
D3_M2_stockflow,11.8,1993,1491.1754303022071,2449.7121432480485
D3_M2_stockflow,11.8,1994,312.3637976992885,2700.4690306850885
D3_M2_stockflow,11.8,1995,1404.2981048005852,2521.009948961294
D3_M2_stockflow,11.8,1996,2825.3898754783377,2063.0516619627533
D3_M2_stockflow,11.8,1997,2107.925332054033,1889.7780037141301
D3_M2_stockflow,11.8,1998,3858.687320119128,2207.4720155879636
D3_M2_stockflow,11.8,1999,1984.122607933358,2568.4214837161935
D3_M2_stockflow,11.8,2000,3952.3225278509863,2833.387773333726
D3_M2_stockflow,11.8,2001,2501.066333571358,2994.352637434153
D3_M2_stockflow,11.8,2002,4758.011569882857,3296.3817776559313
D3_M2_stockflow,11.8,2003,2585.591263570372,3077.170879788715
D3_M2_stockflow,11.8,2004,4208.6170867581695,2508.9590548260294
D3_M2_stockflow,11.8,2005,2881.195018238404,2756.5940677732347
D3_M2_stockflow,11.8,2006,4536.617440429106,2614.7078558501867
D3_M2_stockflow,11.8,2007,3215.3107387346113,2438.313051824617
D3_M2_stockflow,11.8,2008,4119.298482274786,3050.216039357422
D3_M2_stockflow,11.8,2009,3823.619871722256,4005.251673274148
D3_M2_stockflow,11.8,2010,3889.608705721453,4556.516677342211
D3_M2_stockflow,11.8,2011,5449.587081517229,4972.668484566304
D3_M2_stockflow,11.8,2012,3907.8680056068033,5282.94579636217
D3_M2_stockflow,11.8,2013,5324.946954649999,5327.444178527587
D3_M2_stockflow,11.8,2014,3217.2062401169587,4465.0308104560845
D3_M2_stockflow,33.8,1990,1152.905977903773,2183.669765816658
D3_M2_stockflow,33.8,1991,18342.46070226447,4639.2441010540615
D3_M2_stockflow,33.8,1992,14807.565109385196,18713.014229352084
D3_M2_stockflow,33.8,1993,2580.2848565836393,5784.560450718429
D3_M2_stockflow,33.8,1994,2130.9374057371833,7855.479240120749
D3_M2_stockflow,33.8,1995,3516.0659120376995,9618.839323852739
D3_M2_stockflow,33.8,1996,9163.360407243284,10605.042302881498
D3_M2_stockflow,33.8,1997,5579.710244788979,13069.482410755802
D3_M2_stockflow,33.8,1998,9050.988870842335,13690.408408851588
D3_M2_stockflow,33.8,1999,7552.042252568295,17891.721506570375
D3_M2_stockflow,33.8,2000,10345.555477679596,21681.255229355153
D3_M2_stockflow,33.8,2001,16601.518413600425,25548.474193141483
D3_M2_stockflow,33.8,2002,12687.658958471531,27014.628420125442
D3_M2_stockflow,33.8,2003,25901.837696886087,32549.816029651458
D3_M2_stockflow,33.8,2004,10635.55234784698,24541.8896230893
D3_M2_stockflow,33.8,2005,18931.590013281053,14862.402217445697
D3_M2_stockflow,33.8,2006,9915.321945472697,18003.350555522113
D3_M2_stockflow,33.8,2007,28637.283993600173,25913.82864375765
D3_M2_stockflow,33.8,2008,12978.206630194942,28001.09303390442
D3_M2_stockflow,33.8,2009,30287.01637832026,31866.227999774783
D3_M2_stockflow,33.8,2010,15225.907298304273,31229.896722193764
D3_M2_stockflow,33.8,2011,27413.676042775634,27827.644233830844
D3_M2_stockflow,33.8,2012,17289.56951303382,27389.420039848817
D3_M2_stockflow,33.8,2013,19273.146958591813,25484.934413381274
D3_M2_stockflow,33.8,2014,14893.707558476186,23461.606923020547
