K,period,mode,state,real,imag,real_lo_1ulp,real_hi_1ulp,imag_lo_1ulp,imag_hi_1ulp
120,370.93117783955665,-120,N,5.5019666522865239e-15,-1.9760807896113745e-14,5.5019666522865232e-15,5.5019666522865247e-15,-1.9760807896113748e-14,-1.9760807896113742e-14
120,370.93117783955665,-120,A,2.8605841996865908e-14,-2.4777032997482171e-14,2.8605841996865901e-14,2.8605841996865914e-14,-2.4777032997482174e-14,-2.4777032997482168e-14
120,370.93117783955665,-120,Z,-9.486747109188042e-14,-8.8879152412047045e-15,-9.4867471091880433e-14,-9.4867471091880408e-14,-8.8879152412047061e-15,-8.887915241204703e-15
120,370.93117783955665,-120,E,4.341277869746688e-13,1.6656514746247826e-13,4.3412778697466874e-13,4.3412778697466885e-13,1.6656514746247824e-13,1.6656514746247829e-13
120,370.93117783955665,-119,N,-8.0652843863387411e-15,5.5446472458310914e-15,-8.0652843863387427e-15,-8.0652843863387395e-15,5.5446472458310906e-15,5.5446472458310922e-15
120,370.93117783955665,-119,A,1.7547229616572745e-14,2.3634088484817635e-15,1.7547229616572742e-14,1.7547229616572748e-14,2.3634088484817631e-15,2.3634088484817639e-15
120,370.93117783955665,-119,Z,8.8423116927754885e-14,5.0479639368049535e-14,8.8423116927754873e-14,8.8423116927754898e-14,5.0479639368049529e-14,5.0479639368049542e-14
120,370.93117783955665,-119,E,-2.5634046848592992e-13,-3.3897248151632968e-13,-2.5634046848592997e-13,-2.5634046848592987e-13,-3.3897248151632973e-13,-3.3897248151632963e-13
120,370.93117783955665,-118,N,1.075901391642151e-14,-2.4682104706307225e-15,1.0759013916421508e-14,1.0759013916421511e-14,-2.4682104706307229e-15,-2.4682104706307221e-15
120,370.93117783955665,-118,A,1.5059257710171556e-14,1.4332668296358479e-14,1.5059257710171552e-14,1.5059257710171559e-14,1.4332668296358476e-14,1.4332668296358482e-14
120,370.93117783955665,-118,Z,-6.4137584196340523e-14,-8.9881436381282613e-14,-6.4137584196340535e-14,-6.413758419634051e-14,-8.9881436381282626e-14,-8.9881436381282601e-14
120,370.93117783955665,-118,E,1.0232469914386116e-13,4.111375590231739e-13,1.0232469914386115e-13,1.0232469914386117e-13,4.1113755902317385e-13,4.1113755902317395e-13
120,370.93117783955665,-117,N,-9.2829367789820783e-15,-3.4203142614285652e-16,-9.2829367789820798e-15,-9.2829367789820767e-15,-3.4203142614285656e-16,-3.4203142614285647e-16
120,370.93117783955665,-117,A,3.0018727916075287e-14,5.9768181796632561e-15,3.0018727916075281e-14,3.0018727916075294e-14,5.9768181796632553e-15,5.9768181796632569e-15
120,370.93117783955665,-117,Z,2.2408799380374694e-14,1.210430922413244e-13,2.2408799380374691e-14,2.2408799380374697e-14,1.2104309224132437e-13,1.2104309224132442e-13
120,370.93117783955665,-117,E,5.8891825013638769e-14,-4.6281022224519225e-13,5.8891825013638757e-14,5.8891825013638782e-14,-4.6281022224519236e-13,-4.6281022224519215e-13
120,370.93117783955665,-116,N,9.060362823511757e-15,3.8787278552872773e-15,9.0603628235117554e-15,9.0603628235117585e-15,3.8787278552872765e-15,3.8787278552872781e-15
120,370.93117783955665,-116,A,-3.4829423357010259e-14,-1.8919958247220256e-14,-3.4829423357010266e-14,-3.4829423357010253e-14,-1.8919958247220259e-14,-1.8919958247220252e-14
120,370.93117783955665,-116,Z,3.6434972865168989e-14,-1.3580445061805102e-13,3.6434972865168983e-14,3.6434972865168995e-14,-1.3580445061805104e-13,-1.3580445061805099e-13
120,370.93117783955665,-116,E,-2.6317755177022643e-13,4.732952376593711e-13,-2.6317755177022648e-13,-2.6317755177022638e-13,4.73295237659371e-13,4.732952376593712e-13
120,370.93117783955665,-115,N,-9.8068966532846558e-15,-1.2877191209170431e-14,-9.8068966532846573e-15,-9.8068966532846542e-15,-1.2877191209170433e-14,-1.2877191209170429e-14
120,370.93117783955665,-115,A,-1.3938248566294004e-14,-1.5696749529178166e-14,-1.3938248566294006e-14,-1.3938248566294002e-14,-1.569674952917817e-14,-1.5696749529178163e-14
120,370.93117783955665,-115,Z,-1.0738685743419678e-13,1.2325665411395926e-13,-1.0738685743419679e-13,-1.0738685743419677e-13,1.2325665411395923e-13,1.2325665411395928e-13
120,370.93117783955665,-115,E,5.0156527682572287e-13,-3.9925242050250685e-13,5.0156527682572277e-13,5.0156527682572297e-13,-3.992524205025069e-13,-3.992524205025068e-13
120,370.93117783955665,-114,N,3.7973632407380031e-15,1.4929753089457028e-14,3.7973632407380023e-15,3.7973632407380039e-15,1.4929753089457025e-14,1.4929753089457031e-14
120,370.93117783955665,-114,A,5.3575736209274182e-15,4.9789808010803112e-15,5.3575736209274174e-15,5.3575736209274189e-15,4.9789808010803105e-15,4.978980801080312e-15
120,370.93117783955665,-114,Z,1.7791312077044547e-13,-7.353312275080172e-14,1.7791312077044545e-13,1.779131207704455e-13,-7.3533122750801733e-14,-7.3533122750801708e-14
120,370.93117783955665,-114,E,-7.3635799655137191e-13,2.0998716277384262e-13,-7.3635799655137201e-13,-7.363579965513718e-13,2.099871627738426e-13,2.0998716277384265e-13
120,370.93117783955665,-113,N,2.5160170748623268e-15,-1.8793077526497784e-14,2.5160170748623264e-15,2.5160170748623271e-15,-1.8793077526497787e-14,-1.879307752649778e-14
120,370.93117783955665,-113,A,-3.891638206494634e-15,2.1587538272623493e-15,-3.8916382064946348e-15,-3.8916382064946333e-15,2.1587538272623489e-15,2.1587538272623497e-15
120,370.93117783955665,-113,Z,-2.2806455266441478e-13,-1.7443696973318152e-14,-2.2806455266441483e-13,-2.2806455266441473e-13,-1.7443696973318155e-14,-1.7443696973318149e-14
120,370.93117783955665,-113,E,9.155949728848101e-13,1.0722615857882274e-13,9.155949728848099e-13,9.155949728848103e-13,1.0722615857882272e-13,1.0722615857882275e-13
120,370.93117783955665,-112,N,-1.2194951319968387e-14,2.4114987098456621e-14,-1.2194951319968388e-14,-1.2194951319968385e-14,2.4114987098456618e-14,2.4114987098456624e-14
120,370.93117783955665,-112,A,1.3044665784325116e-15,8.2709646939096914e-15,1.3044665784325114e-15,1.3044665784325118e-15,8.2709646939096898e-15,8.270964693909693e-15
120,370.93117783955665,-112,Z,2.3335222949996404e-13,1.4276846552847281e-13,2.3335222949996399e-13,2.3335222949996409e-13,1.4276846552847279e-13,1.4276846552847284e-13
120,370.93117783955665,-112,E,-9.7341670685650254e-13,-5.4663696329639524e-13,-9.7341670685650274e-13,-9.7341670685650234e-13,-5.4663696329639534e-13,-5.4663696329639514e-13
120,370.93117783955665,-111,N,2.3774313671741272e-14,-1.7519860671595385e-14,2.3774313671741269e-14,2.3774313671741275e-14,-1.7519860671595388e-14,-1.7519860671595382e-14
