path,sha256,size,category
build_formal_supplement_docx.py,b3e61a219c7923065500e3d1ac21ee31f1af082561e2528cbf4c0722fbebf7e2,6667,project_file
build_revised_manuscript_traceability.py,bfc06697b6446da7e2ccb380d5b4bfc5b690ce0e2696a676d44d2834baefc73c,6606,manuscript_source
build_revised_sustainability_manuscript.py,78a3934d7faabef43e69251951ee525bf2d59cd9a51dde3928274075ce4ad682,6683,manuscript_source
formal_supplement_A001_A002_A006_A010.docx,92c8b2cddea1427f050cfd74f70e77d9ea53ebcc21418ca637eb479165b66a8e,45171,rendered_manuscript
formal_supplement_A001_A002_A006_A010.md,2d3fa3a3a98aa26aff2202ab2b7edff36185400861a73b734b025b0fe4e8c4fc,15909,project_file
general_theory_of_sustainability_manuscript.md,736e90a073ee8ea34c5789093697b54d807d864b19ffdf6056da6e259d76a154,77998,manuscript_source
general_theory_of_sustainability_v0.1.md,c531ff5f1aab2215cee77c7a03162f662b3a4e589e8376101ddfea59d31d404a,50886,project_file
general_theory_of_sustainability_v0.2_comprehensive.md,fa100d63a6bed88dc7728b0c6ca9ab4638ce90aabcf362fe6e88b3b6693d7cab,82723,project_file
joint_architectural_audit_evaluation.md,2550e4002b3979e5223c8ebed4e091bbe6ca3828a59fa06a179d5bc1ebde0fe0,14601,project_file
overall_revision_plan.md,35912aafa0ec5131335387ba935bbb7f3f47b6eb26fdc3f59a0f21ffa43648d5,21376,project_file
parallel_audits_evaluation.md,5b274e97936efbff3e2e8f8d1a0ccb44714ed1a204b6cf1368e751028418058e,22263,project_file
research_program/A001_A002_source_proof_locator.csv,1b3bc3be809fffbf4c1a824f3a5dda74a4f7ef34601bbddb5a262094122a445a,55885,research_record
research_program/A001_A002_source_proof_locator_report.md,659994f221680ca2307a1eda58bcc5acd611d6cd9eaff223022460ce43f850b1,1081,research_record
research_program/A001_A002_source_selection_and_deduplication.md,5c7352ca6f4e2111ef5c7abbf6e0b1d3383d64f9dec72d879b7336f6fae065e3,6082,research_record
