stock,SSB,F,B_lim,ADH_yr,lastyear
ANCHMEDGSA16,3633.77,0.4256845,4640.0,0.0,2021
ANCHMEDGSA17-18,20177.88,1.002638077,306000.0,0.0,2022
HERR2224IIIa,57100.0,0.193,64600.0,0.0,2020
HERR4VWX,54800.0,1.21,142800.0,0.0,2005
HERRNWATLC,39091.0,0.152999997,168000.0,0.0,2021
HERRSIRS,17500.0,0.0226331,31200.0,0.0,2020
HERR4TSP,20300.0,0.137,23400.0,0.0,2013
PANCHCHVX,77700.0,1.75,143000.0,0.0,2012
HERR31,8010.0,0.259,7560.0,0.22324158644334452,2010
HERRVIa,102000.0,0.268,92000.0,0.3850158068478761,2013
SPRATIIIa-IV,266000.0,1.671,123941.20000000001,0.45702516408759125,2020
ANCHMEDGSA29,431067.3,1.390449,184172.46000000002,0.6115949777108752,2021
HERR2529-32,450000.0,0.46,336000.0,0.6350791800025242,2020
SPRATNS,409000.0,1.72,118000.0,0.7226921695215913,2017
ANCHIXa,1.25,1.115617998,0.522,0.7827331971868277,2020
PANCHNCHSP,1259400.0,0.52977,786000.0,0.8898841074908654,2019
PANCHNCH,1520000.0,1.1,510000.0,0.9927771710199551,2012
HERRNORSS,4060000.0,0.182,3280000.0,1.1721953363603785,2022
HERR2532,535000.0,0.316,354000.0,1.3068665625387088,2010
ANCHMEDGSA9,11000.0,1.14,2240.0,1.3959819359047563,2015
PANCHSCH,235000.0,0.52,93400.0,1.7744118632872345,2012
PANCHPERUNC,6590000.0,0.588,2300000.0,1.790211267992027,2008
HERR4TFA,138000.0,0.423,64400.0,1.8017495320257606,2013
HERRIsum,222000.0,0.175191731,143800.0,2.4787353495886926,2018
HERR30-31,492750.0,0.215609,270000.0,2.790143208467433,2022
HERR4RSP,57700.0,0.148,37800.0,2.8577572357331884,2003
PANCHCCH,120240.0,0.373,39800.0,2.964136281915086,2020
SPRAT22-32,1127237.0,0.358,346000.0,3.299122932084903,2022
PANCHCSCH,495110.0,0.385,138800.0,3.303236135144176,2020
HERRNS-IIIa-VIId,1652003.0,0.2274,752000.0,3.4608946618736334,2022
SSARDCH,38349.0,0.26,15591.400000000001,3.4615729679292504,2020
ANCHMEDGSA22-23,74802.0,0.4636,14960.400000000001,3.4716089569329167,2016
ANCHOBAYB,56100.0,0.222,24200.0,3.787311618765811,2013
ANCHMEDGSA17,265000.0,0.279,69800.0,4.781705434472744,2011
SPRBLKGSA29,190865.0,0.21,69405.2,4.817164662851872,2020
HERRNIRS,25900.0,0.2379,7620.0,5.142776792799231,2022
HERRRIGA,145915.3027,0.26664956,35400.0,5.311520164299608,2022
HERR30,669000.0,0.146,246000.0,6.852414549286752,2015
HERRVIaVIIbc,132000.0,0.0609,59200.0,13.167165528676698,2017
HERR4RFA,47898.242,0.049,16323.378,21.96898956878364,2002
ARGANCHONARG,797356.8862,0.0137,530000.0,29.812069997697535,2019
ARGANCHOSARG,974089.1537,0.0114,216868.43980000002,131.77297645119953,2019
ANCHMEDGSA7,135153.38,0.008,27030.676000000003,201.17973905426254,2021
