tau,history,dt,n_steps,tau_grid_units,classification,tail_N_min,tail_N_max,tail_N_mean,tail_N_rsd,max_E,gate_floor_active,clip_N,clip_E,wall_s
133.0,H1,0.02,2000000,6650,settles,89.55002261278575,89.55376061169662,89.55191794723137,1.3184604932391163e-05,2.3696223596695223,False,0,0,2.55
133.0,H2,0.02,2000000,6650,settles,89.55074752213253,89.55302941574054,89.55190086540946,8.065813806907708e-06,15.0,False,0,0,0.24
133.0,H3,0.02,2000000,6650,settles,89.55138730430876,89.55237359855232,89.55187239356594,3.477892169695216e-06,2.2590408042211885,False,0,0,0.24
136.0,H1,0.02,2000000,6800,settles,89.54534930713184,89.55844817470911,89.55200362726795,4.7600926955718636e-05,2.3681398275540095,False,0,0,0.24
136.0,H2,0.02,2000000,6800,settles,89.54782415315569,89.5559663280027,89.55191746122496,2.937027903647304e-05,15.0,False,0,0,0.24
136.0,H3,0.02,2000000,6800,settles,89.55016914143269,89.55358184005728,89.55186131805735,1.2329163133414656e-05,2.259040803375481,False,0,0,0.24
139.0,H1,0.02,2000000,6950,settles,89.53153045018034,89.57192126321819,89.5519043183616,0.0001498702628640861,2.3667359778421186,False,0,0,0.25
139.0,H2,0.02,2000000,6950,settles,89.53912489350587,89.56464086196848,89.55193843867988,9.450876950015675e-05,15.0,False,0,0,0.23
139.0,H3,0.02,2000000,6950,settles,89.5467026164673,89.55701978666397,89.55184684367897,3.8212603291778566e-05,2.2590408026692197,False,0,0,0.23
142.0,H1,0.02,2000000,7100,settles,89.4939343820311,89.60809351112877,89.55179924293091,0.00043038507177107436,2.365406651523025,False,0,0,0.24
142.0,H2,0.02,2000000,7100,settles,89.51591605286711,89.58711702024493,89.5517175061699,0.00026990827640639166,15.0,False,0,0,0.24
142.0,H3,0.02,2000000,7100,settles,89.53813674443641,89.56560031774734,89.55188732634997,0.00010412793970827472,2.259040802079403,False,0,0,0.24
144.0,H1,0.02,2000000,7200,settles,89.43810103975736,89.6597845953621,89.5510945660907,0.0008495595724661804,2.3645598616644343,False,0,0,0.24
144.0,H2,0.02,2000000,7200,settles,89.48347146164103,89.61804299249089,89.55121459797901,0.0005172887963861045,15.0,False,0,0,0.27
144.0,H3,0.02,2000000,7200,settles,89.52695720959967,89.57660710108459,89.55199710600844,0.0001905085951221124,2.259040801741282,False,0,0,0.27
145.0,H1,0.02,2000000,7250,intermediate,89.39141715778308,89.7018411344803,89.54649608089356,0.0011979795465842473,2.364147884877813,False,0,0,0.28
