tau,history,dt,n_steps,tau_grid_units,classification,tail_N_min,tail_N_max,tail_N_mean,tail_N_rsd,max_E,gate_floor_active,clip_N,clip_E,wall_s
1.0,H1,0.02,2000000,50,captured,30.651899160164795,94.98483872564053,71.17228924115388,0.3120960297858665,29.854541766259022,False,0,0,2.69
1.0,H2,0.02,2000000,50,captured,30.65189917319595,94.98483872161508,71.18419290385053,0.3126114555627826,29.917106362451417,False,0,0,0.21
1.0,H3,0.02,2000000,50,captured,30.651899159542662,94.98483872022857,70.9091743347553,0.3106322326545424,29.854541766327714,False,0,0,0.22
3.0,H1,0.02,2000000,150,captured,35.42525192627597,95.01204428414867,73.1911087835239,0.2792021908182695,27.529906601481763,False,0,0,0.22
3.0,H2,0.02,2000000,150,captured,35.42525198638528,95.0120442807356,72.8463633987569,0.27690354196665207,28.778580018600078,False,0,0,0.22
3.0,H3,0.02,2000000,150,captured,35.425251938366785,95.01204428285978,72.83572409937429,0.2768121243690664,27.529906592994504,False,0,0,0.22
3.5,H1,0.02,2000000,175,captured,37.876439414679034,94.99173432085097,74.18287052130822,0.2633635680309016,25.67601470681709,False,0,0,0.22
3.5,H2,0.02,2000000,175,captured,37.876439138375794,94.99173431716288,74.1988148387459,0.26270883827972213,27.826819302908035,False,0,0,0.22
3.5,H3,0.02,2000000,175,captured,37.87643868230465,94.99173437721865,74.03801701208523,0.26269786589388805,25.67601470697301,False,0,0,0.22
3.65,H1,0.02,2000000,182,captured,38.77493691762966,94.98196947597897,75.56928780425415,0.2500369727846075,24.986151084284188,False,0,0,0.22
3.65,H2,0.02,2000000,182,captured,38.77493690348117,94.98196947748224,75.5499201015068,0.2502616341274071,27.460991838140345,False,0,0,0.22
3.65,H3,0.02,2000000,182,captured,38.77493696582119,94.98196947346548,74.53875402457871,0.25708950447102696,24.986151084529705,False,0,0,0.23
3.68,H1,0.02,2000000,184,captured,38.964936104448,94.97977760479681,76.47563138596111,0.23764430358197203,24.84101983403952,False,0,0,0.22
3.68,H2,0.02,2000000,184,captured,38.96493588846785,94.97977757855021,75.89140190530509,0.2457881057403664,27.383443642360117,False,0,0,0.22
3.68,H3,0.02,2000000,184,captured,38.964935887968984,94.97977760588381,74.32711797594816,0.2549021787962841,24.841019827876867,False,0,0,0.23
4.0,H1,0.02,2000000,200,captured,41.230014187509326,94.95069036786371,75.39456634318853,0.24196406707888488,23.14961841662958,False,0,0,0.22
4.0,H2,0.02,2000000,200,captured,41.230014126975114,94.95069037310901,75.56930617180826,0.24278313299376444,26.470634264964538,False,0,0,0.22
4.0,H3,0.02,2000000,200,intermediate,89.06532361398942,90.00034501391181,89.5415978460368,0.0035806177736554387,2.512213355410556,False,0,0,0.24
5.0,H1,0.02,2000000,250,settles,89.51696499338598,89.58714613606746,89.5519866803014,0.00025282239715037496,3.3307043748832177,False,0,0,0.23
5.0,H2,0.02,2000000,250,captured,52.591022587118886,94.73891341535634,79.50791428254381,0.17761624029859469,22.894065043203657,False,0,0,0.22
5.0,H3,0.02,2000000,250,settles,89.54206662951684,89.56183990692739,89.55190353134448,7.141682932770054e-05,2.4955436023919266,False,0,0,0.23
5.5,H1,0.02,2000000,275,settles,89.54678708515111,89.55686400170472,89.55189841679979,3.500484270569108e-05,3.277025780858693,False,0,0,0.23
5.5,H2,0.02,2000000,275,captured,64.78807852569732,94.35859974807879,83.67570623812824,0.1173659388979449,20.93791605299519,False,0,0,0.22
5.5,H3,0.02,2000000,275,settles,89.55015794215372,89.55364449690218,89.5518689932315,1.2001771055994785e-05,2.487845758252698,False,0,0,0.23
5.573,H1,0.02,2000000,279,settles,89.54801755772816,89.5556587398097,89.55184196343194,2.663185631615265e-05,3.2696324163879438,False,0,0,0.25
5.573,H2,0.02,2000000,279,captured,69.00367213692763,94.15786092499982,84.16793335895595,0.10259956976594804,20.653472537076983,False,0,0,0.24
5.573,H3,0.02,2000000,279,settles,89.55055626834908,89.55324009751679,89.55189277397247,9.370503111451089e-06,2.4867542444031,False,0,0,0.24
5.575,H1,0.02,2000000,279,settles,89.54804662390573,89.55563027607569,89.55184127656612,2.642184554039094e-05,3.2694313054365316,False,0,0,0.25
5.575,H2,0.02,2000000,279,captured,69.19836732885439,94.14718759391468,83.95574460923598,0.10077266201970936,20.645694921649895,False,0,0,0.23
5.575,H3,0.02,2000000,279,settles,89.55056577905296,89.55323040410936,89.55189325264713,9.301688098976693e-06,2.4867244475379477,False,0,0,0.25
5.577,H1,0.02,2000000,279,settles,89.54807545926764,89.55560203891801,89.55184065008964,2.621347539144374e-05,3.2692303223990646,False,0,0,0.24
5.577,H2,0.02,2000000,279,captured,69.40624691612591,94.1356308688191,84.18823633285689,0.10037112822023764,20.637918788676487,False,0,0,0.23
5.577,H3,0.02,2000000,279,settles,89.55057521898219,89.55322078255497,89.55189371130705,9.233097531948265e-06,2.48669465546875,False,0,0,0.24
5.6,H1,0.02,2000000,280,settles,89.54839153282477,89.55529254876221,89.55183783420516,2.3949127572352212e-05,3.266924566784921,False,0,0,0.24
5.6,H2,0.02,2000000,280,captured,76.01160252713653,93.6527074238988,86.65210854266074,0.06813631812982007,20.54855415571084,False,0,0,0.22
5.6,H3,0.02,2000000,280,settles,89.55067901853295,89.55311496796473,89.55189739958877,8.46746829740681e-06,2.4863525466037526,False,0,0,0.23
6.0,H1,0.02,2000000,300,settles,89.55104834675026,89.55274125954368,89.55187452195474,5.671212674841311e-06,3.2284045858468917,False,0,0,0.23
6.0,H2,0.02,2000000,300,settles,89.54614122270489,89.55778216836903,89.55181788371651,3.892646938412643e-05,19.021872749098243,False,0,0,0.23
