year,catch_t,catch_kt,source
1983,232345,232.345,Schijns et al. 2021 Table 1 (ICES JMS 78:2675)
1984,232471,232.471,Schijns et al. 2021 Table 1
1985,231293,231.293,Schijns et al. 2021 Table 1
1986,266713,266.713,Schijns et al. 2021 Table 1
1987,239924,239.924,Schijns et al. 2021 Table 1
1988,268677,268.677,Schijns et al. 2021 Table 1
1989,253990,253.990,Schijns et al. 2021 Table 1
1990,219452,219.452,Schijns et al. 2021 Table 1
1991,172012,172.012,Schijns et al. 2021 Table 1
1992,40956,40.956,Schijns et al. 2021 Table 1
1993,11392,11.392,Schijns et al. 2021 Table 1
1994,1314,1.314,Schijns et al. 2021 Table 1
1995,413,0.413,Schijns et al. 2021 Table 1
1996,1875,1.875,Schijns et al. 2021 Table 1
1997,877,0.877,Schijns et al. 2021 Table 1
1998,4507,4.507,Schijns et al. 2021 Table 1
1999,8526,8.526,Schijns et al. 2021 Table 1
2000,5430,5.430,Schijns et al. 2021 Table 1
2001,6969,6.969,Schijns et al. 2021 Table 1
2002,4249,4.249,Schijns et al. 2021 Table 1
2003,994,0.994,Schijns et al. 2021 Table 1
2004,649,0.649,Schijns et al. 2021 Table 1
2005,1331,1.331,Schijns et al. 2021 Table 1
2006,2701,2.701,Schijns et al. 2021 Table 1
2007,2931,2.931,Schijns et al. 2021 Table 1
2008,3385,3.385,Schijns et al. 2021 Table 1
2009,3116,3.116,Schijns et al. 2021 Table 1
2010,2962,2.962,Schijns et al. 2021 Table 1
2011,3770,3.770,Schijns et al. 2021 Table 1
2012,3871,3.871,Schijns et al. 2021 Table 1
2013,4506,4.506,Schijns et al. 2021 Table 1
2014,4870,4.870,Schijns et al. 2021 Table 1
2015,4436,4.436,Schijns et al. 2021 Table 1; matches DFO 2016 reported landings
