year,catch_t,catch_kt,source
1954,315843,315.843,Regular et al. 2025 Table 1 (CSAS Res. Doc. 2025/048)
1955,232858,232.858,Regular et al. 2025 Table 1
1956,236210,236.210,Regular et al. 2025 Table 1
1957,254456,254.456,Regular et al. 2025 Table 1
1958,206710,206.710,Regular et al. 2025 Table 1
1959,359572,359.572,Regular et al. 2025 Table 1
1960,467802,467.802,Regular et al. 2025 Table 1
1961,505105,505.105,Regular et al. 2025 Table 1
1962,507026,507.026,Regular et al. 2025 Table 1
1963,509209,509.209,Regular et al. 2025 Table 1
1964,602651,602.651,Regular et al. 2025 Table 1
1965,545035,545.035,Regular et al. 2025 Table 1
1966,524505,524.505,Regular et al. 2025 Table 1
1967,611764,611.764,Regular et al. 2025 Table 1
1968,810014,810.014,Regular et al. 2025 Table 1
1969,753690,753.690,Regular et al. 2025 Table 1
1970,520226,520.226,Regular et al. 2025 Table 1
1971,439518,439.518,Regular et al. 2025 Table 1
1972,458295,458.295,Regular et al. 2025 Table 1
1973,354509,354.509,Regular et al. 2025 Table 1
1974,372650,372.650,Regular et al. 2025 Table 1
1975,287508,287.508,Regular et al. 2025 Table 1
1976,214220,214.220,Regular et al. 2025 Table 1
1977,172720,172.720,Regular et al. 2025 Table 1
1978,138559,138.559,Regular et al. 2025 Table 1
1979,166899,166.899,Regular et al. 2025 Table 1
1980,175788,175.788,Regular et al. 2025 Table 1
1981,170748,170.748,Regular et al. 2025 Table 1
1982,229774,229.774,Regular et al. 2025 Table 1
1983,232345,232.345,Regular et al. 2025 Table 1
1984,232471,232.471,Regular et al. 2025 Table 1
1985,231293,231.293,Regular et al. 2025 Table 1
1986,266713,266.713,Regular et al. 2025 Table 1
1987,239924,239.924,Regular et al. 2025 Table 1
1988,268677,268.677,Regular et al. 2025 Table 1
1989,253990,253.990,Regular et al. 2025 Table 1
1990,219452,219.452,Regular et al. 2025 Table 1
1991,172012,172.012,Regular et al. 2025 Table 1
1992,40956,40.956,Regular et al. 2025 Table 1
1993,11392,11.392,Regular et al. 2025 Table 1
