year,quantity,value,unit,table_value,prose_value,source,note
2020,reported_landings,10300,t,10.3,,DFO ResDoc 2026/026 Table 1 (Regular et al. 2026),2J3KL total; rounding-consistent with archived 2025-vintage 10.26 kt
2021,reported_landings,11000,t,11.0,,DFO ResDoc 2026/026 Table 1 (Regular et al. 2026),2J3KL total; rounding-consistent with archived 2025-vintage 10.977 kt
2022,reported_landings,12500,t,12.5,,DFO ResDoc 2026/026 Table 1 (Regular et al. 2026),2J3KL total; rounding-consistent with archived 2025-vintage 12.475 kt
2023,reported_landings,13000,t,13.0,,DFO ResDoc 2026/026 Table 1 (Regular et al. 2026),2J3KL total; rounding-consistent with archived 2025-vintage 12.998 kt
2024,reported_landings,15661,t,15.7,15 661,DFO ResDoc 2026/026 Table 1 + REPORTED LANDINGS prose (Regular et al. 2026),PROVISIONAL (terminal year); calendar year; 100% Canadian; authorized MAH/TAC col = 21.3 kt (allocation NOT landings)
2020,MAH_TAC_authorized,12300,t,12.3,,DFO ResDoc 2026/026 Table 1 TAC column,authorized only - not a landings/removals measurement
2021,MAH_TAC_authorized,13000,t,13.0,,DFO ResDoc 2026/026 Table 1 TAC column,authorized only - not a landings/removals measurement
2022,MAH_TAC_authorized,13000,t,13.0,,DFO ResDoc 2026/026 Table 1 TAC column,authorized only - not a landings/removals measurement
2023,MAH_TAC_authorized,13000,t,13.0,,DFO ResDoc 2026/026 Table 1 TAC column,authorized only - not a landings/removals measurement
2024,MAH_TAC_authorized,21300,t,21.3,,DFO ResDoc 2026/026 Table 1 TAC column,authorized only - NOT landings; likely source of the 21 317 t figure circulated in 2026 news
